# Every number of the main text of manuscript/draft_v2.md (title to Materials and methods, the six figure captions and the three table captions and bodies, the Data and code availability statement, and the Supporting-information captions), one row per occurrence, in reading order. category: data (checked against the named file at the named line, at the printed precision), design (a fixed setting of the analysis, located in the named file), literature (a value of a cited work, located in the literature table), bound (a stated bound, checked to hold against the file's value), derived (computed from quoted values; the derivation is given), label (a name, index, date or formula constant, not a quantity). Round 17 (the revision of 25 September 2026).
section,paragraph,occurrence,number,category,source_file,locator,note,check,context
Title,paragraph 1,1,1,label,,,AR(1): a name,ok,position is mostly self-prediction: a closed form on the AR(1) family and a within-subject DMT fMRI a
Abstract,paragraph 1,1,1,label,,,"AR(1), lag-1: names",ok,en Gaussian-MMI atoms of two first-order autoregressive (AR(1)) processes correlated only at lag 0. W
Abstract,paragraph 1,1,0,label,,,lag-0: a name,ok,der autoregressive (AR(1)) processes correlated only at lag 0. With equal coefficients the synergy at
Abstract,paragraph 1,2,1,label,,,"AR(1), lag-1: names",ok,sts therefore inherits self-information's dependence on lag-1 autocorrelation r₁: at these data's ope
Abstract,paragraph 1,1,0.01,design,notes/review_results/partB/exchange_rates_tables.md,line 8; anchor: per 0.01 of r₁,the step of the exchange rate,ok," lag-1 autocorrelation r₁: at these data's operating point, 0.01 of r₁ moves it by 0.061 nats and 0.1 of"
Abstract,paragraph 1,1,0.061,data,notes/review_results/partB/exchange_rates_tables.md,line 8; the line holds +0.0607; anchor: r₁ (both members),+0.0607 per 0.01 of r₁,ok,"r₁: at these data's operating point, 0.01 of r₁ moves it by 0.061 nats and 0.1 of the lag-0 correlation |"
Abstract,paragraph 1,1,0.1,design,notes/review_results/partB/exchange_rates_tables.md,line 9; anchor: per 0.1 of,the step of the exchange rate,ok,"ta's operating point, 0.01 of r₁ moves it by 0.061 nats and 0.1 of the lag-0 correlation |q| by 0.019 ("
Abstract,paragraph 1,2,0,label,,,lag-0: a name,ok,"point, 0.01 of r₁ moves it by 0.061 nats and 0.1 of the lag-0 correlation |q| by 0.019 (4.7 to 1 per "
Abstract,paragraph 1,1,0.019,data,notes/review_results/partB/exchange_rates_tables.md,line 9; the line holds -0.0189; anchor: q (lag-0 correlation),−0.0189 per 0.1 of |q|,ok,es it by 0.061 nats and 0.1 of the lag-0 correlation |q| by 0.019 (4.7 to 1 per standard deviation across
Abstract,paragraph 1,1,4.7,data,notes/review_results/partB/aligned_directed_tables.md,line 27; the line holds 4.66; anchor: ratio (6.0705 × SD_r₁)/(0.1892 × SD_|q|) 4.66,"B22 (d), ts_gsr, within windows: 4.66",ok,y 0.061 nats and 0.1 of the lag-0 correlation |q| by 0.019 (4.7 to 1 per standard deviation across pair
Abstract,paragraph 1,3,1,label,,,"AR(1), lag-1: names",ok, nats and 0.1 of the lag-0 correlation |q| by 0.019 (4.7 to 1 per standard deviation across pairs; 1.
Abstract,paragraph 1,1,1.4,derived,,derived: (5.126 × 0.0284) / (0.528 × 0.1957) = 1.41 (AD lines 27 and 29; derived_r17.out item 5),,ok,"|q| by 0.019 (4.7 to 1 per standard deviation across pairs; 1.4 to 1 for the windowed estimator), while"
Abstract,paragraph 1,4,1,label,,,ratio to 1,ok,"0.019 (4.7 to 1 per standard deviation across pairs; 1.4 to 1 for the windowed estimator), while lagg"
Abstract,paragraph 1,1,14,design,results/primary_b_ts_gsr_win60.csv,"line 2; anchor: section,statistic",N = 14 subjects (the per-subject rows of the primary result),ok,"pling moves it non-monotonically. In within-subject fMRI of 14 volunteers given N,N-dimethyltryptamine"
Abstract,paragraph 1,1,−0.081,data,notes/review_results/partB/inference_revision.csv,"line 627; the line holds -0.08086620932182387; anchor: pickle,sts ts_gsr W60,primary,did",mean −0.08087,ok,"l fits on the same data had shown a decrease. MMI-sts fell (−0.081 nats [−0.132, −0.031], p = 0.004, 13 of"
Abstract,paragraph 1,1,−0.132,data,notes/review_results/partB/inference_revision.csv,"line 627; the line holds -0.1317430794744803; anchor: pickle,sts ts_gsr W60,primary,did",inv_lo −0.13171,ok," same data had shown a decrease. MMI-sts fell (−0.081 nats [−0.132, −0.031], p = 0.004, 13 of 14) with r₁,"
Abstract,paragraph 1,1,−0.031,data,notes/review_results/partB/inference_revision.csv,"line 627; the line holds -0.03101903689732747; anchor: pickle,sts ts_gsr W60,primary,did",inv_hi −0.03104,ok,"ta had shown a decrease. MMI-sts fell (−0.081 nats [−0.132, −0.031], p = 0.004, 13 of 14) with r₁, close t"
Abstract,paragraph 1,1,0.004,data,notes/review_results/partB/inference_revision.csv,"line 627; the line holds 0.0037841796875; anchor: pickle,sts ts_gsr W60,primary,did",p_exact 0.0038,ok,"a decrease. MMI-sts fell (−0.081 nats [−0.132, −0.031], p = 0.004, 13 of 14) with r₁, close to the −0.094"
Abstract,paragraph 1,1,13,data,notes/review_results/partB/inference_revision.csv,"line 627; the line holds 13; anchor: pickle,sts ts_gsr W60,primary,did",n_neg 13,ok,"ase. MMI-sts fell (−0.081 nats [−0.132, −0.031], p = 0.004, 13 of 14) with r₁, close to the −0.094 of "
