  653 (+2 heading)  Introduction
  114 (+2 heading)  Results
  592 (+8 heading)  1. The sixteen atoms in closed form
  588 (+5 heading)  2. The DMT contrast
  345 (+5 heading)  3. The regional map
  571 (+11 heading)  4. What the pairs' own autocorrelations and lag-0 correlations carry
  144 (+4 heading)  5. Lag dependence
  294 (+11 heading)  6. CCS: a near-zero synergy atom, nearly flat in r₁
  395 (+3 heading)  7. Remedies
    0 (+2 heading)  Discussion
  343 (+8 heading)  What the finding is and is not
  470 (+3 heading)  The literature
  211 (+2 heading)  Recommendations
  344 (+2 heading)  Limitations
    0 (+4 heading)  Materials and methods
   88 (+3 heading)  Ethics statement
  107 (+2 heading)  Dataset
  160 (+2 heading)  Estimator
  104 (+3 heading)  Redundancy functions
  133 (+4 heading)  The closed form
   58 (+3 heading)  Regional maps
  148 (+2 heading)  Inference
   89 (+8 heading)  The primary contrast and the exploratory analyses
  234 (+7 heading)  The AR(1)-substituted estimate and its calibration
   48 (+2 heading)  Remedies
   89 (+3 heading)  Literature search
  260 (+5 heading)  Use of AI tools
  282 (+4 heading)  Pre-registration and deviations
total with headings 6984 without 6864
