# script=01_synergy_timecourse.py variant=ts_demean regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=global window_trs=na placebo_fit_trs=na seed=20261120 git=nogit
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.016202,0.035337,0.029964,0.319933,0.029964,0.320571,-0.029964,-0.297780,0.035302,-0.035324,0.317727,-0.303195,0.321618,-0.306985,-0.303660,0.723704
0,DMT,1,0.027011,0.003562,0.015332,0.360260,0.015332,0.373951,-0.015332,-0.357936,0.003598,-0.003577,0.367402,-0.357431,0.361238,-0.357250,-0.358147,0.780517
0,DMT,2,0.058506,0.015461,0.022180,0.368271,0.022180,0.394993,-0.022180,-0.362499,0.015453,-0.015499,0.357461,-0.362040,0.367559,-0.361545,-0.362652,0.835663
0,DMT,3,0.034514,0.005467,0.013683,0.402206,0.013683,0.435790,-0.013683,-0.400004,0.005472,-0.005490,0.416885,-0.399657,0.401635,-0.397696,-0.398260,0.869054
0,DMT,4,0.009260,0.018331,0.005149,0.409922,0.005149,0.411823,-0.005149,-0.404971,0.018274,-0.018160,0.399347,-0.404308,0.411974,-0.407308,-0.407568,0.872110
0,DMT,5,0.068764,0.026073,0.013326,0.376541,0.013326,0.518393,-0.013326,-0.360014,0.026021,-0.025830,0.361378,-0.368766,0.379603,-0.371070,-0.369514,0.840580
0,DMT,6,0.059441,0.025601,0.028144,0.386148,0.028144,0.475053,-0.028144,-0.371762,0.025492,-0.025113,0.381209,-0.372110,0.381778,-0.368104,-0.370794,0.836634
0,DMT,7,0.081930,0.019888,0.034122,0.314895,0.034122,0.321319,-0.034122,-0.307260,0.019624,-0.019299,0.339020,-0.301927,0.312951,-0.301167,-0.305854,0.775230
0,DMT,8,0.007926,0.018393,0.003670,0.409800,0.003670,0.437138,-0.003670,-0.400817,0.018362,-0.018374,0.422912,-0.402901,0.410653,-0.405300,-0.403595,0.833653
0,DMT,9,0.029345,0.012867,0.012265,0.370956,0.012265,0.395598,-0.012265,-0.366511,0.012893,-0.012949,0.394556,-0.366431,0.369935,-0.365760,-0.365769,0.785817
