# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=global window_trs=na placebo_fit_trs=na seed=20261120 git=nogit
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.013615,0.011461,0.012919,0.422776,0.012919,0.437281,-0.012919,-0.413125,0.011461,-0.011461,0.420713,-0.412822,0.420033,-0.410032,-0.410944,0.862606
0,DMT,1,0.008680,0.005757,0.009598,0.421555,0.009598,0.423966,-0.009598,-0.415180,0.005757,-0.005757,0.402847,-0.416275,0.422348,-0.416935,-0.416428,0.863655
0,DMT,2,0.015517,0.006646,0.009730,0.434522,0.009730,0.489219,-0.009730,-0.428368,0.006646,-0.006646,0.446595,-0.429598,0.433350,-0.428949,-0.427807,0.880325
0,DMT,3,0.022900,0.006634,0.006086,0.464141,0.006086,0.509700,-0.006086,-0.463203,0.006634,-0.006634,0.490921,-0.464100,0.462310,-0.462522,-0.461775,0.949103
0,DMT,4,0.018966,0.010991,0.007093,0.478767,0.007093,0.485444,-0.007093,-0.474332,0.010991,-0.010991,0.471230,-0.473468,0.477300,-0.472376,-0.473572,0.975656
0,DMT,5,0.032005,0.016335,0.024391,0.422001,0.024391,0.488656,-0.024391,-0.404631,0.016335,-0.016335,0.439990,-0.404602,0.420778,-0.402282,-0.404563,0.861261
0,DMT,6,0.023843,0.019009,0.022121,0.433319,0.022121,0.447783,-0.022121,-0.417706,0.019009,-0.019009,0.448772,-0.417503,0.429538,-0.413394,-0.413881,0.882743
0,DMT,7,0.019242,0.022113,0.017604,0.496510,0.017604,0.494665,-0.017604,-0.480896,0.022113,-0.022113,0.486120,-0.479821,0.494530,-0.477342,-0.479602,1.010160
0,DMT,8,0.009745,0.008427,0.005135,0.442365,0.005135,0.447411,-0.005135,-0.438155,0.008427,-0.008427,0.432177,-0.436135,0.442218,-0.436256,-0.437887,0.899987
0,DMT,9,0.005906,0.006821,0.004359,0.403088,0.004359,0.431599,-0.004359,-0.398685,0.006821,-0.006821,0.428612,-0.398407,0.403085,-0.398548,-0.398856,0.816323
0,DMT,10,0.007487,0.005809,0.006465,0.376854,0.006465,0.399762,-0.006465,-0.373687,0.005809,-0.005809,0.398009,-0.373731,0.375818,-0.373044,-0.372732,0.765790
0,DMT,11,0.008709,0.003525,0.006258,0.430623,0.006258,0.445945,-0.006258,-0.427362,0.003525,-0.003525,0.447341,-0.426930,0.429494,-0.426181,-0.426083,0.870673
0,DMT,12,0.006893,0.002976,0.002816,0.441011,0.002816,0.449229,-0.002816,-0.440132,0.002976,-0.002976,0.443683,-0.440103,0.443325,-0.442411,-0.442228,0.891695
0,DMT,13,0.007255,0.005597,0.002554,0.434569,0.002554,0.447346,-0.002554,-0.432618,0.005597,-0.005597,0.440391,-0.432659,0.434006,-0.432044,-0.432506,0.877616
0,DMT,14,0.008969,0.005409,0.002362,0.430158,0.002362,0.450952,-0.002362,-0.428886,0.005409,-0.005409,0.451381,-0.428981,0.431061,-0.429939,-0.429722,0.872521
0,DMT,15,0.008814,0.005392,0.004952,0.412742,0.004952,0.444882,-0.004952,-0.408828,0.005392,-0.005392,0.437835,-0.408277,0.412365,-0.407751,-0.408662,0.831816
0,DMT,16,0.009154,0.004557,0.004581,0.403451,0.004581,0.442644,-0.004581,-0.400018,0.004557,-0.004557,0.415669,-0.400806,0.403547,-0.400629,-0.400261,0.814198
0,DMT,17,0.006255,0.007194,0.005165,0.397222,0.005165,0.417509,-0.005165,-0.392607,0.007194,-0.007194,0.406401,-0.392118,0.397453,-0.392388,-0.392976,0.803060
0,DMT,18,0.008635,0.008393,0.005639,0.411124,0.005639,0.440208,-0.005639,-0.406341,0.008393,-0.008393,0.434240,-0.405199,0.409524,-0.403590,-0.404842,0.833677
0,DMT,19,0.011119,0.003239,0.004781,0.471339,0.004781,0.483248,-0.004781,-0.469113,0.003239,-0.003239,0.484173,-0.470126,0.471801,-0.470560,-0.469564,0.955042
0,DMT,20,0.014350,0.002826,0.003882,0.444255,0.003882,0.450933,-0.003882,-0.443822,0.002826,-0.002826,0.472146,-0.444213,0.445127,-0.445139,-0.444751,0.905451
