# script=01_synergy_timecourse.py variant=ts_demean regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=window window_trs=60 placebo_fit_trs=na seed=20261120 git=nogit
subject,condition,window,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.034428,0.043220,0.048933,0.313653,0.049016,0.312824,-0.047936,-0.258443,0.043139,-0.042006,0.306371,-0.259800,0.312985,-0.257738,-0.257611,0.689842
0,DMT,1,0.045029,0.039273,0.046001,0.333198,0.046109,0.359029,-0.044818,-0.294359,0.039139,-0.038504,0.340648,-0.295549,0.332948,-0.293131,-0.295604,0.753599
0,DMT,2,0.040680,0.041843,0.033162,0.340783,0.033161,0.395263,-0.032073,-0.298273,0.041796,-0.040915,0.341990,-0.307040,0.343303,-0.306322,-0.306101,0.757427
0,DMT,3,0.053812,0.061096,0.058730,0.313181,0.057945,0.319428,-0.055194,-0.250168,0.061109,-0.058041,0.297342,-0.250700,0.312395,-0.248363,-0.252728,0.710712
0,DMT,4,0.030748,0.042803,0.032773,0.336987,0.032735,0.371006,-0.032054,-0.289736,0.043055,-0.042069,0.366971,-0.292345,0.335983,-0.291134,-0.288791,0.714370
0,DMT,5,0.031924,0.036294,0.033567,0.369279,0.033463,0.442573,-0.033151,-0.324373,0.036307,-0.036020,0.390056,-0.326496,0.366459,-0.323146,-0.325182,0.753643
0,DMT,6,0.050009,0.048931,0.041700,0.305193,0.041806,0.326190,-0.041067,-0.269227,0.048795,-0.047910,0.302924,-0.271050,0.305027,-0.268564,-0.269854,0.705423
0,DMT,7,0.040302,0.058756,0.051743,0.282584,0.051825,0.269445,-0.050782,-0.233494,0.058945,-0.057272,0.277446,-0.232877,0.282956,-0.233182,-0.231155,0.661275
0,DMT,8,0.037083,0.049927,0.054173,0.258099,0.053587,0.269013,-0.051293,-0.204115,0.049279,-0.047766,0.269248,-0.204867,0.260720,-0.210417,-0.210856,0.609190
0,DMT,9,0.041341,0.040675,0.039040,0.371523,0.038991,0.391653,-0.038744,-0.335258,0.040527,-0.040059,0.407605,-0.334228,0.369026,-0.333711,-0.334237,0.792022
0,DMT,10,0.035808,0.040332,0.039046,0.337048,0.039073,0.354111,-0.038224,-0.300959,0.040418,-0.039960,0.357419,-0.299615,0.336685,-0.300170,-0.299527,0.743247
0,DMT,11,0.037950,0.051662,0.052883,0.267696,0.052468,0.264958,-0.051326,-0.213826,0.051911,-0.049306,0.283090,-0.211713,0.267042,-0.213989,-0.212132,0.644723
0,DMT,12,0.028399,0.049763,0.035613,0.302436,0.035565,0.308830,-0.035245,-0.253068,0.049577,-0.048251,0.331143,-0.255645,0.302988,-0.256425,-0.249178,0.663569
0,DMT,13,0.034637,0.039489,0.053301,0.293761,0.053635,0.286002,-0.051871,-0.234979,0.039510,-0.038836,0.299439,-0.229521,0.295430,-0.232681,-0.235269,0.649667
0,PCB,0,0.036477,0.045823,0.048852,0.343693,0.048875,0.334528,-0.047148,-0.286113,0.045936,-0.044373,0.343559,-0.290827,0.342974,-0.289484,-0.284449,0.737798
0,PCB,1,0.031571,0.043355,0.036877,0.331426,0.036957,0.343008,-0.036517,-0.280531,0.043369,-0.042763,0.331968,-0.283301,0.331637,-0.281970,-0.281072,0.715856
0,PCB,2,0.025043,0.033941,0.039315,0.312383,0.039447,0.323302,-0.038281,-0.265049,0.034035,-0.033258,0.327376,-0.259463,0.313607,-0.260640,-0.266430,0.676934
0,PCB,3,0.031587,0.031345,0.036548,0.383896,0.036563,0.404244,-0.036211,-0.348118,0.031371,-0.031033,0.411568,-0.347760,0.385603,-0.347266,-0.349629,0.809635
0,PCB,4,0.031048,0.033708,0.037862,0.355194,0.037969,0.387968,-0.037296,-0.313770,0.033645,-0.033245,0.382057,-0.315083,0.355238,-0.312502,-0.314499,0.756688
0,PCB,5,0.020937,0.031361,0.032432,0.353624,0.032284,0.381747,-0.031843,-0.307750,0.031268,-0.030712,0.366685,-0.309840,0.354172,-0.308123,-0.308929,0.724595
0,PCB,6,0.032210,0.045828,0.052147,0.314636,0.051444,0.299375,-0.049598,-0.237829,0.045163,-0.043639,0.306614,-0.231837,0.316174,-0.239662,-0.239401,0.652444
0,PCB,7,0.032640,0.037362,0.045345,0.334539,0.045394,0.335267,-0.044008,-0.279851,0.037164,-0.036636,0.340513,-0.274949,0.333610,-0.274739,-0.278626,0.729513
0,PCB,8,0.029299,0.033327,0.033746,0.400708,0.033762,0.437016,-0.033365,-0.359542,0.033393,-0.033187,0.408220,-0.361609,0.400316,-0.359827,-0.361939,0.821368
0,PCB,9,0.026277,0.037593,0.044475,0.358704,0.044697,0.356032,-0.043895,-0.293477,0.037577,-0.037103,0.346637,-0.296605,0.359322,-0.294509,-0.295227,0.733893
0,PCB,10,0.032302,0.034923,0.031274,0.399845,0.031219,0.429516,-0.030985,-0.359789,0.034974,-0.034792,0.442428,-0.360525,0.401890,-0.362961,-0.361982,0.851108
0,PCB,11,0.032477,0.029288,0.028901,0.406819,0.028905,0.458534,-0.028643,-0.372380,0.029362,-0.029159,0.432099,-0.375954,0.408075,-0.374799,-0.374428,0.860399
0,PCB,12,0.039806,0.035937,0.035131,0.384934,0.034820,0.430619,-0.034387,-0.341448,0.035754,-0.035038,0.418145,-0.346524,0.386000,-0.348771,-0.348755,0.838847
0,PCB,13,0.030078,0.041643,0.040347,0.320003,0.039839,0.320471,-0.038224,-0.271700,0.040880,-0.038765,0.322008,-0.272027,0.320069,-0.274493,-0.271566,0.688174
1,DMT,0,0.026074,0.031982,0.033409,0.423341,0.033397,0.450674,-0.033271,-0.379143,0.031873,-0.031676,0.432417,-0.382522,0.422477,-0.379734,-0.380503,0.862684
1,DMT,1,0.020002,0.028901,0.031210,0.357610,0.031122,0.393435,-0.030901,-0.317068,0.028898,-0.028642,0.379425,-0.317469,0.357854,-0.318861,-0.319111,0.745014
1,DMT,2,0.021678,0.026128,0.026658,0.389476,0.026671,0.430475,-0.026560,-0.352970,0.026153,-0.026032,0.412778,-0.354532,0.389425,-0.353557,-0.354004,0.797598
1,DMT,3,0.026883,0.040320,0.032941,0.347588,0.032767,0.371467,-0.032271,-0.300974,0.040110,-0.039470,0.350347,-0.304147,0.346342,-0.303242,-0.303849,0.735261
1,DMT,4,0.024202,0.033562,0.031478,0.346873,0.031397,0.400772,-0.031146,-0.303624,0.033464,-0.033168,0.366510,-0.305709,0.344507,-0.302751,-0.305098,0.725129
1,DMT,5,0.017420,0.028399,0.030184,0.319799,0.030207,0.345366,-0.029432,-0.268526,0.028312,-0.027596,0.320568,-0.272619,0.319775,-0.269830,-0.270855,0.649962
1,DMT,6,0.019425,0.028335,0.024853,0.391773,0.024849,0.429729,-0.024684,-0.351887,0.028312,-0.028170,0.417430,-0.353789,0.391466,-0.351853,-0.353053,0.792992
1,DMT,7,0.020005,0.031014,0.030210,0.350277,0.030220,0.376396,-0.029964,-0.305256,0.031155,-0.030643,0.369398,-0.305622,0.350521,-0.306069,-0.304862,0.717970
1,DMT,8,0.023005,0.031640,0.035823,0.333964,0.035880,0.352768,-0.035147,-0.279845,0.031663,-0.031271,0.330830,-0.283321,0.335995,-0.282240,-0.284522,0.687853
1,DMT,9,0.043281,0.041605,0.030593,0.377874,0.030617,0.407944,-0.030207,-0.340726,0.041540,-0.039963,0.395076,-0.346068,0.376491,-0.344490,-0.341054,0.817022
1,DMT,10,0.022751,0.026414,0.026146,0.398309,0.026126,0.459315,-0.026057,-0.358526,0.026366,-0.026310,0.413479,-0.361513,0.398310,-0.358462,-0.361647,0.813534
1,DMT,11,0.022094,0.022498,0.025041,0.409190,0.025078,0.468269,-0.024840,-0.374848,0.022527,-0.022420,0.427016,-0.376666,0.408762,-0.372892,-0.375801,0.836159
1,DMT,12,0.026124,0.027012,0.027658,0.380095,0.027557,0.416973,-0.027414,-0.345610,0.026880,-0.026663,0.407548,-0.346319,0.379660,-0.346424,-0.346678,0.803949
1,DMT,13,0.030942,0.026592,0.028368,0.410728,0.028326,0.468873,-0.028217,-0.370545,0.026662,-0.026412,0.434415,-0.374388,0.414592,-0.376850,-0.376293,0.846460
1,PCB,0,0.026810,0.033698,0.034040,0.399522,0.033954,0.406396,-0.033528,-0.357584,0.033556,-0.033219,0.426623,-0.354541,0.399215,-0.356270,-0.355094,0.825974
1,PCB,1,0.026317,0.031733,0.035831,0.377109,0.035849,0.415657,-0.035284,-0.333314,0.031740,-0.031428,0.390294,-0.335706,0.378408,-0.334439,-0.337270,0.790461
1,PCB,2,0.028749,0.042545,0.039331,0.338422,0.039298,0.352869,-0.038016,-0.273867,0.042412,-0.041049,0.357201,-0.272069,0.337206,-0.271719,-0.274630,0.705083
1,PCB,3,0.036965,0.032299,0.029395,0.371462,0.029384,0.413620,-0.029225,-0.338539,0.032260,-0.032121,0.398930,-0.339774,0.369540,-0.337701,-0.338631,0.793459
1,PCB,4,0.023228,0.033054,0.032525,0.349961,0.032393,0.365594,-0.032167,-0.305894,0.032862,-0.032620,0.356311,-0.308832,0.350240,-0.309339,-0.309767,0.729958
1,PCB,5,0.041848,0.031162,0.035088,0.409581,0.035011,0.472193,-0.034546,-0.363459,0.031071,-0.030813,0.437787,-0.365015,0.411997,-0.368418,-0.369110,0.859880
1,PCB,6,0.030144,0.033961,0.036637,0.377275,0.036455,0.385740,-0.035851,-0.325706,0.033760,-0.033227,0.379707,-0.328141,0.378024,-0.328753,-0.328235,0.775125
1,PCB,7,0.031215,0.028964,0.032176,0.391023,0.032151,0.429717,-0.031890,-0.350748,0.029014,-0.028802,0.423697,-0.354335,0.391377,-0.353711,-0.352301,0.815572
1,PCB,8,0.027638,0.028297,0.027437,0.404708,0.027503,0.470654,-0.027282,-0.366289,0.028381,-0.028073,0.449717,-0.370543,0.403636,-0.366366,-0.367392,0.844441
1,PCB,9,0.032975,0.049087,0.031427,0.352837,0.031396,0.357054,-0.030907,-0.299927,0.048895,-0.048569,0.345064,-0.303240,0.353464,-0.302689,-0.304028,0.761685
1,PCB,10,0.024972,0.029006,0.034448,0.399131,0.034400,0.449704,-0.034192,-0.354359,0.028972,-0.028816,0.411000,-0.358134,0.399056,-0.355195,-0.357297,0.826911
