# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=window window_trs=60 placebo_fit_trs=na seed=20261120 git=nogit
subject,condition,window,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.021663,0.032050,0.031855,0.376690,0.031781,0.408761,-0.031563,-0.330329,0.032037,-0.031847,0.382920,-0.329346,0.375618,-0.327599,-0.330822,0.768589
0,DMT,1,0.027030,0.030714,0.032179,0.403988,0.032179,0.444317,-0.032004,-0.362492,0.030706,-0.030580,0.420003,-0.365178,0.402114,-0.362628,-0.363315,0.819093
0,DMT,2,0.027789,0.033784,0.032561,0.406958,0.032579,0.431148,-0.032201,-0.365949,0.033788,-0.033647,0.419098,-0.365020,0.404806,-0.361576,-0.364957,0.826190
0,DMT,3,0.028963,0.037664,0.035126,0.409474,0.035075,0.423455,-0.034665,-0.362584,0.037793,-0.037168,0.418839,-0.361723,0.408993,-0.360104,-0.362676,0.832225
0,DMT,4,0.021330,0.034074,0.030715,0.361007,0.030671,0.388139,-0.030337,-0.313218,0.034133,-0.033749,0.381926,-0.313422,0.360652,-0.312876,-0.312658,0.737219
0,DMT,5,0.017256,0.030196,0.029085,0.361140,0.028968,0.379709,-0.028703,-0.314100,0.030203,-0.029868,0.374087,-0.314324,0.359821,-0.313176,-0.312608,0.726526
0,DMT,6,0.017293,0.026361,0.026813,0.380357,0.026798,0.398456,-0.026760,-0.341456,0.026336,-0.026272,0.389667,-0.342145,0.379689,-0.340850,-0.341726,0.773725
0,DMT,7,0.017200,0.026775,0.026021,0.378349,0.026031,0.400235,-0.025916,-0.337420,0.026768,-0.026680,0.395883,-0.336867,0.378646,-0.337576,-0.338227,0.763871
0,DMT,8,0.015934,0.028002,0.028622,0.359193,0.028622,0.382320,-0.028466,-0.312584,0.027971,-0.027885,0.362902,-0.314306,0.360483,-0.313587,-0.315264,0.721493
0,DMT,9,0.019226,0.026665,0.028114,0.398965,0.028017,0.424730,-0.027979,-0.358258,0.026717,-0.026416,0.431803,-0.357540,0.399216,-0.359506,-0.358018,0.809264
0,DMT,10,0.020220,0.029724,0.029763,0.380728,0.029724,0.397692,-0.029547,-0.341172,0.029759,-0.029557,0.416461,-0.339765,0.382252,-0.341584,-0.340917,0.778838
0,DMT,11,0.029197,0.035456,0.032115,0.366737,0.032204,0.416192,-0.031877,-0.324096,0.035453,-0.035227,0.409139,-0.321249,0.366436,-0.320567,-0.323708,0.755563
0,DMT,12,0.018983,0.030606,0.026746,0.363058,0.026716,0.395933,-0.026626,-0.321139,0.030525,-0.030333,0.391675,-0.320239,0.363287,-0.321150,-0.320722,0.737106
0,DMT,13,0.018569,0.030340,0.027257,0.361908,0.027190,0.384751,-0.027048,-0.317786,0.030306,-0.030117,0.388233,-0.316792,0.361335,-0.315825,-0.316513,0.736903
0,PCB,0,0.020164,0.029566,0.026508,0.394495,0.026522,0.427704,-0.026451,-0.353788,0.029512,-0.029382,0.410120,-0.357197,0.393410,-0.355341,-0.355679,0.812872
0,PCB,1,0.021216,0.033654,0.028918,0.362425,0.029072,0.382104,-0.028518,-0.313571,0.033714,-0.033242,0.385299,-0.314314,0.363248,-0.314213,-0.315290,0.741062
0,PCB,2,0.019630,0.031665,0.031337,0.363044,0.031321,0.386518,-0.030937,-0.313373,0.031743,-0.031215,0.385530,-0.315103,0.363622,-0.314379,-0.315940,0.742084
0,PCB,3,0.020937,0.029960,0.028796,0.401792,0.028897,0.430582,-0.028602,-0.359688,0.029873,-0.029623,0.424355,-0.359354,0.400729,-0.357046,-0.359592,0.813925
0,PCB,4,0.025471,0.030007,0.030039,0.371805,0.030081,0.423439,-0.029775,-0.331182,0.030104,-0.029904,0.413586,-0.332262,0.372214,-0.331164,-0.332308,0.768579
0,PCB,5,0.020434,0.029978,0.029123,0.369540,0.029064,0.407958,-0.028917,-0.325172,0.029922,-0.029831,0.387244,-0.327975,0.370553,-0.327056,-0.327755,0.753126
