label,set,pre_dmt,pre_pcb,dmt_change,dmt_lo,dmt_hi,dmt_p,pcb_change,pcb_lo,pcb_hi,pcb_p,did,did_lo,did_hi,did_p,n_neg,share_of_pre,phase_p,phase_null_sd,fd_did,fd_lo,fd_hi,fd_p,resid_did,resid_lo,resid_hi,resid_p,resid_n_neg,survives,placebo_share
autocorr_deconv ts_gsr W60,primary,0.7833314326251077,0.7765670443050093,-0.015690814022318905,-0.02376416372779645,-0.00641149738018895,0.006591796875,0.0062944888685855,-0.0001734834103856945,0.012352156959359269,0.0771484375,-0.021985302890904408,-0.03269135329996358,-0.011562223261906535,0.0020751953125,12,-0.028066412217402092,0.015984015984015984,0.008334366625247424,0.014346739579365077,-0.007038787851562497,0.03645704179645336,0.2452392578125,-0.019993650439361806,-0.02859536124312594,-0.01048441263295866,0.00244140625,13.0,True,0.2863043961604736
autocorr_deconv ts_gsr W60,sensitivity,0.7833314326251077,0.7765670443050093,-0.016512102554861265,-0.02453865876084599,-0.007606104425392349,0.004150390625,0.0038198166654190607,-0.0028851720175450306,0.009756493476720645,0.274658203125,-0.020331919220280326,-0.03087718483986024,-0.0097486553725946,0.00341796875,12,-0.025955704537661415,0.02197802197802198,0.00855122714960301,0.019114751916666665,-0.0008026585178125139,0.04022990842482142,0.1082763671875,-0.01783245297037125,-0.026094883429024107,-0.008652504884423207,0.0040283203125,12.0,True,0.18787290191517864
autocorr_deconv ts_gsr W60,early,0.7833314326251077,0.7765670443050093,-0.024206322732918,-0.0316379495447513,-0.01580368386376256,0.0003662109375,0.0043341103557768944,-0.001841748861770662,0.010127863187698113,0.19873046875,-0.028540433088694892,-0.0384256563395205,-0.01849372461932828,0.0003662109375,13,-0.036434683838806166,0.002997002997002997,0.0095613345775072,0.036577911,0.01568577859188987,0.059168159934002956,0.01025390625,-0.024680604637316566,-0.03337727390696378,-0.01630690607812759,0.000244140625,13.0,True,0.15185860502914625
autocorr_deconv ts_gsr W60,late,0.7833314326251077,0.7765670443050093,-0.008878407053839577,-0.01885936298769943,0.002741742946229689,0.1390380859375,0.007862791678832375,0.0008639997790018068,0.014800055098960069,0.05419921875,-0.016741198732671953,-0.029630758191711085,-0.003999724950190044,0.0247802734375,10,-0.02137179492027875,0.08091908091908091,0.009697594591328615,-0.0034381975571428575,-0.029848601319791657,0.02307142915680058,0.806884765625,-0.016244087080997994,-0.026759952887564713,-0.004105749741157644,0.020751953125,11.0,True,0.46966718479289243
autocorr_deconv ts_gsr W60,trend_a_placebo_line,,,,,,,,,,,-0.02383628505374801,-0.03455942189647392,-0.01389437482273834,0.0008544921875,13,,,,,,,,,,,,,,
autocorr_deconv ts_gsr W60,trend_b_shared_slope,,,,,,,,,,,-0.025533825157755104,-0.0351932291923921,-0.01601931020522389,0.00048828125,13,,,,,,,,,,,,,,
sts_deconv ts_gsr W60,primary,0.8315179042720846,0.8078173926303768,-0.05318603816583132,-0.07900599145693599,-0.02470410370928647,0.0040283203125,0.025007554613809133,0.002059237081698925,0.04801339771916551,0.0567626953125,-0.07819359277964044,-0.11818023394480004,-0.04238457438497419,0.0013427734375,13,-0.09403717271498988,0.000999000999000999,0.018175663106168128,0.014346739579365077,-0.007038787851562497,0.03645704179645336,0.2452392578125,-0.06945074101671007,-0.09830418644213064,-0.03902746849514511,0.0015869140625,13.0,True,0.3198159046647674
sts_deconv ts_gsr W60,sensitivity,0.8315179042720846,0.8078173926303768,-0.05542418110361597,-0.08147301730441857,-0.02763092454013563,0.0030517578125,0.017309383920402013,-0.005363632747986738,0.03887911085143518,0.1683349609375,-0.07273356502401798,-0.11168960670279882,-0.036700052993144196,0.001708984375,12,-0.08747083454287055,0.000999000999000999,0.017455039452228198,0.019114751916666665,-0.0008026585178125139,0.04022990842482142,0.1082763671875,-0.062759268373864,-0.09076101474073858,-0.03357937776060359,0.002197265625,13.0,True,0.23798343879728887
sts_deconv ts_gsr W60,early,0.8315179042720846,0.8078173926303768,-0.07732754535604239,-0.10313772706818233,-0.049967554871235,0.0003662109375,0.018543785460105433,-0.004599922600591649,0.04120043563438704,0.155517578125,-0.09587133081614785,-0.13538615116771524,-0.05676528424604904,0.0006103515625,13,-0.11529677271360037,0.000999000999000999,0.021790706682250624,0.036577911,0.01568577859188987,0.059168159934002956,0.01025390625,-0.0805593771070585,-0.11448223854506957,-0.04820261751791529,0.000732421875,13.0,True,0.19342367840566219
sts_deconv ts_gsr W60,late,0.8315179042720846,0.8078173926303768,-0.033872832413662436,-0.06574953369580407,0.0014744950465734302,0.077880859375,0.03017856993677211,0.006192548796797883,0.055583959310400784,0.030517578125,-0.06405140235043454,-0.10892874436432867,-0.023647719453346094,0.0096435546875,12,-0.07702949271610152,0.001998001998001998,0.019903645147635745,-0.0034381975571428575,-0.029848601319791657,0.02307142915680058,0.806884765625,-0.06056383214443135,-0.09241651139145776,-0.024315895459212002,0.007080078125,12.0,True,0.4711617361890184
