# partB22_aligned_directed.py; one row per variant, subject, run and W = 60 window; git=a9d9ca4
variant,subject,run,window,A_other,A_same,winsign,B,D,Sym,D_plus_Sym,Both,rms_anti,residual,sd_r1,sd_absq
ts_gsr,1,DMT,1,-0.00061600468,-0.0012493973,0.0052594551,0.015828319,-0.040775286,-0.00058526449,-0.04136055,-0.043394314,0.11935378,-0.041897677,0.027639196,0.18943446
ts_gsr,1,DMT,2,0.0026237407,0.0044950461,0.0064152697,0.019151888,-0.045541271,-0.015138891,-0.060680162,-0.063533226,0.1163234,-0.063537755,0.029224176,0.2067994
ts_gsr,1,DMT,3,0.0038972418,0.0052338965,0.0068796289,0.019984208,-0.050608184,-0.017212824,-0.067821008,-0.071065905,0.1260414,-0.071167147,0.023093762,0.20524178
ts_gsr,1,DMT,4,0.0039066171,0.0046907873,0.0092897782,0.025725112,-0.05382489,-0.027154157,-0.080979047,-0.085808931,0.12572665,-0.085102562,0.025249087,0.21650579
ts_gsr,1,DMT,5,-0.00056078959,0.00057835753,0.0042735335,0.016368567,-0.040621077,5.9865865e-05,-0.040561211,-0.042115336,0.11966402,-0.041588602,0.031183473,0.19325417
ts_gsr,1,DMT,6,0.00070608482,0.001760327,0.0052932995,0.019539295,-0.036183655,-0.0013371357,-0.037520791,-0.038777404,0.11720682,-0.038391394,0.031651002,0.17452304
ts_gsr,1,DMT,7,0.0021764511,0.0023521464,0.0033011714,0.012667263,-0.034134908,-0.00027295731,-0.034407866,-0.035793758,0.11338953,-0.03572965,0.02225753,0.17721322
ts_gsr,1,DMT,8,0.0037099541,0.0033308587,0.0041643579,0.016231584,-0.035013104,0.0016768605,-0.033336244,-0.034721639,0.11898311,-0.033659357,0.026739087,0.16912675
ts_gsr,1,DMT,9,0.0031864454,0.0039058396,0.0045862987,0.017933153,-0.03753866,-0.00045423736,-0.037992897,-0.039392264,0.12455765,-0.038863761,0.02695119,0.16949151
ts_gsr,1,DMT,10,0.0020489551,0.0016049063,0.007601688,0.026338348,-0.037292942,-0.0099751086,-0.047268051,-0.049089027,0.11136704,-0.048596875,0.030320337,0.18475412
ts_gsr,1,DMT,11,0.0018475319,0.0046038277,0.0077146773,0.026414833,-0.036685634,-0.010677292,-0.047362926,-0.049714996,0.11064171,-0.049504521,0.026089227,0.18388171
ts_gsr,1,DMT,12,0.003854744,0.0060931917,0.011342232,0.032577197,-0.039145482,-0.031825041,-0.070970522,-0.074000423,0.10420658,-0.07354222,0.036146514,0.21456919
ts_gsr,1,DMT,13,0.0037052857,0.0059156008,0.0055733658,0.020589447,-0.036923397,-0.0022718269,-0.039195224,-0.04091169,0.11505028,-0.040779317,0.027099018,0.1826471
ts_gsr,1,DMT,14,0.0032395632,0.0033380689,0.0050926848,0.019501258,-0.034220281,-0.0031359012,-0.037356182,-0.038840548,0.10921302,-0.038622081,0.027703539,0.17722172
ts_gsr,1,PCB,1,0.0026163984,0.0018572161,0.00059562186,0.0043185841,-0.035025612,0.010164848,-0.024860764,-0.024926336,0.11076248,-0.025080126,0.02864172,0.18001227
ts_gsr,1,PCB,2,0.0028569717,0.0019343308,0.0042080263,0.014589194,-0.035732881,-0.00057088782,-0.036303769,-0.037919707,0.11229202,-0.037793547,0.030437297,0.18517425
ts_gsr,1,PCB,3,-0.0035698735,-0.0023828235,0.0024429939,0.0083551353,-0.039180632,0.0053944476,-0.033786185,-0.034103729,0.12039833,-0.033813508,0.033625427,0.18127425
ts_gsr,1,PCB,4,0.0030433946,0.0030384931,0.0052326611,0.017615223,-0.039704019,-0.001036734,-0.040740753,-0.042082932,0.1185836,-0.041948402,0.026927334,0.18340934
ts_gsr,1,PCB,5,0.0016654034,0.0019578173,0.0077934524,0.023425268,-0.034874829,-0.016299239,-0.051174068,-0.053113093,0.099393338,-0.052804087,0.030794519,0.2019947
ts_gsr,1,PCB,6,-0.00041484699,0.0011530542,0.0044548792,0.016540925,-0.040617445,-0.0028233669,-0.043440812,-0.044924511,0.12334388,-0.044401644,0.027399093,0.18416205
ts_gsr,1,PCB,7,0.0043369743,0.0033697928,0.0049935423,0.017289954,-0.038061211,-0.0084789877,-0.046540198,-0.047973294,0.10741673,-0.047732361,0.028602826,0.19446774
ts_gsr,1,PCB,8,0.0041767186,0.0046894695,0.0091884444,0.029892364,-0.039350964,-0.024316102,-0.063667067,-0.066634564,0.10774855,-0.06508599,0.026682494,0.19630207
ts_gsr,1,PCB,9,0.0043070926,0.0039257596,0.006119189,0.02101083,-0.039051939,-0.0070654422,-0.046117381,-0.047947776,0.11701496,-0.047966593,0.027379762,0.18497959
