# partB24_bandpassed_expectations.py; one row per estimator × replicate; git=a9d9ca4
estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did,A_other_level,A_other_did,A_same_level,A_same_did,winsign_level,winsign_did,B_level,B_did,D_level,D_did,Sym_level,Sym_did,D_plus_Sym_level,D_plus_Sym_did,r1_level,r1_did
W60,1,1.187951,-0.095558,-0.099627,0.004069,0.0033,0.002071,0.006069,-0.000369,0.007879,-0.000219,-0.000361,0.000063,-0.000550,0.003340,-0.000939,0.011007,-0.003140,-0.034876,-0.001268,-0.000312,0.005113,-0.035188,0.003845,0.863426,-0.015884
global (run-level prediction),1,1.325019,-0.106271,0.000000,-0.106271,0.0001,-0.111514,-0.101066,nan,nan,,,,,,,,,,,,,,,,
global (period-level prediction),1,1.325019,-0.106271,-0.110951,0.004680,0.0206,0.001033,0.008044,nan,nan,,,,,,,,,,,,,,,,
W60,2,1.192029,-0.095318,-0.098581,0.003263,0.0016,0.001704,0.004924,-0.000187,0.007934,-0.000024,-0.000052,0.000189,0.000442,0.003464,-0.001041,0.010716,-0.002778,-0.034443,-0.001317,0.000218,0.004268,-0.034225,0.002951,0.863767,-0.015405
global (run-level prediction),2,1.329191,-0.104614,0.000000,-0.104614,0.0001,-0.111822,-0.097612,nan,nan,,,,,,,,,,,,,,,,
global (period-level prediction),2,1.329191,-0.104614,-0.111606,0.006992,0.0026,0.003524,0.010452,nan,nan,,,,,,,,,,,,,,,,
W60,3,1.186929,-0.093711,-0.096196,0.002485,0.0391,0.000589,0.004693,-0.000079,0.007672,-0.000502,-0.000217,-0.000218,-0.000337,0.003140,-0.000578,0.010245,-0.001933,-0.035239,-0.001127,0.000003,0.003652,-0.035236,0.002525,0.863161,-0.015580
global (run-level prediction),3,1.323933,-0.104724,0.000000,-0.104724,0.0001,-0.109359,-0.100536,nan,nan,,,,,,,,,,,,,,,,
global (period-level prediction),3,1.323933,-0.104724,-0.107828,0.003103,0.0919,-0.000301,0.006297,nan,nan,,,,,,,,,,,,,,,,
W60,4,1.186776,-0.095109,-0.095383,0.000274,0.7996,-0.001711,0.002351,-0.000671,0.006724,-0.000441,-0.000087,-0.000017,0.000111,0.003149,-0.000212,0.010301,-0.001460,-0.035428,-0.001678,0.000029,0.002169,-0.035399,0.000491,0.863273,-0.014952
global (run-level prediction),4,1.322235,-0.099016,0.000000,-0.099016,0.0001,-0.106585,-0.091809,nan,nan,,,,,,,,,,,,,,,,
