# partB19_exchange_rates.py; BCa and percentile intervals of the per-subject DiDs; git=f1f5fcc
quantity,did,signflip_p,committed_lo,committed_hi,pct_lo,pct_hi,bca_lo,bca_hi,z0,accel,differs_gt_10pct
sts ts_gsr W60 [primary],-0.080866,0.0038,-0.126108,-0.037693,-0.125329,-0.036547,-0.127960,-0.038378,-0.0248,-0.0133,0
sts ts_demean W60 [primary],-0.103112,0.0026,-0.155846,-0.052239,-0.154425,-0.050178,-0.155444,-0.051316,-0.0110,-0.0049,0
sts ts_gsr global-bins [primary],-0.080081,0.0071,-0.131021,-0.031517,-0.130442,-0.029841,-0.132681,-0.031750,-0.0148,-0.0098,0
sts ts_demean global-bins [primary],-0.103471,0.0132,-0.168683,-0.036484,-0.166898,-0.035448,-0.164307,-0.031559,0.0165,0.0144,0
autocorr ts_gsr W60 [primary],-0.014645,0.0106,-0.025070,-0.005164,-0.024775,-0.004884,-0.025865,-0.005684,-0.0369,-0.0278,0
autocorr ts_demean W60 [primary],-0.021575,0.0017,-0.031886,-0.011650,-0.031577,-0.011199,-0.031912,-0.011534,-0.0095,-0.0076,0
autocorr ts_gsr run-standardised bins [primary],-0.458039,0.0001,-0.601848,-0.319974,-0.597303,-0.318071,-0.605158,-0.322652,-0.0158,-0.0103,0
PhiR ts_gsr W60 [primary],0.000661,0.8971,-0.007781,0.009959,-0.007859,0.009881,-0.007106,0.011289,0.0376,0.0360,0
diag observed sts ts_gsr W60 [primary],-0.080866,0.0038,-0.126108,-0.037693,-0.125329,-0.036547,-0.127960,-0.038378,-0.0248,-0.0133,0
diag predicted sts ts_gsr W60 [primary],-0.092395,0.0037,-0.144400,-0.041423,-0.143434,-0.040898,-0.145957,-0.043055,-0.0165,-0.0118,0
diag residual sts ts_gsr W60 [primary],0.011529,0.0422,0.002130,0.021074,0.001814,0.021111,0.002002,0.021230,0.0108,0.0036,0
diag residual sts ts_gsr W60 [early],0.017912,0.0012,0.009884,0.025966,0.009820,0.026153,0.010119,0.026422,0.0135,0.0101,0
diag residual sts ts_gsr W60 [late],0.006422,0.3243,-0.005817,0.018312,-0.005562,0.017988,-0.005611,0.017974,0.0015,-0.0022,0
diag residual sts ts_demean W60 [primary],0.018228,0.0040,0.008940,0.027738,0.008475,0.027606,0.008467,0.027582,-0.0043,0.0019,0
diag residual sts ts_gsr W30 [primary],0.018247,0.0137,0.006567,0.029934,0.006165,0.029794,0.006330,0.029873,0.0088,-0.0004,0
CCSpub sts ts_gsr W60 [primary],0.004378,0.0559,0.000362,0.008128,0.000344,0.008252,0.000191,0.008128,-0.0085,-0.0137,0
CCSpub sts ts_gsr global-bins [primary],0.019654,0.0002,0.014217,0.025412,0.014150,0.025214,0.014445,0.025586,0.0233,0.0135,0
CCSpub sts ts_demean W60 [primary],0.011972,0.0040,0.005411,0.019195,0.005034,0.019276,0.005645,0.019994,0.0263,0.0334,0
CCSpub sts ts_demean global-bins [primary],0.035505,0.0001,0.023129,0.048459,0.023170,0.048365,0.023764,0.049158,0.0261,0.0165,0
sts tau1 ts_gsr W60 [primary],-0.080866,0.0038,-0.126108,-0.037693,-0.125329,-0.036547,-0.127960,-0.038378,-0.0248,-0.0133,0
sts tau2 ts_gsr W60 [primary],-0.042877,0.0037,-0.065366,-0.020442,-0.065739,-0.020018,-0.067009,-0.021049,-0.0246,-0.0137,0
sts tau3 ts_gsr W60 [primary],-0.004263,0.0018,-0.006346,-0.002233,-0.006270,-0.002220,-0.006340,-0.002302,-0.0228,-0.0089,0
sts tau5 ts_gsr W60 [primary],-0.002392,0.3688,-0.007321,0.002233,-0.007237,0.002314,-0.007380,0.002152,-0.0045,-0.0143,0
autocorr lag1 ts_gsr W60 [primary],-0.014645,0.0106,-0.025070,-0.005164,-0.024775,-0.004884,-0.025865,-0.005684,-0.0369,-0.0278,0
autocorr lag2 ts_gsr W60 [primary],-0.046764,0.0090,-0.075388,-0.017436,-0.075609,-0.017232,-0.075991,-0.017686,-0.0105,-0.0034,0
autocorr lag3 ts_gsr W60 [primary],-0.068076,0.0132,-0.111985,-0.021305,-0.111021,-0.022675,-0.110157,-0.022056,0.0018,0.0090,0
autocorr lag5 ts_gsr W60 [primary],-0.010835,0.5670,-0.045262,0.026347,-0.045545,0.025182,-0.043774,0.026992,0.0191,0.0163,0
Table 2 primary sts DiD ts_gsr W60 (from results/atoms_win60),-0.080866,0.0038,nan,nan,-0.125329,-0.036547,-0.127960,-0.038378,-0.0248,-0.0133,0
Table 2 primary sts DiD ts_demean W60 (from results/atoms_win60),-0.103112,0.0026,nan,nan,-0.154425,-0.050178,-0.155444,-0.051316,-0.0110,-0.0049,0
