# partB17_calibration.py; one row per condition × estimator × replicate; git=f1f5fcc
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa = −0.015, Δc = 0,W60,1,0.714830,-0.040258,-0.045428,0.005170,0.0117,0.001717,0.008119,0.000184,0.001465
(i) Δa = −0.015, Δc = 0,global (run-level prediction),1,1.130006,-0.063320,0.000000,-0.063320,0.0001,-0.073657,-0.054783,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),1,1.130006,-0.063320,-0.073042,0.009722,0.0013,0.005498,0.013264,nan,nan
(i) Δa = −0.015, Δc = 0,W60,2,0.718298,-0.048350,-0.053527,0.005177,0.0404,0.000727,0.009732,-0.000110,0.001127
(i) Δa = −0.015, Δc = 0,global (run-level prediction),2,1.137572,-0.078129,-0.000000,-0.078129,0.0001,-0.087675,-0.067545,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),2,1.137572,-0.078129,-0.083870,0.005741,0.1182,-0.000496,0.012294,nan,nan
(i) Δa = −0.015, Δc = 0,W60,3,0.718358,-0.047066,-0.050595,0.003529,0.1057,-0.000035,0.007211,0.000025,0.000560
(i) Δa = −0.015, Δc = 0,global (run-level prediction),3,1.133112,-0.067892,0.000000,-0.067892,0.0001,-0.076385,-0.059797,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),3,1.133112,-0.067892,-0.078024,0.010132,0.0037,0.004529,0.015552,nan,nan
(i) Δa = −0.015, Δc = 0,W60,4,0.714500,-0.037877,-0.041881,0.004004,0.0121,0.001667,0.006481,-0.001180,0.000806
(i) Δa = −0.015, Δc = 0,global (run-level prediction),4,1.130261,-0.059569,0.000000,-0.059569,0.0001,-0.071500,-0.047831,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),4,1.130261,-0.059569,-0.070927,0.011358,0.0006,0.006863,0.015591,nan,nan
(i) Δa = −0.015, Δc = 0,W60,5,0.715735,-0.042952,-0.046434,0.003483,0.0166,0.001070,0.006465,-0.000636,0.000991
(i) Δa = −0.015, Δc = 0,global (run-level prediction),5,1.125839,-0.061316,-0.000000,-0.061316,0.0001,-0.072438,-0.049180,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),5,1.125839,-0.061316,-0.072409,0.011093,0.0027,0.005817,0.016655,nan,nan
(i) Δa = −0.015, Δc = 0,W60,6,0.716107,-0.039476,-0.045600,0.006124,0.0009,0.003472,0.008660,0.000843,0.000648
(i) Δa = −0.015, Δc = 0,global (run-level prediction),6,1.131251,-0.069185,-0.000000,-0.069185,0.0001,-0.076280,-0.062755,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),6,1.131251,-0.069185,-0.075865,0.006680,0.0986,-0.000067,0.013460,nan,nan
(i) Δa = −0.015, Δc = 0,W60,7,0.716716,-0.044304,-0.048899,0.004595,0.0352,0.001009,0.007951,0.000503,0.002268
(i) Δa = −0.015, Δc = 0,global (run-level prediction),7,1.135270,-0.067914,-0.000000,-0.067914,0.0001,-0.076109,-0.060894,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),7,1.135270,-0.067914,-0.076426,0.008512,0.0282,0.001918,0.014845,nan,nan
(i) Δa = −0.015, Δc = 0,W60,8,0.712543,-0.040358,-0.044603,0.004245,0.0300,0.001137,0.007393,0.000239,0.000648
(i) Δa = −0.015, Δc = 0,global (run-level prediction),8,1.129412,-0.070166,0.000000,-0.070166,0.0001,-0.076676,-0.063559,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),8,1.129412,-0.070166,-0.074303,0.004137,0.0933,-0.000414,0.008368,nan,nan
(i) Δa = −0.015, Δc = 0,W60,9,0.714656,-0.038929,-0.047629,0.008700,0.0002,0.006153,0.011068,0.000122,0.001260
(i) Δa = −0.015, Δc = 0,global (run-level prediction),9,1.133390,-0.069093,0.000000,-0.069093,0.0001,-0.076786,-0.062021,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),9,1.133390,-0.069093,-0.081035,0.011941,0.0004,0.008577,0.015350,nan,nan
(i) Δa = −0.015, Δc = 0,W60,10,0.717786,-0.046084,-0.052819,0.006735,0.0062,0.002793,0.010261,0.000493,0.000931
(i) Δa = −0.015, Δc = 0,global (run-level prediction),10,1.134310,-0.068406,0.000000,-0.068406,0.0001,-0.077843,-0.058913,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),10,1.134310,-0.068406,-0.080423,0.012017,0.0021,0.006540,0.016874,nan,nan
(i) Δa = −0.015, Δc = 0,W60,11,0.716071,-0.044629,-0.048456,0.003827,0.0259,0.001115,0.006820,0.000022,0.001598
(i) Δa = −0.015, Δc = 0,global (run-level prediction),11,1.134617,-0.075264,-0.000000,-0.075264,0.0001,-0.084815,-0.067149,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),11,1.134617,-0.075264,-0.083446,0.008183,0.0060,0.003886,0.012478,nan,nan
(i) Δa = −0.015, Δc = 0,W60,12,0.712963,-0.043723,-0.046955,0.003232,0.0490,0.000453,0.006035,-0.000205,0.000799
(i) Δa = −0.015, Δc = 0,global (run-level prediction),12,1.129165,-0.071438,0.000000,-0.071438,0.0001,-0.081911,-0.060492,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),12,1.129165,-0.071438,-0.077340,0.005902,0.0768,0.000172,0.011810,nan,nan
(i) Δa = −0.015, Δc = 0,W60,13,0.713845,-0.039684,-0.045562,0.005878,0.0248,0.001555,0.009971,0.001215,0.001728
(i) Δa = −0.015, Δc = 0,global (run-level prediction),13,1.131602,-0.065005,0.000000,-0.065005,0.0001,-0.075075,-0.053953,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),13,1.131602,-0.065005,-0.074685,0.009681,0.0143,0.002896,0.017518,nan,nan
(i) Δa = −0.015, Δc = 0,W60,14,0.715855,-0.039597,-0.045571,0.005974,0.0040,0.003046,0.008923,0.000659,0.001791
(i) Δa = −0.015, Δc = 0,global (run-level prediction),14,1.132000,-0.070421,-0.000000,-0.070421,0.0001,-0.076795,-0.063802,nan,nan
