# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa (post filter),W60,1,1.189797,-0.094493,-0.097217,0.002724,0.0399,0.000508,0.004886,-0.000043,0.006317
(i) Δa (post filter),global (run-level prediction),1,1.328675,-0.104782,0.000000,-0.104782,0.0001,-0.108874,-0.099576,nan,nan
(i) Δa (post filter),global (period-level prediction),1,1.328675,-0.104782,-0.108372,0.003591,0.0930,-0.000038,0.007138,nan,nan
(i) Δa (post filter),W60,2,1.190192,-0.090928,-0.094687,0.003760,0.0054,0.001606,0.005793,0.000147,0.005927
(i) Δa (post filter),global (run-level prediction),2,1.328189,-0.100383,0.000000,-0.100383,0.0001,-0.109577,-0.092437,nan,nan
(i) Δa (post filter),global (period-level prediction),2,1.328189,-0.100383,-0.106731,0.006348,0.0007,0.004023,0.008377,nan,nan
(i) Δa (post filter),W60,3,1.189234,-0.097951,-0.098873,0.000922,0.3533,-0.000982,0.002785,0.000129,0.007232
(i) Δa (post filter),global (run-level prediction),3,1.326894,-0.106282,0.000000,-0.106282,0.0001,-0.111503,-0.100672,nan,nan
(i) Δa (post filter),global (period-level prediction),3,1.326894,-0.106282,-0.109471,0.003188,0.0442,0.000582,0.006024,nan,nan
(i) Δa (post filter),W60,4,1.188101,-0.094159,-0.094939,0.000780,0.3915,-0.000864,0.002435,-0.000577,0.005689
(i) Δa (post filter),global (run-level prediction),4,1.325359,-0.103240,0.000000,-0.103240,0.0001,-0.110092,-0.096706,nan,nan
(i) Δa (post filter),global (period-level prediction),4,1.325359,-0.103240,-0.106190,0.002950,0.1110,-0.000597,0.006160,nan,nan
(i) Δa (post filter),W60,5,1.191314,-0.093811,-0.095165,0.001355,0.3740,-0.001637,0.003992,0.000232,0.007103
(i) Δa (post filter),global (run-level prediction),5,1.332091,-0.107204,0.000000,-0.107204,0.0001,-0.113355,-0.100445,nan,nan
(i) Δa (post filter),global (period-level prediction),5,1.332091,-0.107204,-0.107601,0.000397,0.8357,-0.003462,0.004003,nan,nan
(i) Δa (post filter),W60,6,1.187928,-0.095457,-0.097814,0.002357,0.1737,-0.000772,0.005373,0.000298,0.007670
(i) Δa (post filter),global (run-level prediction),6,1.324600,-0.104404,-0.000000,-0.104404,0.0001,-0.111554,-0.096982,nan,nan
(i) Δa (post filter),global (period-level prediction),6,1.324600,-0.104404,-0.106308,0.001904,0.1987,-0.001133,0.004299,nan,nan
(i) Δa (post filter),W60,7,1.187841,-0.095185,-0.095206,0.000021,0.9875,-0.002369,0.002514,-0.000400,0.007104
(i) Δa (post filter),global (run-level prediction),7,1.326921,-0.105107,0.000000,-0.105107,0.0001,-0.111304,-0.098392,nan,nan
(i) Δa (post filter),global (period-level prediction),7,1.326921,-0.105107,-0.107735,0.002629,0.0686,0.000383,0.005033,nan,nan
(i) Δa (post filter),W60,8,1.188326,-0.095523,-0.096976,0.001453,0.1974,-0.000646,0.003558,-0.000277,0.006964
(i) Δa (post filter),global (run-level prediction),8,1.326213,-0.102021,0.000000,-0.102021,0.0001,-0.108822,-0.094929,nan,nan
(i) Δa (post filter),global (period-level prediction),8,1.326213,-0.102021,-0.106186,0.004165,0.0118,0.001344,0.006984,nan,nan
(i) Δa (post filter),W60,9,1.189781,-0.095478,-0.100930,0.005452,0.0018,0.002892,0.007978,-0.000773,0.005526
(i) Δa (post filter),global (run-level prediction),9,1.328026,-0.107883,0.000000,-0.107883,0.0001,-0.115296,-0.100875,nan,nan
(i) Δa (post filter),global (period-level prediction),9,1.328026,-0.107883,-0.115047,0.007164,0.0071,0.003064,0.011672,nan,nan
(i) Δa (post filter),W60,10,1.188161,-0.096625,-0.100719,0.004094,0.0002,0.002928,0.005271,-0.000341,0.006433
(i) Δa (post filter),global (run-level prediction),10,1.325926,-0.106220,-0.000000,-0.106220,0.0001,-0.112323,-0.100023,nan,nan
(i) Δa (post filter),global (period-level prediction),10,1.325926,-0.106220,-0.113078,0.006859,0.0060,0.003184,0.010753,nan,nan
(i) Δa (post filter),W60,11,1.189120,-0.092724,-0.096224,0.003500,0.0073,0.001502,0.005533,0.000542,0.006783
(i) Δa (post filter),global (run-level prediction),11,1.328641,-0.104480,-0.000000,-0.104480,0.0001,-0.110362,-0.097858,nan,nan
(i) Δa (post filter),global (period-level prediction),11,1.328641,-0.104480,-0.108531,0.004052,0.0334,0.000827,0.006926,nan,nan
(i) Δa (post filter),W60,12,1.185646,-0.095876,-0.099579,0.003703,0.0013,0.002084,0.005156,-0.000383,0.005566
(i) Δa (post filter),global (run-level prediction),12,1.324820,-0.105952,0.000000,-0.105952,0.0001,-0.111447,-0.101226,nan,nan
(i) Δa (post filter),global (period-level prediction),12,1.324820,-0.105952,-0.109902,0.003951,0.0206,0.001200,0.007032,nan,nan
(i) Δa (post filter),W60,13,1.189308,-0.094500,-0.098900,0.004400,0.0098,0.001307,0.006806,-0.000009,0.004992
(i) Δa (post filter),global (run-level prediction),13,1.328075,-0.107291,0.000000,-0.107291,0.0001,-0.112270,-0.102259,nan,nan
(i) Δa (post filter),global (period-level prediction),13,1.328075,-0.107291,-0.111324,0.004034,0.0177,0.001493,0.006959,nan,nan
(i) Δa (post filter),W60,14,1.184026,-0.086902,-0.091172,0.004270,0.0011,0.002182,0.006600,-0.000089,0.005022
(i) Δa (post filter),global (run-level prediction),14,1.320426,-0.094458,-0.000000,-0.094458,0.0001,-0.100481,-0.087850,nan,nan
(i) Δa (post filter),global (period-level prediction),14,1.320426,-0.094458,-0.101728,0.007270,0.0046,0.003229,0.011478,nan,nan
(i) Δa (post filter),W60,15,1.189609,-0.096464,-0.099769,0.003304,0.0260,0.000984,0.005698,-0.000233,0.006572
(i) Δa (post filter),global (run-level prediction),15,1.327772,-0.108192,-0.000000,-0.108192,0.0001,-0.114903,-0.101048,nan,nan
(i) Δa (post filter),global (period-level prediction),15,1.327772,-0.108192,-0.111309,0.003118,0.2185,-0.001479,0.007486,nan,nan
(i) Δa (post filter),W60,16,1.187665,-0.092246,-0.096001,0.003756,0.0046,0.001736,0.005841,0.000080,0.004638
(i) Δa (post filter),global (run-level prediction),16,1.325072,-0.104057,0.000000,-0.104057,0.0001,-0.108616,-0.098513,nan,nan
(i) Δa (post filter),global (period-level prediction),16,1.325072,-0.104057,-0.110559,0.006502,0.0077,0.002365,0.011414,nan,nan
(i) Δa (post filter),W60,17,1.188981,-0.097607,-0.100648,0.003041,0.0226,0.000851,0.004899,0.000428,0.006155
(i) Δa (post filter),global (run-level prediction),17,1.325922,-0.108169,-0.000000,-0.108169,0.0001,-0.115214,-0.100718,nan,nan
(i) Δa (post filter),global (period-level prediction),17,1.325922,-0.108169,-0.115726,0.007557,0.0070,0.003243,0.011541,nan,nan
(i) Δa (post filter),W60,18,1.185845,-0.092640,-0.096275,0.003635,0.0154,0.001288,0.005974,0.000169,0.007156
(i) Δa (post filter),global (run-level prediction),18,1.324999,-0.101654,0.000000,-0.101654,0.0001,-0.106768,-0.097287,nan,nan
