configuration,run_type,term,value,se,n,ci_lo,ci_hi
0,DMT,run,0.0003134173144193521,4.308820955318982e-05,25000.0,,
0,DMT,wd,0.0003508227638525827,4.398706699476338e-05,25000.0,,
0,DMT,means,-3.7405449433230613e-05,8.364101307191643e-06,25000.0,,
0,DMT,within,0.0003376727477012321,4.158956783188191e-05,25000.0,,
0,DMT,pool,2.924703325333985e-05,1.0258258664228133e-05,25000.0,,
0,DMT,eps,-1.6097017101989192e-05,4.8971700635336645e-06,25000.0,,
0,DMT,d60,0.00012694874800688055,4.2508922590070164e-05,25000.0,,
0,DMT,d60_winsign,0.003303836000338157,4.3281860835810086e-05,25000.0,,
0,PCB,run,0.00047382731121115284,4.123873966367427e-05,25000.0,,
0,PCB,wd,0.00048247404895792754,4.135635230344063e-05,25000.0,,
0,PCB,means,-8.6467377467747e-06,2.4766111360200055e-06,25000.0,,
0,PCB,within,0.00047165896675068354,3.9048046534925025e-05,25000.0,,
0,PCB,pool,3.50083765122535e-05,9.823236806800352e-06,25000.0,,
0,PCB,eps,-2.41932943050095e-05,4.209406495332812e-06,25000.0,,
0,PCB,d60,0.00022198081528466745,4.0160106729454445e-05,25000.0,,
0,PCB,d60_winsign,0.0037328390468217582,4.096127834294967e-05,25000.0,,
0,both,run,0.0003936223128152525,2.9821248513215792e-05,50000.0,,
0,both,wd,0.0004166484064052551,3.0187787011671213e-05,50000.0,,
0,both,means,-2.3026093590002657e-05,4.36153050533936e-06,50000.0,,
0,both,within,0.0004046658572259578,2.8523858831846265e-05,50000.0,,
0,both,pool,3.2127704882796676e-05,7.101546524960051e-06,50000.0,,
0,both,eps,-2.0145155703499347e-05,3.228830193511281e-06,50000.0,,
0,both,d60,0.000174464781645774,2.9239710464921458e-05,50000.0,,
0,both,d60_winsign,0.003518337523579958,2.9795745505436797e-05,50000.0,,
1,DMT,run,0.0002890833502813522,4.3403433176806305e-05,25000.0,,
1,DMT,wd,0.0003200330614263686,4.425393517512717e-05,25000.0,,
1,DMT,means,-3.094971114501646e-05,8.366067952612098e-06,25000.0,,
1,DMT,within,0.00031283324077672955,4.186162675213594e-05,25000.0,,
1,DMT,pool,3.0728845257551954e-05,1.0222231724705162e-05,25000.0,,
1,DMT,eps,-2.3529024607912873e-05,4.949845193425272e-06,25000.0,,
1,DMT,d60,9.467808756693483e-05,4.286288060971592e-05,25000.0,,
1,DMT,d60_winsign,0.003505706280708011,4.3231112618680054e-05,25000.0,,
1,PCB,run,0.00029105673481677306,4.127333653638861e-05,25000.0,,
