# partB23_diagnostic_alternatives.py; one row per part, condition, a and quantity; git=a9d9ca4
part,condition,a,quantity,value,se
a_a1,"δ = +0.005",0.85,"residual change",0.001048540007,nan
a_a1,"δ = -0.005",0.85,"residual change",0.000732553631,nan
a_a1,"δ = +0.010",0.85,"residual change",0.00392814195,nan
a_a1,"δ = -0.010",0.85,"residual change",0.003294465698,nan
a_a1,"δ = +0.020",0.85,"residual change",0.01608700593,nan
a_a1,"δ = -0.020",0.85,"residual change",0.01481855557,nan
a_a2,"δ = +0.005 × sign(q)",0.85,"residual change",-0.01200831668,nan
a_a2,"δ = -0.005 × sign(q)",0.85,"residual change",0.01378941032,nan
a_a2,"δ = +0.010 × sign(q)",0.85,"residual change",-0.02245372676,nan
a_a2,"δ = -0.010 × sign(q)",0.85,"residual change",0.02967633441,nan
a_a2,"δ = +0.020 × sign(q)",0.85,"residual change",-0.03924639855,nan
a_a2,"δ = -0.020 × sign(q)",0.85,"residual change",0.07015196005,nan
a_a3,"c = +0.01",0.85,"residual change",0.0023747691,nan
a_a3,"c = +0.01 × sign(q)",0.85,"residual change",-0.01671324042,nan
a_a3,"c = -0.01",0.85,"residual change",0.001884692238,nan
a_a3,"c = -0.01 × sign(q)",0.85,"residual change",0.02097270176,nan
a_a3,"c = +0.02",0.85,"residual change",0.009119778853,nan
a_a3,"c = +0.02 × sign(q)",0.85,"residual change",-0.02959749575,nan
a_a3,"c = -0.02",0.85,"residual change",0.008125653128,nan
a_a3,"c = -0.02 × sign(q)",0.85,"residual change",0.04684292773,nan
a_a4,"c = +0.01",0.85,"Δr₁",0.0005084132454,nan
a_a4,"c = +0.01",0.85,"Δ mean q",0.05437147243,nan
a_a4,"c = +0.01",0.85,"Δ mean |q|",0.003197603452,nan
a_a4,"c = +0.01",0.85,"mean δ_sym",0.008846428458,nan
a_a4,"c = +0.01",0.85,"residual change",-0.00190038014,nan
a_a4,"c = +0.02",0.85,"Δr₁",0.00210923072,nan
a_a4,"c = +0.02",0.85,"Δ mean q",0.1089916839,nan
a_a4,"c = +0.02",0.85,"Δ mean |q|",0.01320246598,nan
a_a4,"c = +0.02",0.85,"mean δ_sym",0.01755218972,nan
a_a4,"c = +0.02",0.85,"residual change",-0.008149247662,nan
a_a4,"c = +0.03",0.85,"Δr₁",0.004816938308,nan
a_a4,"c = +0.03",0.85,"Δ mean q",0.1640947582,nan
a_a4,"c = +0.03",0.85,"Δ mean |q|",0.03016341386,nan
a_a4,"c = +0.03",0.85,"mean δ_sym",0.02596526103,nan
a_a4,"c = +0.03",0.85,"residual change",-0.01893206315,nan
a_a4,"c = -0.02",0.85,"Δr₁",0.002248799771,nan
a_a4,"c = -0.02",0.85,"Δ mean q",-0.1089098406,nan
a_a4,"c = -0.02",0.85,"Δ mean |q|",0.01487774088,nan
a_a4,"c = -0.02",0.85,"mean δ_sym",-0.01752582301,nan
a_a4,"c = -0.02",0.85,"residual change",-0.009125351788,nan
a_a5,"Δa_s = −0.01",0.85,"Δr₁",-0.002716435695,nan
a_a5,"Δa_s = −0.01",0.85,"Δ mean(sign(q)·δ_sym)",-0.001583937604,nan
a_a5,"Δa_s = −0.01",0.85,"residual change",0.004662286321,nan
a_a5,"Δa_s = −0.01",0.85,"residual change / Δr₁",-1.716324936,nan
a_a5,"Δa_s = −0.02",0.85,"Δr₁",-0.005432871391,nan
a_a5,"Δa_s = −0.02",0.85,"Δ mean(sign(q)·δ_sym)",-0.003167875207,nan
a_a5,"Δa_s = −0.02",0.85,"residual change",0.009280918954,nan
a_a5,"Δa_s = −0.02",0.85,"residual change / Δr₁",-1.708289832,nan
a_a5,"Δa_s = −0.03",0.85,"Δr₁",-0.008149307086,nan
a_a5,"Δa_s = −0.03",0.85,"Δ mean(sign(q)·δ_sym)",-0.004751812811,nan
a_a5,"Δa_s = −0.03",0.85,"residual change",0.01385129449,nan
a_a5,"Δa_s = −0.03",0.85,"residual change / Δr₁",-1.699689843,nan
a_a5,"λ → 0.9λ",0.85,"Δr₁",-0.001629861417,nan
a_a5,"λ → 0.9λ",0.85,"Δ mean(sign(q)·δ_sym)",-0.0003388135926,nan
a_a5,"λ → 0.9λ",0.85,"residual change",0.004713525839,nan
a_a5,"λ → 0.9λ",0.85,"residual change / Δr₁",-2.89197952,nan
a_a1,"δ = +0.005",0.8632,"residual change",0.001258756993,nan
a_a1,"δ = -0.005",0.8632,"residual change",0.0009123566902,nan
a_a1,"δ = +0.010",0.8632,"residual change",0.00476173583,nan
a_a1,"δ = -0.010",0.8632,"residual change",0.004066781171,nan
a_a1,"δ = +0.020",0.8632,"residual change",0.01993834324,nan
a_a1,"δ = -0.020",0.8632,"residual change",0.01855503202,nan
a_a2,"δ = +0.005 × sign(q)",0.8632,"residual change",-0.01307021759,nan
a_a2,"δ = -0.005 × sign(q)",0.8632,"residual change",0.01524133128,nan
a_a2,"δ = +0.010 × sign(q)",0.8632,"residual change",-0.02425332796,nan
a_a2,"δ = -0.010 × sign(q)",0.8632,"residual change",0.03308184496,nan
a_a2,"δ = +0.020 × sign(q)",0.8632,"residual change",-0.04170084905,nan
a_a2,"δ = -0.020 × sign(q)",0.8632,"residual change",0.08019422431,nan
a_a3,"c = +0.01",0.8632,"residual change",0.002873842748,nan
a_a3,"c = +0.01 × sign(q)",0.8632,"residual change",-0.01806977396,nan
a_a3,"c = -0.01",0.8632,"residual change",0.0023361251,nan
a_a3,"c = -0.01 × sign(q)",0.8632,"residual change",0.02327974181,nan
a_a3,"c = +0.02",0.8632,"residual change",0.01111801523,nan
