# partB15_directed_crosslag.py; run level and W = 60; git=f1f5fcc
variant,subject,run,rms_anti_run,rms_sym_run,resp_anti_run,resp_sym_run,resp_both_run,residual_run,mean_a,mean_abs_q,rms_anti_w60_mean,signq_sym_w60_mean
ts_gsr,1,DMT,0.042285,0.009553,-0.007592,-0.008650,-0.016603,-0.016596,0.85717,0.19884,0.116552,0.006199
ts_gsr,1,PCB,0.039447,0.009093,-0.006613,-0.005436,-0.012226,-0.012233,0.86462,0.18973,0.111365,0.005260
ts_gsr,2,DMT,0.043541,0.008560,-0.007493,-0.006347,-0.014059,-0.014063,0.86016,0.19032,0.114030,0.005395
ts_gsr,2,PCB,0.046237,0.008349,-0.008302,-0.000768,-0.009156,-0.009146,0.86738,0.19707,0.114136,0.005391
ts_gsr,3,DMT,0.035735,0.008957,-0.005537,-0.005820,-0.011546,-0.011561,0.86030,0.17454,0.112964,0.005104
ts_gsr,3,PCB,0.034882,0.007738,-0.006624,-0.008110,-0.014891,-0.014895,0.87075,0.22655,0.104376,0.005385
ts_gsr,4,DMT,0.032612,0.009161,-0.004425,-0.007555,-0.012140,-0.012137,0.87416,0.16015,0.102803,0.008057
ts_gsr,4,PCB,0.029951,0.009661,-0.004185,-0.010341,-0.014696,-0.014696,0.87910,0.17116,0.100535,0.008332
ts_gsr,5,DMT,0.036675,0.008701,-0.005714,-0.005808,-0.011696,-0.011700,0.86821,0.18243,0.106803,0.006323
ts_gsr,5,PCB,0.034409,0.008396,-0.005905,-0.006333,-0.012372,-0.012367,0.87194,0.20466,0.104020,0.005952
ts_gsr,6,DMT,0.034836,0.009913,-0.005078,-0.008585,-0.013901,-0.013904,0.86708,0.17198,0.110307,0.007314
ts_gsr,6,PCB,0.031932,0.009471,-0.004456,-0.008750,-0.013382,-0.013381,0.86953,0.16945,0.104569,0.007603
ts_gsr,7,DMT,0.033654,0.010724,-0.005602,-0.013286,-0.019156,-0.019158,0.86802,0.20854,0.107087,0.006673
ts_gsr,7,PCB,0.044363,0.009382,-0.008954,-0.003104,-0.012227,-0.012228,0.85992,0.22727,0.115256,0.003863
ts_gsr,8,DMT,0.038540,0.010364,-0.006259,-0.005948,-0.012427,-0.012427,0.86537,0.18545,0.110484,0.005627
ts_gsr,8,PCB,0.032728,0.009924,-0.005780,-0.011424,-0.017433,-0.017433,0.88710,0.20595,0.102142,0.008704
ts_gsr,9,DMT,0.033792,0.009368,-0.006120,-0.011470,-0.017867,-0.017870,0.86912,0.20621,0.107655,0.006464
ts_gsr,9,PCB,0.034069,0.009451,-0.005719,-0.009979,-0.015919,-0.015917,0.87455,0.19426,0.105471,0.007411
ts_gsr,10,DMT,0.043822,0.009260,-0.008357,-0.007457,-0.016031,-0.016023,0.86778,0.22427,0.112188,0.005888
ts_gsr,10,PCB,0.041898,0.009317,-0.007502,-0.003066,-0.010725,-0.010729,0.87055,0.20766,0.112879,0.005258
ts_gsr,11,DMT,0.035125,0.010836,-0.005380,-0.006458,-0.012039,-0.012027,0.85785,0.18360,0.111512,0.005601
ts_gsr,11,PCB,0.042889,0.008647,-0.008110,-0.003710,-0.011964,-0.011974,0.86024,0.20789,0.113108,0.004685
ts_gsr,12,DMT,0.036357,0.009876,-0.005838,-0.008465,-0.014494,-0.014496,0.86641,0.19557,0.107471,0.006573
ts_gsr,12,PCB,0.038701,0.009335,-0.006558,-0.007559,-0.014325,-0.014323,0.87253,0.19020,0.105478,0.007107
ts_gsr,13,DMT,0.035614,0.008784,-0.005157,-0.003680,-0.008982,-0.008985,0.85785,0.17205,0.112991,0.005271
