# partB14_family_atoms.py; ts_gsr W60; level = DMT windows 1–4; DiD = windows 6–14 minus 1–4, DMT minus placebo; git=f1f5fcc
atom,observed_level,predicted_level,residual_level,observed_did,predicted_did,residual_did,observed_did_neg,predicted_did_neg,residual_did_neg
rtr,0.038810,0.050402,-0.011592,-0.007771,-0.008565,0.000794,10,10,4
rtx,0.025808,0.002746,0.023062,-0.001178,-0.000344,-0.000835,9,10,8
rty,0.025430,0.002429,0.023001,-0.001162,-0.000036,-0.001126,9,10,9
rts,0.566870,0.575608,-0.008737,-0.040661,-0.041428,0.000767,12,13,4
xtr,0.025427,0.002429,0.022998,-0.001156,-0.000036,-0.001120,9,10,9
xtx,0.627262,0.661730,-0.034468,-0.052325,-0.053486,0.001161,12,12,5
xty,-0.025408,-0.002429,-0.022979,0.001162,0.000036,0.001126,5,4,5
xts,-0.535191,-0.574669,0.039479,0.039900,0.041328,-0.001428,2,2,9
ytr,0.025805,0.002746,0.023059,-0.001171,-0.000344,-0.000827,9,10,8
ytx,-0.025784,-0.002746,-0.023038,0.001174,0.000344,0.000830,5,4,6
yty,0.612527,0.646995,-0.034468,-0.039617,-0.040776,0.001159,13,12,5
yts,-0.535777,-0.574717,0.038940,0.040388,0.041372,-0.000984,2,2,9
str,0.566741,0.574952,-0.008211,-0.040793,-0.041382,0.000589,12,12,5
stx,-0.534978,-0.574952,0.039974,0.040077,0.041382,-0.001305,2,2,9
sty,-0.535740,-0.574952,0.039211,0.040280,0.041382,-0.001101,2,2,9
sts,1.155377,1.208398,-0.053021,-0.080866,-0.092395,0.011529,13,13,4
