# partB21_inference_revision.py; one row per quantity; git=a9d9ca4
group,label,set,field,source,quoted_at,n,mean,committed_mean,check,p_exact,committed_p,p_tol,pct_lo,pct_hi,inv_lo,inv_hi,t_lo,t_hi,width_ratio,zero_in_pct,zero_in_inv,zero_in_t,n_neg,grid_violations,note
pickle,CCS sts ts_gsr W60,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,0.0036221440272097487,np.float64(0.0036221440272097487),ok,0.0843505859375,0.0843505859375,1e-09,np.float64(-6.100670797164914e-05),np.float64(0.00717259156811154),-0.000581647783969319,0.00780277500238615,np.float64(-0.0005494087503949388),np.float64(0.007793696804814437),np.float64(1.1590943353983743),yes,yes,yes,4,0,
pickle,CCS sts ts_gsr W60,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,0.0038072088017966042,np.float64(0.0038072088017966042),ok,0.0516357421875,0.0516357421875,1e-09,np.float64(0.00045267952398803525),np.float64(0.007084025247149851),-4.30781046204531e-05,0.007669956015932721,np.float64(-1.2677250014645706e-05),np.float64(0.007627094853607854),np.float64(1.1631174790982863),no,yes,yes,4,0,
pickle,CCS sts ts_gsr W60,early,did,notes/review_results/inference_rows_ccs.pkl,,14,0.0038314701541320552,np.float64(0.0038314701541320552),ok,0.0966796875,0.0966796875,1e-09,np.float64(-0.0002360698440705092),np.float64(0.007992487387038557),-0.0008380463286306111,0.0085522281144586,np.float64(-0.0008377746830130813),np.float64(0.008500714991277192),np.float64(1.1411811547701376),yes,yes,yes,5,0,
pickle,CCS sts ts_gsr W60,late,did,notes/review_results/inference_rows_ccs.pkl,,14,0.0034546831256718974,np.float64(0.0034546831256718974),ok,0.13671875,0.13671875,1e-09,np.float64(-0.0007730939014373173),np.float64(0.007492064913254446),-0.001252667128401281,0.008101791033281817,np.float64(-0.0012259138331170948),np.float64(0.00813528008446089),np.float64(1.1317941217360574),yes,yes,yes,3,0,
pickle,CCS sts ts_gsr W60,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,0.003305886434303493,np.float64(0.003305886434303493),ok,0.068359375,0.068359375,1e-09,np.float64(0.00026113262581506353),np.float64(0.006481516954410014),-0.00025564349394304576,0.006874029072353264,np.float64(-0.00027502258608840457),np.float64(0.00688679545469539),np.float64(1.1461787873011937),no,yes,yes,3,0,
pickle,CCS sts ts_gsr W60,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,0.003316545159947825,np.float64(0.003316545159947825),ok,0.030029296875,0.030029296875,1e-09,np.float64(0.0007780084973077994),np.float64(0.006020473714625044),0.00034062655725159314,0.006319781848542639,np.float64(0.0003254419090842871),np.float64(0.006307648410811363),np.float64(1.1405235978562756),no,no,no,4,0,
pickle,CCS xtx+yty ts_gsr W60,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.09091291005161249,np.float64(-0.09091291005161249),ok,0.0048828125,0.0048828125,1e-09,np.float64(-0.1440548012485804),np.float64(-0.03998517337620031),-0.15084063904390627,-0.03280830672651153,np.float64(-0.1509752484146969),np.float64(-0.030850571688528103),np.float64(1.1341669489021047),no,no,no,12,0,
pickle,CCS xtx+yty ts_gsr W60,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.08114566521250414,np.float64(-0.08114566521250414),ok,0.009521484375,0.009521484375,1e-09,np.float64(-0.13373536493281035),np.float64(-0.029300258442048588),-0.140583884503174,-0.023166484072564754,np.float64(-0.14083609667373748),np.float64(-0.021455233751270807),np.float64(1.124309673021647),no,no,no,12,0,
pickle,CCS xtx+yty ts_gsr W60,early,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.11285341767301985,np.float64(-0.11285341767301985),ok,0.001220703125,0.001220703125,1e-09,np.float64(-0.16511992150687274),np.float64(-0.0628618663816458),-0.17243657126436324,-0.053312963937501685,np.float64(-0.1724459282158599),np.float64(-0.05326090713017979),np.float64(1.1649312827334803),no,no,no,12,0,
pickle,CCS xtx+yty ts_gsr W60,late,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.0733605039544867,np.float64(-0.0733605039544867),ok,0.0333251953125,0.0333251953125,1e-09,np.float64(-0.13259737404487426),np.float64(-0.01368406996869511),-0.1408838504475398,-0.006716897114788392,np.float64(-0.14146295232287598),np.float64(-0.005258055586097446),np.float64(1.1282753799087135),no,no,no,10,0,
