# partB9_leave_two_out.py; ts_gsr W60 primary; per-subject DiDs from inference_rows_raw.pkl; subjects 1-based; git=d507728
drop_a,drop_b,pearson_r,spearman_rho
1,2,0.953695,0.888112
1,3,0.954338,0.888112
1,4,0.957839,0.888112
1,5,0.950580,0.874126
1,6,0.963744,0.902098
1,7,0.953489,0.916084
1,8,0.921244,0.867133
1,9,0.954096,0.909091
1,10,0.964225,0.888112
1,11,0.960901,0.923077
1,12,0.954094,0.916084
1,13,0.951534,0.874126
1,14,0.930689,0.867133
2,3,0.955614,0.888112
2,4,0.959248,0.888112
2,5,0.950832,0.874126
2,6,0.963645,0.923077
2,7,0.954300,0.916084
2,8,0.923312,0.867133
2,9,0.954603,0.909091
2,10,0.966010,0.888112
2,11,0.960761,0.902098
2,12,0.955016,0.916084
2,13,0.951435,0.874126
2,14,0.929221,0.867133
3,4,0.960496,0.881119
3,5,0.952154,0.874126
3,6,0.964390,0.923077
3,7,0.955203,0.923077
3,8,0.912724,0.867133
3,9,0.954287,0.888112
3,10,0.967950,0.881119
3,11,0.961746,0.923077
3,12,0.955929,0.923077
3,13,0.952979,0.874126
3,14,0.932918,0.867133
4,5,0.955761,0.874126
4,6,0.967403,0.923077
4,7,0.958768,0.923077
4,8,0.922961,0.867133
4,9,0.958002,0.888112
4,10,0.971493,0.881119
4,11,0.964826,0.923077
4,12,0.959507,0.923077
4,13,0.956465,0.874126
4,14,0.938130,0.867133
5,6,0.961476,0.909091
5,7,0.950784,0.909091
5,8,0.916451,0.853147
5,9,0.951656,0.895105
5,10,0.962511,0.874126
5,11,0.958440,0.909091
5,12,0.951442,0.909091
5,13,0.948155,0.853147
5,14,0.922429,0.853147
6,7,0.963491,0.930070
6,8,0.943126,0.902098
6,9,0.965698,0.944056
6,10,0.973439,0.923077
6,11,0.972646,0.944056
6,12,0.963969,0.930070
6,13,0.962961,0.909091
6,14,0.945874,0.902098
7,8,0.922077,0.902098
7,9,0.954273,0.944056
7,10,0.965398,0.923077
7,11,0.960684,0.930070
7,12,0.954685,0.937063
7,13,0.951513,0.909091
7,14,0.930245,0.902098
8,9,0.922817,0.888112
8,10,0.932479,0.867133
8,11,0.936617,0.902098
8,12,0.923111,0.902098
8,13,0.917108,0.853147
8,14,0.845798,0.846154
9,10,0.964304,0.888112
9,11,0.962587,0.944056
9,12,0.954853,0.944056
9,13,0.952707,0.895105
9,14,0.932124,0.888112
10,11,0.970992,0.923077
10,12,0.966190,0.923077
10,13,0.963189,0.874126
10,14,0.947493,0.867133
11,12,0.961179,0.930070
11,13,0.959916,0.909091
11,14,0.941318,0.902098
12,13,0.952118,0.909091
12,14,0.931177,0.902098
13,14,0.923756,0.853147
