# partB16_prewhiten.py; chosen AR order per region and run; git=f1f5fcc
whitening,variant,subject,run,region_index,p
arp,ts_gsr,1,DMT,0,5
arp,ts_gsr,1,DMT,1,5
arp,ts_gsr,1,DMT,2,5
arp,ts_gsr,1,DMT,3,5
arp,ts_gsr,1,DMT,4,5
arp,ts_gsr,1,DMT,5,5
arp,ts_gsr,1,DMT,6,5
arp,ts_gsr,1,DMT,7,5
arp,ts_gsr,1,DMT,8,5
arp,ts_gsr,1,DMT,9,5
arp,ts_gsr,1,DMT,10,5
arp,ts_gsr,1,DMT,11,5
arp,ts_gsr,1,DMT,12,5
arp,ts_gsr,1,DMT,13,5
arp,ts_gsr,1,DMT,14,5
arp,ts_gsr,1,DMT,15,5
arp,ts_gsr,1,DMT,16,5
arp,ts_gsr,1,DMT,17,5
arp,ts_gsr,1,DMT,18,5
arp,ts_gsr,1,DMT,19,5
arp,ts_gsr,1,DMT,21,5
arp,ts_gsr,1,DMT,22,5
arp,ts_gsr,1,DMT,23,5
arp,ts_gsr,1,DMT,24,5
arp,ts_gsr,1,DMT,25,5
arp,ts_gsr,1,DMT,26,5
arp,ts_gsr,1,DMT,27,5
arp,ts_gsr,1,DMT,28,5
arp,ts_gsr,1,DMT,29,5
arp,ts_gsr,1,DMT,30,5
arp,ts_gsr,1,DMT,31,5
arp,ts_gsr,1,DMT,32,5
arp,ts_gsr,1,DMT,33,5
arp,ts_gsr,1,DMT,34,5
arp,ts_gsr,1,DMT,35,5
arp,ts_gsr,1,DMT,36,5
arp,ts_gsr,1,DMT,37,5
arp,ts_gsr,1,DMT,38,5
arp,ts_gsr,1,DMT,39,5
arp,ts_gsr,1,DMT,40,5
arp,ts_gsr,1,DMT,41,5
arp,ts_gsr,1,DMT,42,5
arp,ts_gsr,1,DMT,43,5
arp,ts_gsr,1,DMT,44,5
arp,ts_gsr,1,DMT,45,5
arp,ts_gsr,1,DMT,46,5
arp,ts_gsr,1,DMT,47,5
arp,ts_gsr,1,DMT,48,5
arp,ts_gsr,1,DMT,49,5
arp,ts_gsr,1,DMT,50,5
arp,ts_gsr,1,DMT,51,5
arp,ts_gsr,1,DMT,52,5
arp,ts_gsr,1,DMT,53,5
arp,ts_gsr,1,DMT,54,5
arp,ts_gsr,1,DMT,55,5
arp,ts_gsr,1,DMT,56,5
arp,ts_gsr,1,DMT,57,5
arp,ts_gsr,1,DMT,58,5
arp,ts_gsr,1,DMT,59,5
arp,ts_gsr,1,DMT,60,5
arp,ts_gsr,1,DMT,61,5
arp,ts_gsr,1,DMT,62,5
arp,ts_gsr,1,DMT,63,5
arp,ts_gsr,1,DMT,64,5
arp,ts_gsr,1,DMT,65,5
arp,ts_gsr,1,DMT,66,5
arp,ts_gsr,1,DMT,67,5
arp,ts_gsr,1,DMT,68,5
arp,ts_gsr,1,DMT,69,5
arp,ts_gsr,1,DMT,70,5
arp,ts_gsr,1,DMT,71,5
arp,ts_gsr,1,DMT,72,5
arp,ts_gsr,1,DMT,73,5
arp,ts_gsr,1,DMT,74,5
arp,ts_gsr,1,DMT,75,5
arp,ts_gsr,1,DMT,76,5
arp,ts_gsr,1,DMT,77,5
arp,ts_gsr,1,DMT,78,5
arp,ts_gsr,1,DMT,79,5
arp,ts_gsr,1,DMT,80,5
arp,ts_gsr,1,DMT,81,5
arp,ts_gsr,1,DMT,82,5
arp,ts_gsr,1,DMT,83,5
arp,ts_gsr,1,DMT,84,5
arp,ts_gsr,1,DMT,85,5
arp,ts_gsr,1,DMT,86,5
arp,ts_gsr,1,DMT,87,5
arp,ts_gsr,1,DMT,88,5
arp,ts_gsr,1,DMT,89,5
arp,ts_gsr,1,DMT,90,5
arp,ts_gsr,1,DMT,91,5
arp,ts_gsr,1,DMT,92,5
arp,ts_gsr,1,DMT,93,5
arp,ts_gsr,1,DMT,94,5
arp,ts_gsr,1,DMT,95,5
arp,ts_gsr,1,DMT,96,5
arp,ts_gsr,1,DMT,97,5
arp,ts_gsr,1,DMT,98,5
arp,ts_gsr,1,DMT,99,5
arp,ts_gsr,1,DMT,100,5
arp,ts_gsr,1,DMT,101,5
arp,ts_gsr,1,DMT,102,5
arp,ts_gsr,1,DMT,103,5
arp,ts_gsr,1,DMT,104,5
arp,ts_gsr,1,DMT,105,5
arp,ts_gsr,1,DMT,106,5
arp,ts_gsr,1,DMT,107,5
arp,ts_gsr,1,DMT,108,5
arp,ts_gsr,1,DMT,109,5
arp,ts_gsr,1,DMT,110,5
arp,ts_gsr,1,DMT,111,5
arp,ts_gsr,1,DMT,112,5
arp,ts_gsr,1,DMT,113,5
arp,ts_gsr,1,DMT,114,5
arp,ts_gsr,1,DMT,115,5
arp,ts_gsr,1,PCB,0,5
arp,ts_gsr,1,PCB,1,5
arp,ts_gsr,1,PCB,2,5
arp,ts_gsr,1,PCB,3,5
