# partB20_regional_partial.py; residual maps after partialling regional r₁; git=f1f5fcc
region_index,name,network,sts,rtr,sts_minus_rtr,r1_windowed,r1_span,sts_resid_win,smr_resid_win,sts_resid_span,smr_resid_span
0,LH_Vis_1,Vis,1.208287,0.005270,1.203017,0.825099,0.839026,-0.018151,-0.011045,-0.014750,-0.008021
1,LH_Vis_2,Vis,1.252094,0.028110,1.223984,0.834218,0.852838,-0.002507,-0.013699,-0.011128,-0.020863
2,LH_Vis_3,Vis,1.278820,0.029765,1.249055,0.842162,0.856811,-0.000318,-0.009209,0.004037,-0.005518
3,LH_Vis_4,Vis,1.286822,0.027626,1.259196,0.843727,0.861180,0.002849,-0.003123,-0.000671,-0.006071
4,LH_Vis_5,Vis,1.284875,0.019088,1.265787,0.837557,0.852409,0.019961,0.019454,0.022899,0.021989
5,LH_Vis_6,Vis,1.301714,0.024378,1.277336,0.842783,0.855674,0.020656,0.017462,0.030242,0.025548
6,LH_Vis_7,Vis,1.315083,0.016760,1.298323,0.842996,0.862340,0.033368,0.037898,0.024213,0.030215
7,LH_Vis_8,Vis,1.285134,0.033196,1.251938,0.842179,0.858210,0.005944,-0.006370,0.006282,-0.006059
8,LH_Vis_9,Vis,1.304132,0.029091,1.275041,0.841370,0.855167,0.027439,0.018828,0.034134,0.024493
9,LH_SomMot_1,SomMot,1.301889,0.026815,1.275074,0.851657,0.866155,-0.006575,-0.007786,-0.000080,-0.002372
10,LH_SomMot_2,SomMot,1.265005,0.018901,1.246103,0.834010,0.854283,0.011045,0.008958,-0.002420,-0.002280
11,LH_SomMot_3,SomMot,1.286553,0.036974,1.249579,0.847176,0.863278,-0.008072,-0.021674,-0.007045,-0.020824
12,LH_SomMot_4,SomMot,1.276822,0.028761,1.248061,0.847742,0.858332,-0.019552,-0.024659,-0.002385,-0.010234
13,LH_SomMot_5,SomMot,1.303691,0.037814,1.265877,0.857116,0.880274,-0.021634,-0.031125,-0.039358,-0.046129
14,LH_SomMot_6,SomMot,1.324014,0.033415,1.290599,0.853096,0.876567,0.011104,0.004010,-0.008250,-0.012334
15,LH_DorsAttn_Post_1,DorsAttn,1.310030,0.016281,1.293749,0.837747,0.857716,0.044527,0.046922,0.032615,0.036961
16,LH_DorsAttn_Post_2,DorsAttn,1.297218,0.029489,1.267730,0.845783,0.865015,0.006895,0.000085,-0.001433,-0.006925
17,LH_DorsAttn_Post_3,DorsAttn,1.346143,0.016499,1.329644,0.854035,0.871901,0.030332,0.040621,0.027457,0.038134
18,LH_DorsAttn_Post_4,DorsAttn,1.297389,0.028131,1.269259,0.847666,0.865186,0.001252,-0.003263,-0.001761,-0.005816
19,LH_DorsAttn_Post_5,DorsAttn,1.335920,0.013197,1.322723,0.850790,0.868496,0.030132,0.042107,0.027141,0.039548
21,LH_DorsAttn_PrCv_1,DorsAttn,1.296814,0.019061,1.277753,0.849076,0.866099,-0.003679,0.001579,-0.004992,0.000445
22,LH_DorsAttn_FEF_1,DorsAttn,1.253099,0.015118,1.237981,0.828244,0.850841,0.016949,0.015773,-0.004312,-0.001976
23,LH_SalVentAttn_ParOper_1,SalVentAttn,1.342902,0.029166,1.313736,0.868540,0.885180,-0.017708,-0.012862,-0.014420,-0.010279
24,LH_SalVentAttn_FrOperIns_1,SalVentAttn,1.278986,0.015652,1.263334,0.845101,0.857926,-0.009229,-0.002543,0.000959,0.006031
25,LH_SalVentAttn_FrOperIns_2,SalVentAttn,1.306497,0.026712,1.279785,0.848395,0.865318,0.008107,0.005374,0.006963,0.004388
26,LH_SalVentAttn_PFCl_1,SalVentAttn,1.322795,0.019327,1.303468,0.856713,0.874701,-0.001286,0.007510,-0.004038,0.005104
27,LH_SalVentAttn_Med_1,SalVentAttn,1.285107,0.016278,1.268829,0.844752,0.861070,-0.002030,0.003856,-0.002067,0.003830
28,LH_SalVentAttn_Med_2,SalVentAttn,1.241162,0.013109,1.228053,0.832735,0.847650,-0.008858,-0.005789,-0.006966,-0.004095
29,LH_SalVentAttn_Med_3,SalVentAttn,1.300366,0.020828,1.279537,0.847916,0.864873,0.003455,0.006367,0.002128,0.005231
30,LH_Limbic_OFC_1,Limbic,1.359685,0.013152,1.346533,0.858766,0.874971,0.029263,0.045256,0.032065,0.047507
31,LH_Limbic_TempPole_1,Limbic,1.300679,0.008392,1.292287,0.838166,0.853774,0.033884,0.044376,0.034733,0.045149
32,LH_Limbic_TempPole_2,Limbic,1.261408,0.011263,1.250145,0.834614,0.849026,0.005584,0.011436,0.009278,0.014630
33,LH_Cont_Par_1,Cont,1.347752,0.023579,1.324173,0.866325,0.882343,-0.006019,0.003312,-0.001317,0.007101
34,LH_Cont_PFCl_1,Cont,1.334763,0.023831,1.310931,0.856382,0.875196,0.011704,0.015830,0.006488,0.011354
35,LH_Cont_pCun_1,Cont,1.347216,0.016308,1.330908,0.851264,0.868559,0.039964,0.049064,0.038252,0.047577
36,LH_Cont_Cing_1,Cont,1.305494,0.026834,1.278661,0.847043,0.865084,0.011281,0.007753,0.006641,0.003836
37,LH_Default_Temp_1,Default,1.320948,0.017207,1.303742,0.854365,0.871451,0.004118,0.013864,0.003571,0.013333
38,LH_Default_Temp_2,Default,1.313936,0.012235,1.301701,0.838582,0.855245,0.045855,0.052712,0.043710,0.050962
39,LH_Default_Par_1,Default,1.279796,0.011070,1.268726,0.840854,0.852273,0.004698,0.013851,0.018218,0.025263
40,LH_Default_Par_2,Default,1.300910,0.041616,1.259294,0.853330,0.870587,-0.012724,-0.027903,-0.013953,-0.028999
41,LH_Default_PFC_1,Default,1.191900,0.011783,1.180117,0.825521,0.836156,-0.035839,-0.035036,-0.022784,-0.023894
42,LH_Default_PFC_2,Default,1.302726,0.016500,1.286227,0.843101,0.861687,0.020688,0.025530,0.013758,0.019719
43,LH_Default_PFC_3,Default,1.339610,0.027729,1.311881,0.856035,0.878902,0.017622,0.017678,0.000554,0.003234
44,LH_Default_PFC_4,Default,1.309770,0.026819,1.282951,0.858858,0.869674,-0.020938,-0.018566,-0.002436,-0.003107
45,LH_Default_PFC_5,Default,1.330817,0.033159,1.297658,0.865379,0.882652,-0.020032,-0.020752,-0.019150,-0.020169
46,LH_Default_PFC_6,Default,1.311003,0.029015,1.281987,0.846297,0.863775,0.019092,0.013010,0.015960,0.010369
47,LH_Default_PFC_7,Default,1.283775,0.025713,1.258062,0.844106,0.860342,-0.001369,-0.005239,-0.001281,-0.005154
48,LH_Default_pCunPCC_1,Default,1.301241,0.017399,1.283842,0.841991,0.861876,0.022630,0.026020,0.011723,0.016872
49,LH_Default_pCunPCC_2,Default,1.336186,0.038778,1.297408,0.864115,0.882643,-0.010759,-0.017728,-0.013756,-0.020399
50,RH_Vis_1,Vis,1.285045,0.008638,1.276407,0.835543,0.851778,0.026350,0.035290,0.024906,0.034154
51,RH_Vis_2,Vis,1.269959,0.031821,1.238138,0.843625,0.858928,-0.013699,-0.023917,-0.010983,-0.021617
52,RH_Vis_3,Vis,1.303835,0.024324,1.279510,0.840914,0.860914,0.028552,0.024481,0.017116,0.014895
53,RH_Vis_4,Vis,1.256234,0.022861,1.233373,0.833028,0.854842,0.005309,-0.001227,-0.012820,-0.016380
54,RH_Vis_5,Vis,1.309963,0.023066,1.286897,0.848170,0.861098,0.012269,0.013070,0.022709,0.021831
55,RH_Vis_6,Vis,1.287519,0.027927,1.259592,0.844818,0.859084,0.000178,-0.005552,0.006124,-0.000544
56,RH_Vis_7,Vis,1.292501,0.030565,1.261936,0.841599,0.859727,0.015102,0.005131,0.009236,0.000226
57,RH_Vis_8,Vis,1.300896,0.032438,1.268457,0.845880,0.862875,0.010273,0.000561,0.008470,-0.000959
58,RH_SomMot_1,SomMot,1.264439,0.028109,1.236330,0.837759,0.852145,-0.001099,-0.010526,0.003235,-0.006819
59,RH_SomMot_2,SomMot,1.259250,0.029313,1.229937,0.842551,0.853252,-0.021090,-0.029335,-0.005176,-0.015923
60,RH_SomMot_3,SomMot,1.279387,0.033789,1.245598,0.852588,0.864216,-0.031955,-0.039677,-0.016939,-0.027100
61,RH_SomMot_4,SomMot,1.292875,0.027243,1.265632,0.852674,0.863521,-0.018730,-0.019863,-0.001430,-0.005365
62,RH_SomMot_5,SomMot,1.301677,0.030614,1.271063,0.852400,0.863989,-0.009083,-0.013724,0.006010,-0.001081
63,RH_SomMot_6,SomMot,1.330702,0.036169,1.294533,0.862727,0.879964,-0.011955,-0.017007,-0.011446,-0.016716
64,RH_SomMot_7,SomMot,1.302841,0.039010,1.263831,0.846232,0.867070,0.011132,-0.004977,-0.001791,-0.015854
65,RH_SomMot_8,SomMot,1.314370,0.030900,1.283470,0.852981,0.873684,0.001815,-0.002821,-0.009504,-0.012404
66,RH_DorsAttn_Post_1,DorsAttn,1.318885,0.019252,1.299634,0.842782,0.863916,0.037832,0.039763,0.023433,0.027671
67,RH_DorsAttn_Post_2,DorsAttn,1.326513,0.034279,1.292235,0.845931,0.868037,0.035735,0.024208,0.019069,0.010183
68,RH_DorsAttn_Post_3,DorsAttn,1.340744,0.020631,1.320113,0.860352,0.875580,0.005421,0.014725,0.011352,0.019597
69,RH_DorsAttn_Post_4,DorsAttn,1.337444,0.020092,1.317352,0.854263,0.871403,0.020928,0.027738,0.020206,0.027060
70,RH_DorsAttn_Post_5,DorsAttn,1.282625,0.025617,1.257008,0.837156,0.861315,0.018949,0.011713,-0.005261,-0.008589
71,RH_DorsAttn_PrCv_1,DorsAttn,1.301123,0.021515,1.279608,0.848169,0.866662,0.003430,0.005782,-0.002320,0.000922
72,RH_DorsAttn_FEF_1,DorsAttn,1.271165,0.015854,1.255312,0.826412,0.852821,0.040673,0.037849,0.007993,0.010506
73,RH_SalVentAttn_TempOccPar_1,SalVentAttn,1.328878,0.010214,1.318664,0.854760,0.868470,0.010829,0.027765,0.020173,0.035551
74,RH_SalVentAttn_TempOccPar_2,SalVentAttn,1.285644,0.035465,1.250179,0.849127,0.863057,-0.015008,-0.026129,-0.007310,-0.019682
75,RH_SalVentAttn_FrOperIns_1,SalVentAttn,1.293934,0.026491,1.267443,0.847539,0.865479,-0.001813,-0.004750,-0.006067,-0.008347
76,RH_SalVentAttn_Med_1,SalVentAttn,1.311795,0.015988,1.295807,0.842434,0.860866,0.031815,0.036838,0.025216,0.031309
77,RH_SalVentAttn_Med_2,SalVentAttn,1.305547,0.025856,1.279691,0.850278,0.866413,0.001341,0.000402,0.002827,0.001613
78,RH_Limbic_OFC_1,Limbic,1.363484,0.012092,1.351392,0.874167,0.886670,-0.014507,0.010217,0.001825,0.023728
79,RH_Limbic_TempPole_1,Limbic,1.311584,0.009145,1.302440,0.839364,0.855697,0.041088,0.051424,0.040043,0.050594
80,RH_Cont_Par_1,Cont,1.338691,0.035509,1.303182,0.874079,0.892518,-0.039028,-0.037765,-0.039983,-0.038797
81,RH_Cont_Par_2,Cont,1.297889,0.039971,1.257919,0.857325,0.873724,-0.028084,-0.039627,-0.026102,-0.038055
82,RH_Cont_PFCl_1,Cont,1.323008,0.030508,1.292501,0.862554,0.879914,-0.019115,-0.018591,-0.018994,-0.018625
83,RH_Cont_PFCl_2,Cont,1.334192,0.032997,1.301195,0.863712,0.883082,-0.011507,-0.012896,-0.017027,-0.017685
84,RH_Cont_PFCl_3,Cont,1.322998,0.027444,1.295554,0.859369,0.886967,-0.009286,-0.007285,-0.039523,-0.032836
85,RH_Cont_PFCl_4,Cont,1.305999,0.039457,1.266542,0.862452,0.878277,-0.035810,-0.044286,-0.031240,-0.040577
86,RH_Cont_Cing_1,Cont,1.310487,0.031385,1.279102,0.851888,0.870226,0.001307,-0.004359,-0.003325,-0.008307
87,RH_Cont_PFCmp_1,Cont,1.298812,0.025977,1.272834,0.850299,0.865211,-0.005458,-0.006508,-0.000410,-0.002300
88,RH_Cont_pCun_1,Cont,1.341853,0.027657,1.314196,0.866193,0.883963,-0.011508,-0.006322,-0.011927,-0.006840
89,RH_Default_Par_1,Default,1.319936,0.041014,1.278922,0.858838,0.874517,-0.010708,-0.022541,-0.006362,-0.018992
90,RH_Default_Temp_1,Default,1.236956,0.023844,1.213112,0.830122,0.850562,-0.004994,-0.013960,-0.019644,-0.026163
91,RH_Default_Temp_2,Default,1.260452,0.010593,1.249859,0.834346,0.854534,0.005454,0.011842,-0.007706,0.000860
92,RH_Default_Temp_3,Default,1.292643,0.010674,1.281969,0.840528,0.853725,0.018553,0.027939,0.026841,0.034951
93,RH_Default_PFCv_1,Default,1.254574,0.021743,1.232830,0.835374,0.850821,-0.003600,-0.007849,-0.002780,-0.007079
94,RH_Default_PFCv_2,Default,1.295481,0.023240,1.272240,0.843695,0.863506,0.011608,0.010005,0.001218,0.001279
95,RH_Default_PFCdPFCm_1,Default,1.321989,0.031521,1.290469,0.855721,0.875649,0.000971,-0.002922,-0.007603,-0.010217
96,RH_Default_PFCdPFCm_2,Default,1.317071,0.034847,1.282224,0.868114,0.885234,-0.042224,-0.043271,-0.040410,-0.041925
