variant,condition,window,n_pairs,frac_r1_dominated,frac_q_dominated,frac_flat,frac_abs_q_above_0.6,median_r1,p05_r1,p95_r1,median_q,p05_q,p95_q,median_abs_q,mean_observed_sts,mean_model_sts_at_pair_r1_q
ts_gsr,DMT,1,6555,1.000000,0.000000,0.000000,0.065294,0.848228,0.800875,0.891968,-0.017058,-0.516869,0.576598,0.236768,1.074830,1.239550
ts_gsr,DMT,2,6555,1.000000,0.000000,0.000000,0.099314,0.858214,0.801748,0.896161,-0.022644,-0.573513,0.633083,0.272090,1.080716,1.271168
ts_gsr,DMT,3,6555,1.000000,0.000000,0.000000,0.101907,0.862597,0.820196,0.896051,-0.019525,-0.585498,0.624103,0.281253,1.123361,1.305928
ts_gsr,DMT,4,6555,1.000000,0.000000,0.000000,0.131503,0.867444,0.817618,0.900320,-0.010729,-0.629418,0.646279,0.305113,1.118950,1.322376
ts_gsr,DMT,6,6555,1.000000,0.000000,0.000000,0.038139,0.840269,0.784201,0.888175,-0.018876,-0.474836,0.518518,0.225155,1.031424,1.200153
ts_gsr,PCB,1,6555,1.000000,0.000000,0.000000,0.047445,0.852460,0.799411,0.893440,-0.021472,-0.497282,0.533131,0.224903,1.112806,1.263197
ts_gsr,PCB,2,6555,1.000000,0.000000,0.000000,0.056445,0.847472,0.795063,0.896228,-0.009689,-0.515996,0.548854,0.235829,1.066889,1.237282
ts_gsr,PCB,3,6555,1.000000,0.000000,0.000000,0.047292,0.847969,0.786690,0.896937,-0.007940,-0.493815,0.530990,0.221982,1.068262,1.243799
ts_gsr,PCB,4,6555,1.000000,0.000000,0.000000,0.048513,0.851508,0.809248,0.898026,-0.020768,-0.501185,0.555800,0.236918,1.099556,1.270192
ts_gsr,PCB,6,6555,1.000000,0.000000,0.000000,0.055530,0.848701,0.800788,0.891827,-0.014697,-0.516435,0.540145,0.233887,1.079559,1.244729
ts_demean,DMT,1,6555,1.000000,0.000000,0.000000,0.125400,0.816103,0.774581,0.863263,0.266694,-0.234684,0.706882,0.293664,0.953768,1.056658
ts_demean,DMT,2,6555,1.000000,0.000000,0.000000,0.213425,0.835272,0.788675,0.878157,0.350404,-0.222463,0.775425,0.363501,0.992667,1.123483
ts_demean,DMT,3,6555,1.000000,0.000000,0.000000,0.157132,0.848557,0.805717,0.883990,0.278187,-0.266801,0.757123,0.308272,1.062110,1.204412
ts_demean,DMT,4,6555,1.000000,0.000000,0.000000,0.302212,0.857093,0.806822,0.896500,0.392099,-0.244994,0.858534,0.409825,1.003167,1.211858
ts_demean,DMT,6,6555,1.000000,0.000000,0.000000,0.131960,0.860222,0.804186,0.910059,0.288790,-0.239875,0.717704,0.312887,1.056155,1.295464
ts_demean,PCB,1,6555,1.000000,0.000000,0.000000,0.141571,0.834991,0.795257,0.874830,0.274212,-0.268587,0.748373,0.307516,1.016738,1.139859
ts_demean,PCB,2,6555,1.000000,0.000000,0.000000,0.119451,0.831895,0.785255,0.872610,0.283491,-0.191640,0.707494,0.296790,1.011562,1.124383
ts_demean,PCB,3,6555,1.000000,0.000000,0.000000,0.079329,0.831802,0.775821,0.883378,0.181627,-0.315308,0.654058,0.246738,1.006407,1.146230
ts_demean,PCB,4,6555,1.000000,0.000000,0.000000,0.104043,0.846152,0.811641,0.883858,0.213294,-0.281088,0.698204,0.257203,1.091572,1.218309
ts_demean,PCB,6,6555,1.000000,0.000000,0.000000,0.067582,0.840260,0.788125,0.888560,0.130826,-0.362462,0.630506,0.228153,1.033262,1.196761
