# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_bins_115regions-all_ts_demean_global.npy"
regional_did,whole_brain_did_mean_over_regions,0.020867,0.000727,0.042297,0.09326172,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,0.000000,,,,"BH q=0.05, p_thresh=0.00000"
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,111.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,21.000000,,,,""
regional_did,min_uncorrected_p,0.000488,,,,"region RH_Default_PFCv_2 did=+0.0475"
regional_did,n_cortical_fdr_significant,0.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.010962,,,,""
regional_did,range_of_groupmean_did_across_regions,0.053017,,,,"min -0.0055 max +0.0475"
network_mean_did,Vis_n17,0.027741,0.004901,0.054137,0.05468750,"pos=10/14; fdr_sig=0"
network_mean_did,SomMot_n14,0.019579,-0.004582,0.044877,0.15686035,"pos=11/14; fdr_sig=0"
network_mean_did,DorsAttn_n14,0.023251,0.001583,0.044493,0.06164551,"pos=11/14; fdr_sig=0"
network_mean_did,SalVentAttn_n12,0.026491,0.005142,0.049842,0.04602051,"pos=10/14; fdr_sig=0"
network_mean_did,Limbic_n5,0.007475,-0.009363,0.025180,0.44812012,"pos=7/14; fdr_sig=0"
network_mean_did,Cont_n13,0.023990,-0.000036,0.051303,0.12976074,"pos=9/14; fdr_sig=0"
network_mean_did,Default_n24,0.019588,-0.001182,0.042797,0.13708496,"pos=8/14; fdr_sig=0"
network_mean_did,Subcortex_n16,0.011950,-0.004002,0.027274,0.17297363,"pos=10/14; fdr_sig=0"
spatial_spin_cortical99,rho_5HT2A,-0.087124,,,0.50880000,"two-sided spin p; Vasa one-sided-avg p=0.2267; null SD 0.132; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,0.124714,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,-0.413506,,,0.00380000,"two-sided spin p; Vasa one-sided-avg p=0.0034; null SD 0.171; BH(5) sig=1"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,-0.220659,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,0.422301,,,0.00085000,"two-sided spin p; Vasa one-sided-avg p=0.0006; null SD 0.140; BH(5) sig=1"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,0.419435,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,-0.387310,,,0.00425000,"two-sided spin p; Vasa one-sided-avg p=0.0036; null SD 0.147; BH(5) sig=1"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,-0.247684,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,-0.109499,,,0.48180000,"two-sided spin p; Vasa one-sided-avg p=0.2155; null SD 0.149; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,-0.254888,,,,"no spatial null for subcortex"
spatial_spin_cortical99,bh_threshold_across_5_maps,0.030000,,,,""
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws,-0.001873,-0.007760,0.004351,0.56530762,"n_ws=37 n_non=62 pos=6/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws,0.021135,-0.000378,0.045997,0.13525391,"pos=9/14"
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws,0.023008,0.002050,0.045595,0.07434082,"pos=11/14"
