# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_win60_115regions-all_ts_demean_window.npy"
regional_did,whole_brain_did_mean_over_regions,0.034995,0.018435,0.052582,0.00085449,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,55.000000,,,,"BH q=0.05, p_thresh=0.02391"
regional_did,n_fdr_significant_positive,55.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,114.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,72.000000,,,,""
regional_did,min_uncorrected_p,0.000122,,,,"region LH_Vis_4 did=+0.0482"
regional_did,n_cortical_fdr_significant,53.000000,,,,""
regional_did,n_subcortical_fdr_significant,2.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.012919,,,,""
regional_did,range_of_groupmean_did_across_regions,0.071535,,,,"min -0.0063 max +0.0652"
network_mean_did,Vis_n17,0.044886,0.026745,0.064834,0.00048828,"pos=12/14; fdr_sig=15"
network_mean_did,SomMot_n14,0.040442,0.019579,0.061953,0.00476074,"pos=11/14; fdr_sig=9"
network_mean_did,DorsAttn_n14,0.040284,0.020659,0.061032,0.00158691,"pos=12/14; fdr_sig=7"
network_mean_did,SalVentAttn_n12,0.038166,0.019976,0.057204,0.00097656,"pos=12/14; fdr_sig=9"
network_mean_did,Limbic_n5,0.020854,0.008765,0.032945,0.00683594,"pos=11/14; fdr_sig=0"
network_mean_did,Cont_n13,0.027414,0.006300,0.051265,0.03393555,"pos=9/14; fdr_sig=0"
network_mean_did,Default_n24,0.034411,0.017508,0.052237,0.00183105,"pos=13/14; fdr_sig=13"
network_mean_did,Subcortex_n16,0.024166,0.010703,0.037614,0.00476074,"pos=12/14; fdr_sig=2"
regional_did_fdr_regions,LH_Vis_1,0.028679,,,0.01477051,"orig_index=0 net=1 pos=10/14"
regional_did_fdr_regions,LH_Vis_3,0.051821,,,0.00195312,"orig_index=2 net=1 pos=11/14"
regional_did_fdr_regions,LH_Vis_4,0.048214,,,0.00012207,"orig_index=3 net=1 pos=14/14"
regional_did_fdr_regions,LH_Vis_5,0.049877,,,0.01220703,"orig_index=4 net=1 pos=9/14"
regional_did_fdr_regions,LH_Vis_6,0.061338,,,0.00036621,"orig_index=5 net=1 pos=13/14"
regional_did_fdr_regions,LH_Vis_8,0.051674,,,0.00317383,"orig_index=7 net=1 pos=11/14"
regional_did_fdr_regions,LH_Vis_9,0.055223,,,0.00219727,"orig_index=8 net=1 pos=12/14"
regional_did_fdr_regions,LH_SomMot_1,0.033008,,,0.02380371,"orig_index=9 net=2 pos=9/14"
regional_did_fdr_regions,LH_SomMot_2,0.040946,,,0.00109863,"orig_index=10 net=2 pos=12/14"
regional_did_fdr_regions,LH_SomMot_5,0.065201,,,0.00061035,"orig_index=13 net=2 pos=13/14"
regional_did_fdr_regions,LH_SomMot_6,0.056985,,,0.01342773,"orig_index=14 net=2 pos=10/14"
regional_did_fdr_regions,LH_DorsAttn_Post_1,0.033171,,,0.02319336,"orig_index=15 net=3 pos=10/14"
regional_did_fdr_regions,LH_DorsAttn_Post_2,0.054867,,,0.00024414,"orig_index=16 net=3 pos=13/14"
regional_did_fdr_regions,LH_DorsAttn_Post_4,0.061379,,,0.00158691,"orig_index=18 net=3 pos=13/14"
regional_did_fdr_regions,LH_DorsAttn_PrCv_1,0.041480,,,0.01489258,"orig_index=21 net=3 pos=11/14"
regional_did_fdr_regions,LH_DorsAttn_FEF_1,0.053470,,,0.00207520,"orig_index=22 net=3 pos=12/14"
regional_did_fdr_regions,LH_SalVentAttn_FrOperIns_2,0.040868,,,0.00537109,"orig_index=25 net=4 pos=10/14"
regional_did_fdr_regions,LH_SalVentAttn_PFCl_1,0.040884,,,0.01660156,"orig_index=26 net=4 pos=11/14"
regional_did_fdr_regions,LH_SalVentAttn_Med_1,0.035394,,,0.01635742,"orig_index=27 net=4 pos=9/14"
regional_did_fdr_regions,LH_SalVentAttn_Med_2,0.036533,,,0.01269531,"orig_index=28 net=4 pos=10/14"
regional_did_fdr_regions,LH_SalVentAttn_Med_3,0.045723,,,0.01208496,"orig_index=29 net=4 pos=12/14"
regional_did_fdr_regions,LH_Default_Par_2,0.032733,,,0.00744629,"orig_index=40 net=7 pos=11/14"
regional_did_fdr_regions,LH_Default_PFC_2,0.039342,,,0.00720215,"orig_index=42 net=7 pos=11/14"
regional_did_fdr_regions,LH_Default_PFC_3,0.035554,,,0.00695801,"orig_index=43 net=7 pos=12/14"
regional_did_fdr_regions,LH_Default_PFC_4,0.031440,,,0.01708984,"orig_index=44 net=7 pos=12/14"
regional_did_fdr_regions,LH_Default_PFC_5,0.044322,,,0.00427246,"orig_index=45 net=7 pos=10/14"
regional_did_fdr_regions,LH_Default_PFC_6,0.032450,,,0.01965332,"orig_index=46 net=7 pos=11/14"
regional_did_fdr_regions,LH_Default_PFC_7,0.049760,,,0.00415039,"orig_index=47 net=7 pos=11/14"
regional_did_fdr_regions,LH_Default_pCunPCC_1,0.044178,,,0.00402832,"orig_index=48 net=7 pos=11/14"
regional_did_fdr_regions,LH_Default_pCunPCC_2,0.042203,,,0.01245117,"orig_index=49 net=7 pos=11/14"
regional_did_fdr_regions,RH_Vis_1,0.035830,,,0.01867676,"orig_index=50 net=1 pos=11/14"
regional_did_fdr_regions,RH_Vis_2,0.050980,,,0.00036621,"orig_index=51 net=1 pos=13/14"
regional_did_fdr_regions,RH_Vis_3,0.032921,,,0.01220703,"orig_index=52 net=1 pos=10/14"
regional_did_fdr_regions,RH_Vis_4,0.038637,,,0.01232910,"orig_index=53 net=1 pos=9/14"
regional_did_fdr_regions,RH_Vis_5,0.064482,,,0.00219727,"orig_index=54 net=1 pos=12/14"
