# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_gsr estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_bins_115regions-all_ts_gsr_global.npy"
regional_did,whole_brain_did_mean_over_regions,-0.003220,-0.009975,0.004254,0.41052246,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,0.000000,,,,"BH q=0.05, p_thresh=0.00000"
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,33.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,5.000000,,,,""
regional_did,min_uncorrected_p,0.012451,,,,"region RH_Cont_PFCl_4 did=-0.0190"
regional_did,n_cortical_fdr_significant,0.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.005301,,,,""
regional_did,range_of_groupmean_did_across_regions,0.029621,,,,"min -0.0190 max +0.0107"
network_mean_did,Vis_n17,-0.005047,-0.014232,0.005338,0.35205078,"pos=6/14; fdr_sig=0"
network_mean_did,SomMot_n14,-0.002477,-0.011941,0.007756,0.64099121,"pos=5/14; fdr_sig=0"
network_mean_did,DorsAttn_n14,-0.003186,-0.009610,0.003989,0.38818359,"pos=7/14; fdr_sig=0"
network_mean_did,SalVentAttn_n12,-0.000571,-0.008734,0.008998,0.90820312,"pos=4/14; fdr_sig=0"
network_mean_did,Limbic_n5,-0.000758,-0.007464,0.006765,0.85546875,"pos=5/14; fdr_sig=0"
network_mean_did,Cont_n13,-0.008969,-0.018217,0.000997,0.10168457,"pos=4/14; fdr_sig=0"
network_mean_did,Default_n24,-0.002080,-0.008869,0.005476,0.58410645,"pos=5/14; fdr_sig=0"
network_mean_did,Subcortex_n16,-0.001756,-0.007017,0.003856,0.54162598,"pos=6/14; fdr_sig=0"
spatial_spin_cortical99,rho_5HT2A,-0.039542,,,0.73855000,"two-sided spin p; Vasa one-sided-avg p=0.3579; null SD 0.115; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,-0.081559,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,0.202622,,,0.03350000,"two-sided spin p; Vasa one-sided-avg p=0.0164; null SD 0.095; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,0.100963,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,-0.056759,,,0.64220000,"two-sided spin p; Vasa one-sided-avg p=0.3236; null SD 0.116; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,-0.035603,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,0.060186,,,0.59740000,"two-sided spin p; Vasa one-sided-avg p=0.3128; null SD 0.110; BH(5) sig=0"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,0.171972,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,0.102870,,,0.31760000,"two-sided spin p; Vasa one-sided-avg p=0.1818; null SD 0.103; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,0.130324,,,,"no spatial null for subcortex"
spatial_spin_cortical99,bh_threshold_across_5_maps,0.000000,,,,""
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws,-0.001666,-0.003631,0.000302,0.13903809,"n_ws=37 n_non=62 pos=6/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws,-0.004500,-0.011973,0.003629,0.28991699,"pos=5/14"
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws,-0.002834,-0.010083,0.005422,0.49914551,"pos=4/14"
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,0.000754,-0.001908,0.003408,0.59375000,"n=24 pos=7/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,-0.006134,-0.009398,-0.003064,0.00183105,"n=13 pos=2/14"
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.001887,-0.004035,0.000218,0.11511230,"n_ws=37 n_non=78 pos=5/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws+subcortex,-0.004500,-0.012099,0.003415,0.28991699,"pos=5/14"
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws+subcortex,-0.002613,-0.009233,0.004995,0.49353027,"pos=4/14"
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.000533,-0.001888,0.002982,0.69006348,"n=24 pos=6/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.006356,-0.010045,-0.002806,0.00500488,"n=13 pos=3/14"
workspace_primary_Default+Cont,gateway_proxy_minus_broadcaster_proxy,0.006889,0.002682,0.010922,0.00927734,"n_gw=24 n_bc=13"
workspace_primary_Default+Cont,dmt_change_workspace_minus_nonworkspace_cortex,-0.000589,-0.002496,0.001259,0.56481934,""
workspace_primary_Default+Cont,pcb_change_workspace_minus_nonworkspace_cortex,0.001077,-0.000736,0.002989,0.29406738,""
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws,-0.000504,-0.003020,0.002398,0.73144531,"n_ws=26 n_non=73 pos=6/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws,-0.003829,-0.011234,0.004079,0.36096191,"pos=5/14"
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws,-0.003324,-0.010741,0.005024,0.43225098,"pos=4/14"
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,0.001128,-0.001414,0.003973,0.49316406,"n=21 pos=6/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,-0.007359,-0.013575,-0.001249,0.04174805,"n=5 pos=3/14"
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.000786,-0.003152,0.001727,0.55737305,"n_ws=26 n_non=89 pos=5/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws+subcortex,-0.003829,-0.011196,0.004130,0.36096191,"pos=5/14"
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws+subcortex,-0.003042,-0.009883,0.004554,0.43444824,"pos=4/14"
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.000846,-0.001386,0.003548,0.56225586,"n=21 pos=7/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.007642,-0.013685,-0.001565,0.03417969,"n=5 pos=3/14"
workspace_named_subregion,gateway_proxy_minus_broadcaster_proxy,0.008487,0.001929,0.014529,0.02648926,"n_gw=21 n_bc=5"
workspace_named_subregion,dmt_change_workspace_minus_nonworkspace_cortex,-0.000332,-0.002690,0.002118,0.79418945,""
workspace_named_subregion,pcb_change_workspace_minus_nonworkspace_cortex,0.000172,-0.001655,0.002307,0.87268066,""
