# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_gsr estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_win60_115regions-all_ts_gsr_window.npy"
regional_did,whole_brain_did_mean_over_regions,0.017754,0.006808,0.028903,0.00988770,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,3.000000,,,,"BH q=0.05, p_thresh=0.00130"
regional_did,n_fdr_significant_positive,3.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,112.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,38.000000,,,,""
regional_did,min_uncorrected_p,0.000122,,,,"region RH_Default_Temp_3 did=+0.0364"
regional_did,n_cortical_fdr_significant,3.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.008534,,,,""
regional_did,range_of_groupmean_did_across_regions,0.042198,,,,"min -0.0058 max +0.0364"
network_mean_did,Vis_n17,0.022091,0.009096,0.035491,0.00817871,"pos=12/14; fdr_sig=0"
network_mean_did,SomMot_n14,0.020157,0.005855,0.035850,0.02001953,"pos=12/14; fdr_sig=2"
network_mean_did,DorsAttn_n14,0.020770,0.010436,0.032163,0.00219727,"pos=11/14; fdr_sig=0"
network_mean_did,SalVentAttn_n12,0.020643,0.006636,0.036357,0.01721191,"pos=10/14; fdr_sig=0"
network_mean_did,Limbic_n5,0.012121,0.003043,0.021569,0.02734375,"pos=10/14; fdr_sig=0"
network_mean_did,Cont_n13,0.009419,-0.003756,0.022711,0.20275879,"pos=9/14; fdr_sig=0"
network_mean_did,Default_n24,0.018968,0.007772,0.029997,0.00756836,"pos=11/14; fdr_sig=1"
network_mean_did,Subcortex_n16,0.012949,0.003019,0.022823,0.02758789,"pos=10/14; fdr_sig=0"
regional_did_fdr_regions,LH_SomMot_4,0.030458,,,0.00073242,"orig_index=12 net=2 pos=12/14"
regional_did_fdr_regions,RH_SomMot_4,0.024971,,,0.00061035,"orig_index=61 net=2 pos=13/14"
regional_did_fdr_regions,RH_Default_Temp_3,0.036366,,,0.00012207,"orig_index=92 net=7 pos=14/14"
spatial_spin_cortical99,rho_5HT2A,-0.138850,,,0.19515000,"two-sided spin p; Vasa one-sided-avg p=0.0677; null SD 0.104; BH(5) sig=0"
