# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,0.016553,0.043921,0.18933105,0,9,0.006931,-0.009622,0.032712
1,LH_Vis_2,1,0.024539,0.046886,0.06420898,0,11,0.025860,0.001321,0.044004
2,LH_Vis_3,1,0.032993,0.059995,0.05798340,0,10,0.025784,-0.007209,0.049581
3,LH_Vis_4,1,0.034073,0.053591,0.01940918,0,10,0.026936,-0.007137,0.035035
4,LH_Vis_5,1,0.018869,0.081289,0.45495605,0,9,0.019766,0.000897,0.029428
5,LH_Vis_6,1,0.024065,0.056220,0.13366699,0,9,0.015893,-0.008172,0.058377
6,LH_Vis_7,1,0.015782,0.057214,0.31884766,0,7,0.011541,-0.004242,0.056307
7,LH_Vis_8,1,0.034754,0.056485,0.04040527,0,11,0.029651,-0.005104,0.047288
8,LH_Vis_9,1,0.038945,0.054053,0.01940918,0,11,0.027850,-0.011095,0.053134
9,LH_SomMot_1,2,0.016011,0.056700,0.30627441,0,9,0.012583,-0.003428,0.066772
10,LH_SomMot_2,2,0.015775,0.048231,0.25598145,0,8,0.005759,-0.010016,0.056506
11,LH_SomMot_3,2,0.017513,0.044622,0.16894531,0,9,0.010586,-0.006927,0.068385
12,LH_SomMot_4,2,0.008934,0.052135,0.53576660,0,9,0.006965,-0.001969,0.047223
13,LH_SomMot_5,2,0.030230,0.054124,0.05566406,0,10,0.017540,-0.012691,0.051242
14,LH_SomMot_6,2,0.036012,0.067049,0.06738281,0,10,0.027116,-0.008896,0.057225
15,LH_DorsAttn_Post_1,3,0.021651,0.046118,0.10437012,0,11,0.020615,-0.001036,0.040917
16,LH_DorsAttn_Post_2,3,0.017675,0.039579,0.11914062,0,10,0.009173,-0.008503,0.048074
17,LH_DorsAttn_Post_3,3,0.027004,0.055844,0.09875488,0,8,0.015655,-0.011349,0.053933
18,LH_DorsAttn_Post_4,3,0.031088,0.048422,0.03381348,0,12,0.019543,-0.011545,0.044583
19,LH_DorsAttn_Post_5,3,0.013359,0.042193,0.26379395,0,9,0.014185,0.000825,0.046386
