# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,0.028679,0.037070,0.01477051,1,10,0.007684,-0.020996,0.148019
1,LH_Vis_2,1,0.026817,0.040894,0.02673340,0,12,0.029957,0.003140,0.145668
2,LH_Vis_3,1,0.051821,0.052059,0.00195312,1,11,0.027290,-0.024532,0.158065
3,LH_Vis_4,1,0.048214,0.026393,0.00012207,1,14,0.039333,-0.008882,0.140201
4,LH_Vis_5,1,0.049877,0.063980,0.01220703,1,9,0.033163,-0.016714,0.136821
5,LH_Vis_6,1,0.061338,0.055110,0.00036621,1,13,0.031128,-0.030209,0.150191
6,LH_Vis_7,1,0.036220,0.073054,0.08740234,0,8,0.022240,-0.013980,0.153272
7,LH_Vis_8,1,0.051674,0.057618,0.00317383,1,11,0.031145,-0.020529,0.153512
8,LH_Vis_9,1,0.055223,0.057338,0.00219727,1,12,0.025948,-0.029274,0.158275
9,LH_SomMot_1,2,0.033008,0.048219,0.02380371,1,9,0.019267,-0.013741,0.163353
10,LH_SomMot_2,2,0.040946,0.035871,0.00109863,1,12,0.008382,-0.032564,0.162518
11,LH_SomMot_3,2,0.032351,0.052137,0.03857422,0,11,0.017423,-0.014928,0.163699
12,LH_SomMot_4,2,0.021256,0.037320,0.04956055,0,10,0.003465,-0.017791,0.149181
13,LH_SomMot_5,2,0.065201,0.057605,0.00061035,1,13,0.032630,-0.032571,0.149967
14,LH_SomMot_6,2,0.056985,0.073449,0.01342773,1,10,0.031601,-0.025383,0.157650
15,LH_DorsAttn_Post_1,3,0.033171,0.046718,0.02319336,1,10,0.023642,-0.009529,0.145068
16,LH_DorsAttn_Post_2,3,0.054867,0.047951,0.00024414,1,13,0.028042,-0.026825,0.135218
