# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_gsr estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,-0.002186,0.022237,0.71435547,0,6,-0.005860,-0.003674,0.017437
1,LH_Vis_2,1,0.000478,0.024888,0.94323730,0,4,-0.009762,-0.010241,0.027962
2,LH_Vis_3,1,-0.009435,0.023421,0.15600586,0,6,-0.011548,-0.002112,0.028029
3,LH_Vis_4,1,-0.001954,0.023382,0.75720215,0,6,-0.010016,-0.008062,0.029920
4,LH_Vis_5,1,-0.001239,0.030542,0.89611816,0,5,-0.007750,-0.006512,0.027218
5,LH_Vis_6,1,-0.009035,0.025699,0.21240234,0,3,-0.011002,-0.001967,0.026505
6,LH_Vis_7,1,-0.004535,0.020410,0.41308594,0,5,-0.003932,0.000602,0.018093
7,LH_Vis_8,1,-0.002216,0.023749,0.72985840,0,7,-0.010861,-0.008644,0.030058
8,LH_Vis_9,1,-0.009502,0.024759,0.17211914,0,4,-0.015739,-0.006237,0.033493
9,LH_SomMot_1,2,-0.008895,0.024882,0.20764160,0,3,-0.003190,0.005705,0.023372
10,LH_SomMot_2,2,-0.000510,0.027958,0.94836426,0,5,-0.003685,-0.003174,0.021878
11,LH_SomMot_3,2,-0.001387,0.031624,0.91955566,0,5,-0.003157,-0.001770,0.029869
12,LH_SomMot_4,2,-0.000563,0.025679,0.93884277,0,5,-0.004721,-0.004158,0.023694
13,LH_SomMot_5,2,0.000831,0.028814,0.91516113,0,6,-0.004478,-0.005309,0.023803
14,LH_SomMot_6,2,0.000345,0.034143,0.97082520,0,6,-0.004258,-0.004603,0.025366
15,LH_DorsAttn_Post_1,3,-0.000938,0.017167,0.84204102,0,7,-0.002905,-0.001967,0.017484
16,LH_DorsAttn_Post_2,3,-0.000359,0.021783,0.95703125,0,10,-0.003430,-0.003070,0.021687
17,LH_DorsAttn_Post_3,3,-0.004790,0.017983,0.33654785,0,7,-0.005235,-0.000446,0.022964
18,LH_DorsAttn_Post_4,3,-0.000320,0.006872,0.85986328,0,8,-0.004544,-0.004223,0.020407
19,LH_DorsAttn_Post_5,3,0.000067,0.016953,0.98876953,0,8,-0.004866,-0.004933,0.023444
21,LH_DorsAttn_PrCv_1,3,-0.002468,0.020923,0.66149902,0,6,-0.005104,-0.002636,0.022473
22,LH_DorsAttn_FEF_1,3,0.001339,0.018615,0.78759766,0,7,-0.001009,-0.002348,0.016645
23,LH_SalVentAttn_ParOper_1,4,-0.000814,0.026310,0.91589355,0,5,-0.004423,-0.003609,0.023061
24,LH_SalVentAttn_FrOperIns_1,4,-0.012476,0.021634,0.04931641,0,5,-0.009406,0.003070,0.027245
25,LH_SalVentAttn_FrOperIns_2,4,-0.001340,0.019785,0.80737305,0,7,-0.005814,-0.004475,0.024717
26,LH_SalVentAttn_PFCl_1,4,0.002440,0.024556,0.72351074,0,10,-0.000775,-0.003215,0.015826
27,LH_SalVentAttn_Med_1,4,-0.002863,0.021864,0.62658691,0,6,-0.009227,-0.006364,0.024322
28,LH_SalVentAttn_Med_2,4,0.002960,0.015862,0.50805664,0,6,-0.001702,-0.004662,0.018472
29,LH_SalVentAttn_Med_3,4,0.010654,0.029866,0.20532227,0,8,-0.001703,-0.012357,0.019967
