# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_gsr estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,0.018085,0.043736,0.14648438,0,10,0.004933,-0.013152,0.123579
1,LH_Vis_2,1,0.024379,0.041629,0.04748535,0,9,0.002548,-0.021831,0.123122
2,LH_Vis_3,1,0.015442,0.044728,0.22119141,0,7,0.003523,-0.011919,0.123751
3,LH_Vis_4,1,0.032258,0.045165,0.02185059,0,11,0.005750,-0.026508,0.123666
4,LH_Vis_5,1,0.036102,0.039233,0.00634766,0,12,0.010952,-0.025150,0.125173
5,LH_Vis_6,1,0.028746,0.042702,0.02368164,0,10,0.012513,-0.016233,0.113212
6,LH_Vis_7,1,0.026089,0.034120,0.00402832,0,11,0.014791,-0.011298,0.110758
7,LH_Vis_8,1,0.025895,0.047642,0.06384277,0,11,-0.004496,-0.030391,0.127269
8,LH_Vis_9,1,0.020100,0.035446,0.05786133,0,8,-0.006512,-0.026613,0.127906
9,LH_SomMot_1,2,0.014124,0.048828,0.32812500,0,8,0.009136,-0.004988,0.116821
10,LH_SomMot_2,2,0.016147,0.049103,0.24182129,0,8,0.003315,-0.012831,0.128744
11,LH_SomMot_3,2,0.025008,0.049083,0.04357910,0,12,0.013484,-0.011524,0.120405
12,LH_SomMot_4,2,0.030458,0.030296,0.00073242,1,12,0.010456,-0.020002,0.115326
13,LH_SomMot_5,2,0.023311,0.053902,0.12768555,0,10,0.007537,-0.015775,0.123567
14,LH_SomMot_6,2,0.016359,0.056460,0.30187988,0,8,0.001044,-0.015316,0.128242
15,LH_DorsAttn_Post_1,3,0.016902,0.031658,0.06848145,0,9,0.003944,-0.012958,0.118109
16,LH_DorsAttn_Post_2,3,0.030284,0.042111,0.02172852,0,12,0.015484,-0.014800,0.105870
17,LH_DorsAttn_Post_3,3,0.015799,0.038202,0.14526367,0,11,0.003281,-0.012518,0.115694
18,LH_DorsAttn_Post_4,3,0.030063,0.033025,0.00244141,0,11,0.012614,-0.017449,0.111029
19,LH_DorsAttn_Post_5,3,0.027447,0.033079,0.01062012,0,10,0.010427,-0.017020,0.118911
21,LH_DorsAttn_PrCv_1,3,0.017849,0.027723,0.02990723,0,11,0.004212,-0.013637,0.118594
22,LH_DorsAttn_FEF_1,3,0.029451,0.038093,0.01574707,0,11,0.012071,-0.017380,0.117635
23,LH_SalVentAttn_ParOper_1,4,0.012621,0.046722,0.33557129,0,7,0.014520,0.001899,0.112768
24,LH_SalVentAttn_FrOperIns_1,4,0.015185,0.035024,0.12878418,0,7,0.002139,-0.013046,0.133081
25,LH_SalVentAttn_FrOperIns_2,4,0.023319,0.030957,0.00866699,0,11,0.015293,-0.008026,0.118818
26,LH_SalVentAttn_PFCl_1,4,0.020727,0.041520,0.08605957,0,9,0.011637,-0.009090,0.107415
27,LH_SalVentAttn_Med_1,4,0.021740,0.040629,0.06494141,0,9,0.007927,-0.013814,0.115911
28,LH_SalVentAttn_Med_2,4,0.020321,0.032765,0.03894043,0,10,0.006022,-0.014299,0.121248
29,LH_SalVentAttn_Med_3,4,0.028070,0.049379,0.04760742,0,11,0.005719,-0.022351,0.118489
30,LH_Limbic_OFC_1,5,0.020590,0.039363,0.05749512,0,9,0.007819,-0.012771,0.111354
31,LH_Limbic_TempPole_1,5,-0.005832,0.034375,0.53283691,0,7,-0.010595,-0.004764,0.133947
32,LH_Limbic_TempPole_2,5,0.018488,0.037562,0.08935547,0,11,0.008172,-0.010316,0.119938
33,LH_Cont_Par_1,6,0.009030,0.035088,0.35778809,0,8,0.005074,-0.003956,0.114572
34,LH_Cont_PFCl_1,6,-0.000002,0.029855,0.99975586,0,6,-0.000869,-0.000867,0.117003
35,LH_Cont_pCun_1,6,0.020653,0.037012,0.05053711,0,10,0.008167,-0.012485,0.115108
36,LH_Cont_Cing_1,6,0.007615,0.036773,0.44592285,0,8,0.004174,-0.003440,0.120154
37,LH_Default_Temp_1,7,0.014894,0.035423,0.13842773,0,10,0.016420,0.001526,0.113915
38,LH_Default_Temp_2,7,0.023717,0.037333,0.03503418,0,11,0.016680,-0.007037,0.111730
39,LH_Default_Par_1,7,0.019913,0.031959,0.03576660,0,10,0.013179,-0.006734,0.105935
40,LH_Default_Par_2,7,0.010763,0.029209,0.19458008,0,9,0.002081,-0.008682,0.122529
41,LH_Default_PFC_1,7,0.027860,0.040699,0.02746582,0,10,0.010341,-0.017519,0.117309
42,LH_Default_PFC_2,7,0.007785,0.042977,0.51013184,0,7,0.003303,-0.004482,0.115304
43,LH_Default_PFC_3,7,0.022365,0.034050,0.02343750,0,10,0.011403,-0.010961,0.114143
44,LH_Default_PFC_4,7,0.013443,0.032167,0.13989258,0,10,0.004830,-0.008613,0.119002
45,LH_Default_PFC_5,7,0.009542,0.035247,0.32446289,0,9,0.015392,0.005850,0.114933
46,LH_Default_PFC_6,7,0.012930,0.042240,0.26757812,0,7,-0.001225,-0.014155,0.120183
47,LH_Default_PFC_7,7,0.015170,0.034454,0.12255859,0,9,0.002189,-0.012981,0.122424
48,LH_Default_pCunPCC_1,7,0.026597,0.050559,0.07177734,0,9,0.016722,-0.009875,0.105964
49,LH_Default_pCunPCC_2,7,0.023236,0.035122,0.02893066,0,9,0.016528,-0.006708,0.112942
50,RH_Vis_1,1,0.019896,0.035027,0.05444336,0,9,0.011777,-0.008119,0.117483
51,RH_Vis_2,1,0.010907,0.039412,0.33776855,0,9,0.003170,-0.007737,0.120182
52,RH_Vis_3,1,0.027517,0.036819,0.01342773,0,11,0.005496,-0.022021,0.122258
53,RH_Vis_4,1,0.024082,0.048599,0.08496094,0,12,-0.000773,-0.024855,0.131780
54,RH_Vis_5,1,0.017405,0.046084,0.23327637,0,8,0.007651,-0.009754,0.112290
55,RH_Vis_6,1,0.015170,0.042120,0.19995117,0,9,0.008101,-0.007069,0.121027
56,RH_Vis_7,1,0.019175,0.041077,0.10437012,0,10,-0.002978,-0.022153,0.124713
57,RH_Vis_8,1,0.014307,0.038181,0.18530273,0,9,-0.009149,-0.023455,0.130149
58,RH_SomMot_1,2,0.013596,0.042239,0.24975586,0,8,0.004219,-0.009377,0.118094
59,RH_SomMot_2,2,0.021107,0.031325,0.02343750,0,11,0.008011,-0.013096,0.119108
60,RH_SomMot_3,2,0.026757,0.038767,0.00488281,0,11,0.009751,-0.017006,0.115551
61,RH_SomMot_4,2,0.024971,0.025647,0.00061035,1,13,0.005881,-0.019090,0.117895
62,RH_SomMot_5,2,0.012087,0.029228,0.14526367,0,10,0.001657,-0.010430,0.120227
63,RH_SomMot_6,2,0.020806,0.029887,0.02282715,0,10,0.008666,-0.012140,0.117138
64,RH_SomMot_7,2,0.018145,0.030061,0.03698730,0,9,0.000401,-0.017744,0.120033
65,RH_SomMot_8,2,0.019316,0.047640,0.15332031,0,7,0.003767,-0.015549,0.123281
66,RH_DorsAttn_Post_1,3,0.016664,0.050204,0.25085449,0,7,0.011410,-0.005254,0.114182
67,RH_DorsAttn_Post_2,3,0.026907,0.041358,0.03137207,0,10,0.008804,-0.018104,0.117221
68,RH_DorsAttn_Post_3,3,0.004105,0.029103,0.60522461,0,6,0.001505,-0.002600,0.118298
69,RH_DorsAttn_Post_4,3,0.021863,0.041599,0.07165527,0,11,0.009579,-0.012284,0.113418
70,RH_DorsAttn_Post_5,3,0.035420,0.040136,0.00451660,0,10,0.014439,-0.020981,0.112796
71,RH_DorsAttn_PrCv_1,3,0.005646,0.056221,0.72216797,0,6,0.002719,-0.002927,0.122598
72,RH_DorsAttn_FEF_1,3,0.012384,0.028822,0.13183594,0,11,0.010042,-0.002341,0.121720
73,RH_SalVentAttn_TempOccPar_1,4,0.014161,0.044662,0.24853516,0,9,0.003388,-0.010774,0.112999
74,RH_SalVentAttn_TempOccPar_2,4,0.025703,0.047104,0.04650879,0,10,0.012969,-0.012735,0.119421
75,RH_SalVentAttn_FrOperIns_1,4,0.020273,0.047059,0.12414551,0,10,0.006614,-0.013660,0.123422
76,RH_SalVentAttn_Med_1,4,0.026445,0.031250,0.00817871,0,10,0.014138,-0.012307,0.117173
77,RH_SalVentAttn_Med_2,4,0.019146,0.054050,0.21520996,0,8,0.010090,-0.009055,0.123311
78,RH_Limbic_OFC_1,5,0.011084,0.034726,0.26306152,0,8,0.006733,-0.004351,0.114759
79,RH_Limbic_TempPole_1,5,0.016273,0.032975,0.07543945,0,9,0.005575,-0.010699,0.123994
80,RH_Cont_Par_1,6,0.001530,0.047824,0.90686035,0,8,0.000983,-0.000547,0.121650
81,RH_Cont_Par_2,6,0.010832,0.030920,0.20751953,0,8,-0.001099,-0.011931,0.124707
82,RH_Cont_PFCl_1,6,0.018044,0.032969,0.05908203,0,10,0.000099,-0.017946,0.125889
83,RH_Cont_PFCl_2,6,0.004697,0.038523,0.65136719,0,8,-0.002215,-0.006912,0.127048
84,RH_Cont_PFCl_3,6,0.014749,0.033599,0.12451172,0,9,0.010377,-0.004373,0.113896
85,RH_Cont_PFCl_4,6,0.001538,0.030968,0.85070801,0,7,-0.001811,-0.003349,0.122721
86,RH_Cont_Cing_1,6,0.007689,0.040022,0.47827148,0,7,-0.001947,-0.009636,0.127087
87,RH_Cont_PFCmp_1,6,0.010423,0.054885,0.50891113,0,7,0.000209,-0.010213,0.125667
88,RH_Cont_pCun_1,6,0.015655,0.045504,0.22265625,0,9,0.010481,-0.005173,0.112380
89,RH_Default_Par_1,7,0.032443,0.033640,0.00329590,0,13,0.008857,-0.023586,0.116705
90,RH_Default_Temp_1,7,0.017459,0.036696,0.08923340,0,10,0.003762,-0.013697,0.127870
91,RH_Default_Temp_2,7,0.012656,0.038676,0.26367188,0,8,0.007221,-0.005435,0.114105
92,RH_Default_Temp_3,7,0.036366,0.038899,0.00012207,1,14,0.014268,-0.022098,0.112527
93,RH_Default_PFCv_1,7,0.021673,0.033404,0.02917480,0,10,0.011498,-0.010175,0.113687
94,RH_Default_PFCv_2,7,0.022585,0.037481,0.04040527,0,10,0.001449,-0.021136,0.118593
95,RH_Default_PFCdPFCm_1,7,0.017885,0.033299,0.06506348,0,10,0.008290,-0.009595,0.114611
96,RH_Default_PFCdPFCm_2,7,0.008786,0.033454,0.33605957,0,9,0.012088,0.003302,0.115487
97,RH_Default_PFCdPFCm_3,7,0.012035,0.019141,0.03759766,0,10,0.009533,-0.002502,0.114580
98,RH_Default_pCunPCC_1,7,0.016698,0.039118,0.13317871,0,10,0.009361,-0.007337,0.109011
99,RH_Default_pCunPCC_2,7,0.028440,0.044315,0.03222656,0,11,0.021100,-0.007340,0.109086
100,SUB_1,8,0.012124,0.041711,0.30456543,0,9,0.003561,-0.008563,0.122930
101,SUB_2,8,0.010477,0.034216,0.27478027,0,6,0.007230,-0.003247,0.120592
102,SUB_3,8,0.002218,0.047290,0.86169434,0,8,-0.003765,-0.005983,0.127973
103,SUB_4,8,0.006885,0.039772,0.52770996,0,10,0.002239,-0.004645,0.130950
104,SUB_5,8,0.025431,0.048526,0.07226562,0,11,0.007354,-0.018077,0.116850
105,SUB_6,8,-0.000131,0.027978,0.98669434,0,6,0.005374,0.005505,0.117545
106,SUB_7,8,0.015515,0.036487,0.13488770,0,10,0.006121,-0.009394,0.122152
107,SUB_8,8,0.015985,0.033831,0.10144043,0,9,0.004947,-0.011039,0.119901
108,SUB_9,8,0.002728,0.038705,0.79187012,0,9,-0.007226,-0.009953,0.137028
109,SUB_10,8,0.021695,0.035464,0.02880859,0,12,0.015424,-0.006270,0.121586
110,SUB_11,8,0.016682,0.041207,0.15734863,0,10,0.009646,-0.007036,0.121668
111,SUB_12,8,0.014340,0.034703,0.14611816,0,9,0.009729,-0.004612,0.121558
112,SUB_13,8,0.034965,0.040907,0.00634766,0,12,0.012422,-0.022543,0.110344
113,SUB_14,8,0.003262,0.036588,0.74206543,0,7,0.000567,-0.002695,0.128287
114,SUB_15,8,0.015118,0.045907,0.23864746,0,8,0.000047,-0.015071,0.128333
115,SUB_16,8,0.009887,0.033633,0.28527832,0,9,-0.002639,-0.012527,0.124662
