# rev_regional_phir.py EXPLORATORY series=raw variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,0.017114,0.036938,0.10754395,0,9,0.011899,-0.005215,0.024426
1,LH_Vis_2,1,0.018984,0.048462,0.16711426,0,9,0.018715,-0.000269,0.051481
2,LH_Vis_3,1,0.026812,0.059791,0.11303711,0,10,0.020926,-0.005886,0.055537
3,LH_Vis_4,1,0.020535,0.049924,0.15380859,0,9,0.011729,-0.008806,0.044745
4,LH_Vis_5,1,0.008325,0.066872,0.67504883,0,7,0.010186,0.001861,0.035967
5,LH_Vis_6,1,0.015791,0.054405,0.30200195,0,8,0.014318,-0.001473,0.060803
6,LH_Vis_7,1,0.011156,0.050229,0.42199707,0,6,0.007162,-0.003994,0.061768
7,LH_Vis_8,1,0.028051,0.053795,0.07556152,0,8,0.019950,-0.008101,0.056805
8,LH_Vis_9,1,0.031246,0.049477,0.03283691,0,9,0.020309,-0.010936,0.060601
9,LH_SomMot_1,2,0.015127,0.054070,0.31506348,0,9,0.012899,-0.002227,0.071415
10,LH_SomMot_2,2,0.011939,0.044390,0.33166504,0,8,0.005353,-0.006587,0.058648
11,LH_SomMot_3,2,0.016913,0.046976,0.20983887,0,9,0.012090,-0.004823,0.071558
12,LH_SomMot_4,2,0.004451,0.041431,0.70019531,0,9,0.002338,-0.002113,0.051970
13,LH_SomMot_5,2,0.021139,0.052087,0.15307617,0,9,0.012348,-0.008791,0.058767
14,LH_SomMot_6,2,0.029968,0.057288,0.07678223,0,10,0.022700,-0.007268,0.062732
15,LH_DorsAttn_Post_1,3,0.014417,0.042193,0.22619629,0,7,0.012376,-0.002041,0.049022
16,LH_DorsAttn_Post_2,3,0.011103,0.038584,0.29541016,0,10,0.004362,-0.006741,0.054292
17,LH_DorsAttn_Post_3,3,0.022091,0.054509,0.15405273,0,7,0.013687,-0.008404,0.056463
18,LH_DorsAttn_Post_4,3,0.018843,0.040796,0.10766602,0,10,0.011940,-0.006903,0.050168
19,LH_DorsAttn_Post_5,3,0.008914,0.043969,0.46777344,0,5,0.012218,0.003304,0.047454
21,LH_DorsAttn_PrCv_1,3,0.024857,0.044729,0.04541016,0,10,0.015344,-0.009514,0.048540
22,LH_DorsAttn_FEF_1,3,0.026067,0.041426,0.03393555,0,10,0.019864,-0.006202,0.048564
23,LH_SalVentAttn_ParOper_1,4,0.020233,0.037096,0.05786133,0,9,0.013525,-0.006708,0.054314
24,LH_SalVentAttn_FrOperIns_1,4,0.002470,0.045653,0.84155273,0,6,0.009446,0.006976,0.043234
