# rev_regional_phir.py EXPLORATORY series=raw variant=ts_demean estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,0.011587,0.042608,0.32153320,0,9,0.004563,-0.007024,0.108874
1,LH_Vis_2,1,0.003769,0.037855,0.72229004,0,7,0.011148,0.007379,0.129021
2,LH_Vis_3,1,0.016606,0.046027,0.20764160,0,10,0.011440,-0.005166,0.137245
3,LH_Vis_4,1,0.011517,0.035697,0.25183105,0,7,0.008508,-0.003010,0.124639
4,LH_Vis_5,1,0.016803,0.062470,0.34899902,0,8,0.014736,-0.002068,0.114461
5,LH_Vis_6,1,0.019074,0.044609,0.13818359,0,9,0.013494,-0.005580,0.133395
6,LH_Vis_7,1,0.005561,0.057211,0.72216797,0,6,-0.000940,-0.006502,0.137900
7,LH_Vis_8,1,0.023678,0.048709,0.11303711,0,9,0.012448,-0.011229,0.137810
8,LH_Vis_9,1,0.027978,0.042137,0.02233887,0,11,0.014230,-0.013748,0.137184
9,LH_SomMot_1,2,0.008735,0.044771,0.48510742,0,8,0.009472,0.000737,0.140698
10,LH_SomMot_2,2,0.014782,0.036090,0.15917969,0,9,0.002895,-0.011887,0.128963
11,LH_SomMot_3,2,0.006078,0.048037,0.64477539,0,9,0.004301,-0.001776,0.143263
12,LH_SomMot_4,2,-0.004265,0.033271,0.63671875,0,5,-0.003355,0.000910,0.125939
13,LH_SomMot_5,2,0.023488,0.041552,0.05407715,0,11,0.013522,-0.009966,0.130704
14,LH_SomMot_6,2,0.022742,0.052579,0.13232422,0,10,0.014990,-0.007751,0.137853
15,LH_DorsAttn_Post_1,3,0.006261,0.041170,0.57519531,0,9,0.010624,0.004363,0.125512
16,LH_DorsAttn_Post_2,3,0.028624,0.036594,0.01013184,0,10,0.016054,-0.012571,0.116478
17,LH_DorsAttn_Post_3,3,0.019689,0.051570,0.17907715,0,7,0.008647,-0.011042,0.128387
18,LH_DorsAttn_Post_4,3,0.019280,0.038995,0.08776855,0,10,0.008004,-0.011276,0.122785
