# rev_regional_phir.py EXPLORATORY series=raw variant=ts_gsr estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,-0.007074,0.013518,0.07373047,0,5,-0.006331,0.000743,0.014626
1,LH_Vis_2,1,-0.005689,0.022782,0.37036133,0,4,-0.014152,-0.008464,0.033906
2,LH_Vis_3,1,-0.012715,0.029605,0.13708496,0,6,-0.015595,-0.002880,0.032847
3,LH_Vis_4,1,-0.009386,0.021911,0.13146973,0,4,-0.015840,-0.006453,0.035675
4,LH_Vis_5,1,-0.009135,0.029302,0.26428223,0,4,-0.012583,-0.003448,0.029746
5,LH_Vis_6,1,-0.012039,0.025960,0.10644531,0,3,-0.013551,-0.001512,0.029482
6,LH_Vis_7,1,-0.008318,0.017402,0.09863281,0,4,-0.006416,0.001902,0.019821
7,LH_Vis_8,1,-0.008400,0.024786,0.22497559,0,6,-0.014719,-0.006320,0.037034
8,LH_Vis_9,1,-0.013225,0.028127,0.10168457,0,5,-0.019094,-0.005869,0.038936
9,LH_SomMot_1,2,-0.009718,0.022757,0.13366699,0,6,-0.002969,0.006749,0.026776
10,LH_SomMot_2,2,-0.003696,0.021269,0.52441406,0,7,-0.002797,0.000899,0.020554
11,LH_SomMot_3,2,-0.006643,0.024133,0.31738281,0,4,-0.008184,-0.001541,0.039541
12,LH_SomMot_4,2,-0.003306,0.023772,0.60632324,0,6,-0.007135,-0.003829,0.028318
13,LH_SomMot_5,2,-0.002930,0.033128,0.74182129,0,6,-0.009086,-0.006157,0.031407
14,LH_SomMot_6,2,-0.000609,0.034672,0.95043945,0,8,-0.005933,-0.005324,0.029226
15,LH_DorsAttn_Post_1,3,-0.007197,0.009986,0.02062988,0,3,-0.004585,0.002611,0.018422
16,LH_DorsAttn_Post_2,3,-0.003854,0.018330,0.61083984,0,8,-0.007303,-0.003448,0.028201
17,LH_DorsAttn_Post_3,3,-0.008026,0.015204,0.05969238,0,4,-0.005975,0.002050,0.025373
18,LH_DorsAttn_Post_4,3,-0.002439,0.010429,0.39526367,0,5,-0.007512,-0.005072,0.024225
19,LH_DorsAttn_Post_5,3,-0.002482,0.009245,0.33923340,0,6,-0.004120,-0.001638,0.021379
21,LH_DorsAttn_PrCv_1,3,-0.005120,0.012613,0.15307617,0,4,-0.006452,-0.001332,0.024838
22,LH_DorsAttn_FEF_1,3,-0.001448,0.012264,0.67626953,0,8,-0.001747,-0.000299,0.017112
23,LH_SalVentAttn_ParOper_1,4,-0.005613,0.021228,0.34008789,0,4,-0.007041,-0.001428,0.027290
24,LH_SalVentAttn_FrOperIns_1,4,-0.014301,0.018176,0.01293945,0,4,-0.009823,0.004478,0.027563
25,LH_SalVentAttn_FrOperIns_2,4,-0.007411,0.016185,0.11120605,0,5,-0.009969,-0.002558,0.029624
26,LH_SalVentAttn_PFCl_1,4,-0.005613,0.021015,0.34228516,0,5,-0.003891,0.001722,0.018415
27,LH_SalVentAttn_Med_1,4,-0.008203,0.018669,0.12268066,0,5,-0.011307,-0.003104,0.026670
