# rev_regional_phir.py EXPLORATORY series=raw variant=ts_gsr estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
0,LH_Vis_1,1,0.001546,0.027880,0.84155273,0,7,-0.001587,-0.003132,0.089637
1,LH_Vis_2,1,-0.001920,0.022555,0.74987793,0,6,-0.012274,-0.010354,0.107116
2,LH_Vis_3,1,-0.006191,0.043536,0.60131836,0,6,-0.008955,-0.002763,0.101059
3,LH_Vis_4,1,0.000804,0.022681,0.89501953,0,8,-0.013026,-0.013831,0.106945
4,LH_Vis_5,1,0.005405,0.033360,0.54736328,0,7,-0.005090,-0.010495,0.102105
5,LH_Vis_6,1,0.003272,0.032963,0.72216797,0,7,-0.005234,-0.008507,0.095690
6,LH_Vis_7,1,-0.004594,0.027443,0.54235840,0,4,-0.001175,0.003419,0.090851
7,LH_Vis_8,1,0.000441,0.042450,0.97094727,0,7,-0.011751,-0.012192,0.108950
8,LH_Vis_9,1,-0.000149,0.030165,0.98535156,0,7,-0.014525,-0.014376,0.108243
9,LH_SomMot_1,2,-0.003895,0.033736,0.67004395,0,4,0.000702,0.004597,0.096810
10,LH_SomMot_2,2,0.004105,0.023134,0.51721191,0,8,0.002477,-0.001628,0.094368
11,LH_SomMot_3,2,0.002611,0.030874,0.76037598,0,7,-0.003703,-0.006314,0.107464
12,LH_SomMot_4,2,0.004325,0.028188,0.56555176,0,7,-0.001766,-0.006091,0.097023
13,LH_SomMot_5,2,0.004463,0.037254,0.67517090,0,7,-0.003229,-0.007692,0.102042
14,LH_SomMot_6,2,0.003866,0.045232,0.76098633,0,6,-0.004665,-0.008531,0.103673
15,LH_DorsAttn_Post_1,3,-0.004268,0.021478,0.46643066,0,6,-0.002659,0.001609,0.089790
16,LH_DorsAttn_Post_2,3,0.007783,0.027467,0.32702637,0,12,0.001909,-0.005874,0.089980
17,LH_DorsAttn_Post_3,3,0.007148,0.031997,0.43298340,0,7,0.000458,-0.006690,0.093758
18,LH_DorsAttn_Post_4,3,0.007269,0.023505,0.28088379,0,7,-0.000584,-0.007853,0.092171
19,LH_DorsAttn_Post_5,3,0.006381,0.018327,0.22961426,0,8,0.002533,-0.003848,0.093332
21,LH_DorsAttn_PrCv_1,3,0.008160,0.013159,0.01647949,0,11,-0.000060,-0.008219,0.092702
22,LH_DorsAttn_FEF_1,3,0.010723,0.020348,0.07141113,0,10,0.005013,-0.005710,0.088890
23,LH_SalVentAttn_ParOper_1,4,0.000044,0.031287,0.99682617,0,6,0.002058,0.002015,0.091748
24,LH_SalVentAttn_FrOperIns_1,4,0.001037,0.026182,0.88916016,0,7,-0.003168,-0.004206,0.100155
25,LH_SalVentAttn_FrOperIns_2,4,0.006149,0.030281,0.45886230,0,6,0.000706,-0.005442,0.098194
26,LH_SalVentAttn_PFCl_1,4,-0.000115,0.028922,0.98876953,0,5,0.002463,0.002579,0.085907
27,LH_SalVentAttn_Med_1,4,-0.001491,0.033281,0.86645508,0,5,-0.006346,-0.004854,0.096765
28,LH_SalVentAttn_Med_2,4,0.000158,0.021782,0.97949219,0,7,-0.001400,-0.001557,0.093343
29,LH_SalVentAttn_Med_3,4,0.008962,0.037482,0.41040039,0,8,0.000292,-0.008670,0.091884
30,LH_Limbic_OFC_1,5,0.008308,0.026479,0.27148438,0,9,-0.000410,-0.008718,0.086222
31,LH_Limbic_TempPole_1,5,-0.005477,0.024318,0.40515137,0,6,-0.006017,-0.000540,0.094728
