# rev_regional_phir.py EXPLORATORY series=raw variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_bins_115regions-all_ts_demean_global.npy"
regional_did,whole_brain_did_mean_over_regions,0.018013,-0.000159,0.037935,0.11767578,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,0.000000,,,,"BH q=0.05, p_thresh=0.00000"
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,108.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,22.000000,,,,""
regional_did,min_uncorrected_p,0.002075,,,,"region RH_Default_PFCv_2 did=+0.0401"
regional_did,n_cortical_fdr_significant,0.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.010372,,,,""
regional_did,range_of_groupmean_did_across_regions,0.045942,,,,"min -0.0058 max +0.0401"
network_mean_did,Vis_n17,0.020926,-0.000837,0.046426,0.11791992,"pos=10/14; fdr_sig=0"
network_mean_did,SomMot_n14,0.015460,-0.006248,0.038828,0.22351074,"pos=10/14; fdr_sig=0"
network_mean_did,DorsAttn_n14,0.019512,-0.000048,0.040082,0.09020996,"pos=10/14; fdr_sig=0"
network_mean_did,SalVentAttn_n12,0.021543,0.002228,0.042731,0.07397461,"pos=9/14; fdr_sig=0"
network_mean_did,Limbic_n5,0.010298,-0.002909,0.024954,0.18847656,"pos=9/14; fdr_sig=0"
network_mean_did,Cont_n13,0.028516,0.006130,0.054138,0.04003906,"pos=9/14; fdr_sig=0"
network_mean_did,Default_n24,0.016989,-0.002179,0.038695,0.17456055,"pos=8/14; fdr_sig=0"
network_mean_did,Subcortex_n16,0.008608,-0.004362,0.021799,0.23620605,"pos=9/14; fdr_sig=0"
spatial_spin_cortical99,rho_5HT2A,0.030934,,,0.81820000,"two-sided spin p; Vasa one-sided-avg p=0.3873; null SD 0.130; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,0.211394,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,-0.274249,,,0.14915000,"two-sided spin p; Vasa one-sided-avg p=0.0777; null SD 0.190; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,-0.114531,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,0.377910,,,0.00415000,"two-sided spin p; Vasa one-sided-avg p=0.0022; null SD 0.141; BH(5) sig=1"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,0.385749,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,-0.247335,,,0.10565000,"two-sided spin p; Vasa one-sided-avg p=0.0615; null SD 0.154; BH(5) sig=0"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,-0.133938,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,-0.129375,,,0.45855000,"two-sided spin p; Vasa one-sided-avg p=0.2434; null SD 0.163; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,-0.273566,,,,"no spatial null for subcortex"
spatial_spin_cortical99,bh_threshold_across_5_maps,0.010000,,,,""
