# rev_regional_phir.py EXPLORATORY series=raw variant=ts_demean estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_win60_115regions-all_ts_demean_window.npy"
regional_did,whole_brain_did_mean_over_regions,0.015719,0.000748,0.032353,0.08532715,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,0.000000,,,,"BH q=0.05, p_thresh=0.00000"
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,110.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,12.000000,,,,""
regional_did,min_uncorrected_p,0.010132,,,,"region LH_DorsAttn_Post_2 did=+0.0286"
regional_did,n_cortical_fdr_significant,0.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.008797,,,,""
regional_did,range_of_groupmean_did_across_regions,0.041988,,,,"min -0.0079 max +0.0340"
network_mean_did,Vis_n17,0.017063,-0.000043,0.037812,0.12524414,"pos=10/14; fdr_sig=0"
network_mean_did,SomMot_n14,0.012047,-0.005976,0.031214,0.25305176,"pos=8/14; fdr_sig=0"
network_mean_did,DorsAttn_n14,0.017995,0.000614,0.036011,0.08032227,"pos=10/14; fdr_sig=0"
network_mean_did,SalVentAttn_n12,0.019076,0.002484,0.036922,0.05895996,"pos=9/14; fdr_sig=0"
network_mean_did,Limbic_n5,0.012403,0.001985,0.023725,0.05419922,"pos=9/14; fdr_sig=0"
network_mean_did,Cont_n13,0.018904,0.000342,0.040121,0.10095215,"pos=9/14; fdr_sig=0"
network_mean_did,Default_n24,0.016034,0.000379,0.032983,0.09094238,"pos=10/14; fdr_sig=0"
network_mean_did,Subcortex_n16,0.010968,-0.001673,0.024112,0.13598633,"pos=10/14; fdr_sig=0"
spatial_spin_cortical99,rho_5HT2A,0.010748,,,0.92135000,"two-sided spin p; Vasa one-sided-avg p=0.4346; null SD 0.111; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,0.121258,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,-0.163414,,,0.30430000,"two-sided spin p; Vasa one-sided-avg p=0.1557; null SD 0.146; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,-0.036002,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,0.314174,,,0.00605000,"two-sided spin p; Vasa one-sided-avg p=0.0024; null SD 0.117; BH(5) sig=1"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,0.296544,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,-0.188745,,,0.12820000,"two-sided spin p; Vasa one-sided-avg p=0.0761; null SD 0.125; BH(5) sig=0"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,-0.080849,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,-0.088745,,,0.49360000,"two-sided spin p; Vasa one-sided-avg p=0.2645; null SD 0.122; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,-0.192788,,,,"no spatial null for subcortex"
spatial_spin_cortical99,bh_threshold_across_5_maps,0.010000,,,,""
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws,0.000888,-0.003507,0.005420,0.70935059,"n_ws=37 n_non=62 pos=5/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws,0.017043,0.000881,0.035845,0.09033203,"pos=9/14"
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws,0.016155,0.000554,0.033170,0.08581543,"pos=10/14"
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,-0.000120,-0.005840,0.005062,0.97045898,"n=24 pos=7/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,0.002750,-0.002589,0.008829,0.40344238,"n=13 pos=7/14"
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,0.001952,-0.002695,0.006946,0.48327637,"n_ws=37 n_non=78 pos=7/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws+subcortex,0.017043,0.000513,0.035688,0.09033203,"pos=9/14"
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws+subcortex,0.015091,0.000632,0.031497,0.08459473,"pos=10/14"
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.000944,-0.004720,0.006258,0.75402832,"n=24 pos=6/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.003814,-0.002084,0.010866,0.31738281,"n=13 pos=9/14"
workspace_primary_Default+Cont,gateway_proxy_minus_broadcaster_proxy,-0.002870,-0.009820,0.004008,0.44775391,"n_gw=24 n_bc=13"
workspace_primary_Default+Cont,dmt_change_workspace_minus_nonworkspace_cortex,0.003356,-0.001045,0.008843,0.23254395,""
workspace_primary_Default+Cont,pcb_change_workspace_minus_nonworkspace_cortex,0.002468,-0.002214,0.006948,0.31738281,""
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws,0.000816,-0.004154,0.005744,0.75842285,"n_ws=26 n_non=73 pos=6/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws,0.017088,0.001129,0.035668,0.08935547,"pos=9/14"
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws,0.016272,0.000561,0.033937,0.08740234,"pos=10/14"
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,-0.000150,-0.005534,0.004940,0.95996094,"n=21 pos=6/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,0.004871,-0.006417,0.016943,0.45019531,"n=5 pos=7/14"
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,0.001769,-0.003330,0.007374,0.56127930,"n_ws=26 n_non=89 pos=8/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws+subcortex,0.017088,0.001119,0.035459,0.08935547,"pos=9/14"
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws+subcortex,0.015319,0.000156,0.031960,0.08605957,"pos=10/14"
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.000804,-0.004560,0.006314,0.78515625,"n=21 pos=6/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.005825,-0.005939,0.018762,0.40136719,"n=5 pos=7/14"
workspace_named_subregion,gateway_proxy_minus_broadcaster_proxy,-0.005021,-0.017642,0.007988,0.46484375,"n_gw=21 n_bc=5"
workspace_named_subregion,dmt_change_workspace_minus_nonworkspace_cortex,0.002846,-0.002831,0.008924,0.39929199,""
workspace_named_subregion,pcb_change_workspace_minus_nonworkspace_cortex,0.002031,-0.002205,0.006338,0.37854004,""
