# rev_regional_phir.py EXPLORATORY series=raw variant=ts_gsr estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_bins_115regions-all_ts_gsr_global.npy"
regional_did,whole_brain_did_mean_over_regions,-0.006231,-0.012577,0.000236,0.09533691,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,0.000000,,,,"BH q=0.05, p_thresh=0.00000"
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,10.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,18.000000,,,,""
regional_did,min_uncorrected_p,0.000488,,,,"region LH_Default_Par_1 did=-0.0074"
regional_did,n_cortical_fdr_significant,0.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.004827,,,,""
regional_did,range_of_groupmean_did_across_regions,0.027521,,,,"min -0.0222 max +0.0053"
network_mean_did,Vis_n17,-0.009428,-0.019337,0.001096,0.11267090,"pos=4/14; fdr_sig=0"
network_mean_did,SomMot_n14,-0.004905,-0.015690,0.005615,0.39648438,"pos=6/14; fdr_sig=0"
network_mean_did,DorsAttn_n14,-0.005178,-0.009815,-0.000183,0.06274414,"pos=4/14; fdr_sig=0"
network_mean_did,SalVentAttn_n12,-0.006162,-0.012301,0.000014,0.08007812,"pos=5/14; fdr_sig=0"
network_mean_did,Limbic_n5,-0.001325,-0.005461,0.003193,0.57751465,"pos=4/14; fdr_sig=0"
network_mean_did,Cont_n13,-0.010594,-0.020245,-0.001196,0.05541992,"pos=5/14; fdr_sig=0"
network_mean_did,Default_n24,-0.005389,-0.011263,0.000732,0.11718750,"pos=5/14; fdr_sig=0"
network_mean_did,Subcortex_n16,-0.004216,-0.009224,0.000695,0.13391113,"pos=5/14; fdr_sig=0"
spatial_spin_cortical99,rho_5HT2A,-0.120940,,,0.37480000,"two-sided spin p; Vasa one-sided-avg p=0.1953; null SD 0.132; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,-0.198303,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,0.180198,,,0.17980000,"two-sided spin p; Vasa one-sided-avg p=0.0905; null SD 0.133; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,0.064038,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,-0.141447,,,0.32180000,"two-sided spin p; Vasa one-sided-avg p=0.1774; null SD 0.138; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,-0.115505,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,0.016463,,,0.90530000,"two-sided spin p; Vasa one-sided-avg p=0.4583; null SD 0.132; BH(5) sig=0"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,0.117746,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,0.027693,,,0.81900000,"two-sided spin p; Vasa one-sided-avg p=0.4128; null SD 0.125; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,0.112357,,,,"no spatial null for subcortex"
