# rev_regional_phir.py EXPLORATORY series=raw variant=ts_gsr estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_region_mean_vs_saved_pair_mean_16atoms,0.000000,,,,"atoms_win60_115regions-all_ts_gsr_window.npy"
regional_did,whole_brain_did_mean_over_regions,0.000661,-0.007859,0.009881,0.89709473,"equals whole-brain pair-mean ΦR DiD"
regional_did,n_regions_fdr_significant,0.000000,,,,"BH q=0.05, p_thresh=0.00000"
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_fdr_significant_negative,0.000000,,,,""
regional_did,n_groupmean_positive_of_115,63.000000,,,,""
regional_did,n_uncorrected_p_below_0.05,3.000000,,,,""
regional_did,min_uncorrected_p,0.016479,,,,"region LH_DorsAttn_PrCv_1 did=+0.0082"
regional_did,n_cortical_fdr_significant,0.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did,sd_of_groupmean_did_across_regions,0.005663,,,,""
regional_did,range_of_groupmean_did_across_regions,0.025834,,,,"min -0.0106 max +0.0152"
network_mean_did,Vis_n17,-0.000197,-0.011928,0.011478,0.97521973,"pos=6/14; fdr_sig=0"
network_mean_did,SomMot_n14,0.001652,-0.010813,0.014878,0.81787109,"pos=6/14; fdr_sig=0"
network_mean_did,DorsAttn_n14,0.004094,-0.002911,0.012884,0.39746094,"pos=8/14; fdr_sig=0"
network_mean_did,SalVentAttn_n12,0.002086,-0.006888,0.012332,0.70654297,"pos=6/14; fdr_sig=0"
network_mean_did,Limbic_n5,0.002787,-0.003740,0.010204,0.47387695,"pos=6/14; fdr_sig=0"
network_mean_did,Cont_n13,-0.005065,-0.016833,0.006264,0.41894531,"pos=6/14; fdr_sig=0"
network_mean_did,Default_n24,0.001579,-0.007791,0.011613,0.76867676,"pos=5/14; fdr_sig=0"
network_mean_did,Subcortex_n16,-0.000759,-0.008516,0.007370,0.86120605,"pos=7/14; fdr_sig=0"
spatial_spin_cortical99,rho_5HT2A,-0.192690,,,0.10460000,"two-sided spin p; Vasa one-sided-avg p=0.0553; null SD 0.118; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,-0.076912,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,0.172814,,,0.06115000,"two-sided spin p; Vasa one-sided-avg p=0.0300; null SD 0.093; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,0.188093,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,-0.131936,,,0.27215000,"two-sided spin p; Vasa one-sided-avg p=0.1389; null SD 0.119; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,-0.014448,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,-0.020371,,,0.86205000,"two-sided spin p; Vasa one-sided-avg p=0.4225; null SD 0.111; BH(5) sig=0"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,0.067498,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,0.075609,,,0.47125000,"two-sided spin p; Vasa one-sided-avg p=0.2439; null SD 0.104; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,-0.015095,,,,"no spatial null for subcortex"
spatial_spin_cortical99,bh_threshold_across_5_maps,0.000000,,,,""
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws,-0.002628,-0.006079,0.000683,0.16955566,"n_ws=37 n_non=62 pos=5/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws,-0.000755,-0.010492,0.008970,0.88769531,"pos=7/14"
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws,0.001872,-0.006827,0.012046,0.73559570,"pos=5/14"
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,-0.000293,-0.003643,0.003108,0.87133789,"n=24 pos=7/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,-0.006937,-0.012790,-0.001120,0.04296875,"n=13 pos=5/14"
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.002088,-0.005679,0.001195,0.27685547,"n_ws=37 n_non=78 pos=6/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws+subcortex,-0.000755,-0.010818,0.009163,0.88769531,"pos=7/14"
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws+subcortex,0.001332,-0.006908,0.010853,0.79956055,"pos=6/14"
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.000247,-0.003262,0.003566,0.89050293,"n=24 pos=7/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.006397,-0.012379,-0.000623,0.06274414,"n=13 pos=5/14"
workspace_primary_Default+Cont,gateway_proxy_minus_broadcaster_proxy,0.006644,0.001002,0.012588,0.04699707,"n_gw=24 n_bc=13"
workspace_primary_Default+Cont,dmt_change_workspace_minus_nonworkspace_cortex,0.000537,-0.001302,0.002598,0.62060547,""
workspace_primary_Default+Cont,pcb_change_workspace_minus_nonworkspace_cortex,0.003164,-0.000399,0.007085,0.14611816,""
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws,-0.002003,-0.005639,0.001648,0.31591797,"n_ws=26 n_non=73 pos=6/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws,-0.000587,-0.010202,0.008931,0.90771484,"pos=6/14"
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws,0.001416,-0.007717,0.011746,0.79565430,"pos=5/14"
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,-0.000740,-0.004529,0.002983,0.71765137,"n=21 pos=6/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,-0.007309,-0.012747,-0.002231,0.02246094,"n=5 pos=3/14"
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.001612,-0.005242,0.001778,0.41040039,"n_ws=26 n_non=89 pos=7/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws+subcortex,-0.000587,-0.009835,0.008823,0.90771484,"pos=6/14"
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws+subcortex,0.001025,-0.007606,0.010751,0.84533691,"pos=6/14"
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.000349,-0.004106,0.003442,0.86218262,"n=21 pos=6/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.006918,-0.012129,-0.001818,0.02722168,"n=5 pos=3/14"
workspace_named_subregion,gateway_proxy_minus_broadcaster_proxy,0.006569,0.001277,0.011432,0.03100586,"n_gw=21 n_bc=5"
workspace_named_subregion,dmt_change_workspace_minus_nonworkspace_cortex,0.000671,-0.001672,0.003205,0.61608887,""
workspace_named_subregion,pcb_change_workspace_minus_nonworkspace_cortex,0.002674,-0.000756,0.006683,0.20520020,""
