# script=01_synergy_timecourse.py variant=ts_demean regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=84ea657
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.022489,0.010741,0.018413,0.487813,0.018413,0.492931,-0.018413,-0.479159,0.010741,-0.010741,0.505517,-0.481336,0.489723,-0.485150,-0.483215,1.060228
0,DMT,1,0.025490,0.000440,-0.001031,0.518685,-0.001031,0.550790,0.001031,-0.518820,0.000440,-0.000440,0.545598,-0.519530,0.519846,-0.520877,-0.519615,1.105244
0,DMT,2,0.064035,0.005257,0.022832,0.422204,0.022832,0.459025,-0.022832,-0.417108,0.005257,-0.005257,0.437213,-0.416511,0.422181,-0.417066,-0.418029,0.994884
0,DMT,3,0.033526,0.002193,0.014538,0.573063,0.014538,0.597124,-0.014538,-0.570406,0.002193,-0.002193,0.588142,-0.569138,0.570616,-0.565211,-0.567609,1.191907
0,DMT,4,0.014760,0.022541,0.006788,0.608167,0.006788,0.608495,-0.006788,-0.600320,0.022541,-0.022541,0.609080,-0.600019,0.608171,-0.600243,-0.600745,1.247366
0,DMT,5,0.058514,0.030359,0.008148,0.552346,0.008148,0.613135,-0.008148,-0.540323,0.030359,-0.030359,0.516427,-0.545269,0.555285,-0.547879,-0.545111,1.186348
0,DMT,6,0.126738,0.039320,0.042031,0.546486,0.042031,0.704234,-0.042031,-0.532575,0.039320,-0.039320,0.547829,-0.526900,0.541885,-0.520446,-0.528745,1.194516
0,DMT,7,0.087270,0.034910,0.032047,0.434891,0.032047,0.462560,-0.032047,-0.422993,0.034910,-0.034910,0.445454,-0.416723,0.434577,-0.413088,-0.420625,1.026006
0,DMT,8,0.017844,0.000910,-0.001332,0.606685,-0.001332,0.647199,0.001332,-0.606134,0.000910,-0.000910,0.628410,-0.607507,0.606832,-0.607345,-0.606188,1.218836
0,DMT,9,0.048626,0.006499,0.008089,0.566998,0.008089,0.613522,-0.008089,-0.565799,0.006499,-0.006499,0.605722,-0.564765,0.566077,-0.563753,-0.564674,1.187424
0,DMT,10,0.046805,0.011310,0.009481,0.533222,0.009481,0.581237,-0.009481,-0.530150,0.011310,-0.011310,0.549278,-0.531323,0.533510,-0.532215,-0.531166,1.119878
0,DMT,11,0.046508,0.003706,0.005828,0.607089,0.005828,0.646651,-0.005828,-0.606959,0.003706,-0.003706,0.619079,-0.605758,0.605533,-0.603586,-0.605180,1.235760
0,DMT,12,0.058669,0.007357,0.006430,0.493271,0.006430,0.517808,-0.006430,-0.491914,0.007357,-0.007357,0.477457,-0.492887,0.494510,-0.493608,-0.493053,1.082744
