# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=33f0b33
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.016605,0.008727,0.012672,0.601312,0.012672,0.610262,-0.012672,-0.592590,0.008727,-0.008727,0.599577,-0.592648,0.600471,-0.591737,-0.592639,1.224937
0,DMT,1,0.014844,0.001447,0.004857,0.610389,0.004857,0.635922,-0.004857,-0.607388,0.001447,-0.001447,0.603160,-0.607450,0.610454,-0.608172,-0.607612,1.240128
0,DMT,2,0.024268,0.007629,0.012189,0.588117,0.012189,0.639985,-0.012189,-0.581256,0.007629,-0.007629,0.594972,-0.581454,0.587650,-0.582025,-0.580207,1.196755
0,DMT,3,0.032524,0.010440,0.014561,0.598446,0.014561,0.627664,-0.014561,-0.592148,0.010440,-0.010440,0.639634,-0.593523,0.598304,-0.593478,-0.593077,1.229961
0,DMT,4,0.022135,0.015961,0.009866,0.638881,0.009866,0.634410,-0.009866,-0.629671,0.015961,-0.015961,0.633664,-0.628714,0.636214,-0.625822,-0.627981,1.299950
0,DMT,5,0.053428,0.019792,0.025064,0.599072,0.025064,0.631170,-0.025064,-0.583526,0.019792,-0.019792,0.608886,-0.582273,0.597989,-0.580828,-0.582594,1.231931
0,DMT,6,0.041540,0.021584,0.022325,0.608180,0.022325,0.648742,-0.022325,-0.592138,0.021584,-0.021584,0.629650,-0.592217,0.604374,-0.587930,-0.589014,1.239770
0,DMT,7,0.036735,0.018432,0.012707,0.651591,0.012707,0.652766,-0.012707,-0.639305,0.018432,-0.018432,0.631246,-0.639503,0.649550,-0.636591,-0.638242,1.332623
0,DMT,8,0.011157,0.004483,0.002357,0.625998,0.002357,0.637807,-0.002357,-0.625195,0.004483,-0.004483,0.612157,-0.623980,0.628185,-0.625803,-0.627251,1.275225
0,DMT,9,0.012186,0.002959,0.002131,0.604026,0.002131,0.651696,-0.002131,-0.603352,0.002959,-0.002959,0.643769,-0.602969,0.604734,-0.604009,-0.604013,1.222489
0,DMT,10,0.012676,0.003384,0.003807,0.558103,0.003807,0.585533,-0.003807,-0.557557,0.003384,-0.003384,0.596302,-0.557510,0.558065,-0.557819,-0.557398,1.133392
0,DMT,11,0.015600,0.004004,0.003906,0.589632,0.003906,0.622697,-0.003906,-0.587574,0.004004,-0.004004,0.620842,-0.587346,0.587910,-0.586079,-0.586061,1.192016
0,DMT,12,0.013679,0.002336,0.004394,0.586900,0.004394,0.605997,-0.004394,-0.585884,0.002336,-0.002336,0.592625,-0.585961,0.587873,-0.586783,-0.586858,1.184355
0,DMT,13,0.010975,0.002875,0.001118,0.638234,0.001118,0.648774,-0.001118,-0.637557,0.002875,-0.002875,0.642842,-0.637432,0.638085,-0.637341,-0.637451,1.288400
0,DMT,14,0.013674,0.004514,0.002165,0.606205,0.002165,0.627126,-0.002165,-0.605294,0.004514,-0.004514,0.628361,-0.605808,0.606212,-0.605615,-0.605375,1.226817
0,DMT,15,0.012915,0.005289,0.004494,0.579039,0.004494,0.622064,-0.004494,-0.576002,0.005289,-0.005289,0.604549,-0.576135,0.579089,-0.575887,-0.576347,1.170160
0,DMT,16,0.010419,0.003669,0.003232,0.575206,0.003232,0.620608,-0.003232,-0.573216,0.003669,-0.003669,0.586881,-0.573722,0.576108,-0.574586,-0.574125,1.163039
0,DMT,17,0.014991,0.006123,0.003777,0.580612,0.003777,0.620921,-0.003777,-0.577847,0.006123,-0.006123,0.588886,-0.577500,0.580727,-0.577787,-0.577890,1.173797
0,DMT,18,0.013161,0.008785,0.005444,0.601556,0.005444,0.650387,-0.005444,-0.596934,0.008785,-0.008785,0.632962,-0.596253,0.601622,-0.595720,-0.597314,1.218947
0,DMT,19,0.017446,0.004030,0.002657,0.668113,0.002657,0.679842,-0.002657,-0.667405,0.004030,-0.004030,0.687785,-0.667511,0.668442,-0.667991,-0.667727,1.354544
0,DMT,20,0.022582,0.000837,0.004893,0.622162,0.004893,0.647256,-0.004893,-0.621566,0.000837,-0.000837,0.663872,-0.622264,0.623354,-0.623439,-0.622643,1.263761
0,DMT,21,0.018146,0.004196,0.003207,0.622387,0.003207,0.651655,-0.003207,-0.621175,0.004196,-0.004196,0.652918,-0.621095,0.623193,-0.622174,-0.621838,1.260925
0,DMT,22,0.042546,0.008598,0.004693,0.623120,0.004693,0.706286,-0.004693,-0.622370,0.008598,-0.008598,0.716540,-0.621328,0.623698,-0.621754,-0.622657,1.278725
0,DMT,23,0.019635,0.005288,0.005652,0.579134,0.005652,0.622548,-0.005652,-0.576155,0.005288,-0.005288,0.604598,-0.576118,0.578433,-0.575642,-0.575702,1.171410
