# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=placebo window_trs=na placebo_fit_trs=420 seed=20261120 git=553e919
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.018771,0.003510,0.006937,0.601147,0.006937,0.616176,-0.006937,-0.597610,0.003510,-0.003510,0.607765,-0.599078,0.600600,-0.598622,-0.597690,1.225815
0,DMT,1,0.012074,-0.000553,0.001739,0.630454,0.001739,0.650388,-0.001739,-0.631017,-0.000553,0.000553,0.621705,-0.631365,0.629021,-0.630167,-0.630332,1.270874
0,DMT,2,0.017358,0.002639,0.004205,0.603443,0.004205,0.654633,-0.004205,-0.604099,0.002639,-0.002639,0.618332,-0.603748,0.602656,-0.603132,-0.603102,1.220430
0,DMT,3,0.026424,0.003169,0.005364,0.614216,0.005364,0.645543,-0.005364,-0.615994,0.003169,-0.003169,0.642043,-0.616807,0.611836,-0.615225,-0.614371,1.252364
0,DMT,4,0.019599,0.003855,0.000342,0.638430,0.000342,0.650190,-0.000342,-0.642438,0.003855,-0.003855,0.640724,-0.643501,0.638032,-0.643575,-0.642447,1.303078
0,DMT,5,0.035653,-0.003901,0.001328,0.654575,0.001328,0.674705,-0.001328,-0.666860,-0.003901,0.003901,0.658421,-0.667024,0.653868,-0.666406,-0.667642,1.336453
0,DMT,6,0.031089,0.013814,0.007903,0.634395,0.007903,0.666355,-0.007903,-0.631332,0.013814,-0.013814,0.646869,-0.630442,0.634085,-0.629447,-0.631543,1.289936
0,DMT,7,0.018234,0.007035,0.002284,0.687214,0.002284,0.702826,-0.002284,-0.685781,0.007035,-0.007035,0.668300,-0.685324,0.685153,-0.683416,-0.684181,1.386325
0,DMT,8,-0.000389,-0.005105,-0.006019,0.659257,-0.006019,0.668424,0.006019,-0.666323,-0.005105,0.005105,0.645886,-0.667049,0.661026,-0.667896,-0.668179,1.323879
0,DMT,9,0.010959,0.002431,0.001966,0.624075,0.001966,0.665479,-0.001966,-0.624176,0.002431,-0.002431,0.652437,-0.623832,0.624630,-0.624409,-0.624407,1.260678
0,DMT,10,0.012538,0.002299,0.002796,0.577903,0.002796,0.602823,-0.002796,-0.578531,0.002299,-0.002299,0.610315,-0.578385,0.577420,-0.578314,-0.578000,1.171566
0,DMT,11,0.012704,0.001744,0.002313,0.600290,0.002313,0.625002,-0.002313,-0.601590,0.001744,-0.001744,0.624014,-0.601036,0.599610,-0.600650,-0.601307,1.210665
0,DMT,12,0.012121,0.000156,0.001411,0.613245,0.001411,0.616789,-0.001411,-0.615239,0.000156,-0.000156,0.597599,-0.615669,0.613138,-0.615274,-0.615179,1.233702
0,DMT,13,0.010136,0.000952,-0.000117,0.628141,-0.000117,0.657481,0.000117,-0.629227,0.000952,-0.000952,0.646203,-0.629393,0.628313,-0.629398,-0.628839,1.266975
0,DMT,14,0.014818,0.004255,0.003442,0.603965,0.003442,0.632017,-0.003442,-0.602214,0.004255,-0.004255,0.627198,-0.602442,0.603543,-0.601955,-0.602091,1.221803
0,DMT,15,0.013600,0.003691,0.003748,0.598074,0.003748,0.637122,-0.003748,-0.595734,0.003691,-0.003691,0.624051,-0.596232,0.598293,-0.596364,-0.595963,1.208440
0,DMT,16,0.012375,0.003588,0.003226,0.589242,0.003226,0.620918,-0.003226,-0.587712,0.003588,-0.003588,0.594981,-0.588188,0.588844,-0.587383,-0.587679,1.190021
0,DMT,17,0.015600,0.005749,0.004008,0.592286,0.004008,0.627509,-0.004008,-0.590184,0.005749,-0.005749,0.603766,-0.590188,0.591994,-0.589705,-0.589996,1.197569
0,DMT,18,0.013115,0.005101,0.004024,0.628027,0.004024,0.660687,-0.004024,-0.625321,0.005101,-0.005101,0.644268,-0.624960,0.627203,-0.624436,-0.624802,1.269209
0,DMT,19,0.014511,0.002745,0.002756,0.666967,0.002756,0.675315,-0.002756,-0.667082,0.002745,-0.002745,0.677986,-0.666621,0.665542,-0.665248,-0.665492,1.347818
0,DMT,20,0.016630,0.002274,0.004382,0.622257,0.004382,0.660635,-0.004382,-0.621602,0.002274,-0.002274,0.664907,-0.621217,0.622536,-0.621638,-0.621703,1.260497
0,DMT,21,0.012724,0.002624,0.002496,0.637049,0.002496,0.668489,-0.002496,-0.636885,0.002624,-0.002624,0.663672,-0.636557,0.637945,-0.637418,-0.637490,1.291207
0,DMT,22,0.022669,0.005114,0.001929,0.686571,0.001929,0.712526,-0.001929,-0.687430,0.005114,-0.005114,0.726048,-0.686374,0.687239,-0.687016,-0.687469,1.396951
0,DMT,23,0.017743,0.003801,0.004326,0.592996,0.004326,0.632195,-0.004326,-0.592517,0.003801,-0.003801,0.615149,-0.592139,0.592148,-0.591515,-0.591860,1.200446
