# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=window window_trs=30 placebo_fit_trs=na seed=20261120 git=ac1fdc0
subject,condition,window,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.044416,0.050682,0.048993,0.492433,0.049018,0.534927,-0.047785,-0.411600,0.050536,-0.049486,0.511918,-0.411383,0.493688,-0.409625,-0.414668,0.990798
0,DMT,1,0.041346,0.047037,0.046812,0.471077,0.046468,0.529383,-0.045687,-0.399579,0.046866,-0.046214,0.492230,-0.400313,0.466624,-0.395524,-0.398929,0.947426
0,DMT,2,0.047994,0.046994,0.047249,0.481495,0.047119,0.525424,-0.046655,-0.405252,0.046800,-0.046255,0.486790,-0.412035,0.480688,-0.409840,-0.410399,0.966473
0,DMT,3,0.062723,0.047975,0.062673,0.470164,0.062684,0.508808,-0.061638,-0.390734,0.047909,-0.047071,0.510091,-0.396626,0.471581,-0.395820,-0.392578,0.949690
0,DMT,4,0.047760,0.055606,0.053738,0.499386,0.053806,0.493930,-0.052526,-0.412141,0.055842,-0.054532,0.496780,-0.413557,0.499927,-0.413702,-0.412637,0.986628
0,DMT,5,0.059594,0.058455,0.055141,0.490894,0.055117,0.527734,-0.053880,-0.411075,0.058639,-0.056964,0.516110,-0.412040,0.488862,-0.407856,-0.411276,0.985227
0,DMT,6,0.068770,0.066653,0.064429,0.491112,0.064396,0.530237,-0.062499,-0.395652,0.066388,-0.065104,0.501109,-0.395333,0.489446,-0.387754,-0.398740,0.969365
0,DMT,7,0.060299,0.057785,0.053359,0.499431,0.053111,0.527880,-0.052291,-0.420915,0.057664,-0.056420,0.519876,-0.422167,0.501508,-0.422495,-0.424012,1.002966
0,DMT,8,0.045927,0.047553,0.048421,0.474995,0.048301,0.513327,-0.047216,-0.405625,0.047536,-0.046329,0.489561,-0.405629,0.474517,-0.404687,-0.408790,0.974901
0,DMT,9,0.040015,0.040748,0.041775,0.459981,0.041659,0.516248,-0.041167,-0.395029,0.040623,-0.040165,0.525148,-0.397989,0.463198,-0.400314,-0.395717,0.945780
