# script=01_synergy_timecourse.py variant=ts_demean regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=window window_trs=60 placebo_fit_trs=na seed=20261120 git=f3b435d
subject,condition,window,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.034227,0.030361,0.033858,0.439229,0.033869,0.462057,-0.033739,-0.403026,0.030356,-0.030196,0.467330,-0.402186,0.438564,-0.401808,-0.400664,0.953768
0,DMT,1,0.056062,0.027539,0.045942,0.446052,0.045817,0.489563,-0.045346,-0.414399,0.027457,-0.027265,0.473674,-0.414364,0.445074,-0.412242,-0.414753,0.992667
0,DMT,2,0.049875,0.038794,0.030166,0.500040,0.030172,0.539545,-0.029718,-0.461341,0.038753,-0.038454,0.512584,-0.466459,0.501174,-0.464983,-0.464253,1.062110
0,DMT,3,0.085141,0.058757,0.052601,0.456822,0.052349,0.500889,-0.051249,-0.403782,0.059213,-0.057464,0.457828,-0.402517,0.453876,-0.393915,-0.403122,1.003167
0,DMT,4,0.049664,0.030575,0.027615,0.479849,0.027595,0.549448,-0.027468,-0.452812,0.030586,-0.030562,0.550859,-0.451687,0.480713,-0.452843,-0.452130,1.011555
0,DMT,5,0.054769,0.033687,0.030046,0.516404,0.029994,0.603507,-0.029988,-0.482412,0.033682,-0.033675,0.556788,-0.483777,0.513033,-0.479262,-0.482716,1.056155
0,DMT,6,0.067000,0.033495,0.034506,0.451135,0.034540,0.497964,-0.034487,-0.428390,0.033544,-0.033403,0.468167,-0.429169,0.452427,-0.428167,-0.429060,1.007575
0,DMT,7,0.043999,0.042865,0.041747,0.393190,0.041674,0.407990,-0.041514,-0.353920,0.042823,-0.042616,0.414759,-0.353879,0.393807,-0.353451,-0.351154,0.913028
0,DMT,8,0.047091,0.033905,0.036568,0.419340,0.036541,0.468384,-0.036376,-0.384018,0.033911,-0.033839,0.448894,-0.385339,0.420891,-0.387023,-0.388520,0.924484
0,DMT,9,0.067628,0.038908,0.028197,0.524211,0.028184,0.566153,-0.028184,-0.499929,0.038836,-0.038726,0.588868,-0.497924,0.523364,-0.497402,-0.498640,1.122303
0,DMT,10,0.052025,0.034346,0.035969,0.498164,0.035959,0.534233,-0.035739,-0.467324,0.034358,-0.034301,0.535344,-0.464952,0.497071,-0.464658,-0.465730,1.065068
0,DMT,11,0.052725,0.037268,0.037391,0.414921,0.037458,0.457302,-0.037312,-0.381997,0.037387,-0.037093,0.478735,-0.378356,0.415283,-0.379422,-0.380513,0.946148
0,DMT,12,0.037277,0.038283,0.027436,0.460806,0.027425,0.486632,-0.027425,-0.423150,0.038229,-0.038151,0.504363,-0.425089,0.462064,-0.426605,-0.422250,0.985068
0,DMT,13,0.048919,0.026838,0.038744,0.500683,0.038785,0.530157,-0.038730,-0.466947,0.026828,-0.026812,0.546623,-0.464474,0.500790,-0.468042,-0.467369,1.066906
0,PCB,0,0.040818,0.036191,0.037269,0.474348,0.037337,0.488008,-0.036981,-0.432639,0.036174,-0.035862,0.500485,-0.435271,0.471975,-0.431879,-0.429711,1.016738
0,PCB,1,0.038757,0.031361,0.026431,0.468928,0.026436,0.510266,-0.026361,-0.437584,0.031350,-0.031277,0.493289,-0.440971,0.468521,-0.439031,-0.437422,1.011562
0,PCB,2,0.030171,0.025512,0.022283,0.477318,0.022320,0.521993,-0.022135,-0.450271,0.025517,-0.025466,0.534663,-0.446984,0.477983,-0.448042,-0.449893,1.006407
0,PCB,3,0.036739,0.026891,0.026622,0.520520,0.026603,0.552515,-0.026570,-0.492115,0.026930,-0.026863,0.551588,-0.491898,0.520010,-0.490700,-0.491696,1.091572
