# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=window window_trs=60 placebo_fit_trs=na seed=20261120 git=e46df8a
subject,condition,window,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,DMT,0,0.029908,0.025930,0.027438,0.526297,0.027415,0.581407,-0.027409,-0.493045,0.025930,-0.025930,0.554621,-0.492402,0.525853,-0.491990,-0.494220,1.074830
0,DMT,1,0.040947,0.027379,0.033797,0.530050,0.033751,0.582899,-0.033722,-0.492049,0.027353,-0.027349,0.561345,-0.495650,0.527898,-0.493812,-0.492556,1.080716
0,DMT,2,0.040498,0.034749,0.032417,0.556476,0.032415,0.581908,-0.032299,-0.514963,0.034736,-0.034678,0.581923,-0.513555,0.554915,-0.511594,-0.513443,1.123361
0,DMT,3,0.049111,0.038336,0.035296,0.552000,0.035255,0.588976,-0.035189,-0.508498,0.038339,-0.038214,0.573184,-0.508300,0.551226,-0.505419,-0.508984,1.118950
0,DMT,4,0.032357,0.026909,0.025301,0.516156,0.025276,0.571776,-0.025221,-0.483337,0.026928,-0.026853,0.559599,-0.482464,0.516058,-0.482632,-0.483030,1.057670
0,DMT,5,0.024678,0.024144,0.022133,0.508166,0.022116,0.556414,-0.022116,-0.478217,0.024134,-0.024133,0.559139,-0.477836,0.507117,-0.477574,-0.477304,1.031424
0,DMT,6,0.025207,0.021351,0.024012,0.533451,0.024012,0.567305,-0.024012,-0.504574,0.021333,-0.021329,0.553941,-0.505194,0.532150,-0.503481,-0.504287,1.082848
0,DMT,7,0.021654,0.022473,0.021038,0.528553,0.021038,0.566956,-0.021038,-0.497360,0.022473,-0.022473,0.564205,-0.498078,0.528754,-0.497282,-0.498610,1.067145
0,DMT,8,0.022221,0.023132,0.023468,0.520731,0.023468,0.573156,-0.023468,-0.486335,0.023132,-0.023132,0.533539,-0.488147,0.520367,-0.486167,-0.487647,1.047318
0,DMT,9,0.031384,0.024658,0.022893,0.568394,0.022876,0.632279,-0.022875,-0.536777,0.024661,-0.024651,0.627397,-0.535115,0.567999,-0.535907,-0.536150,1.149148
