# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,window_index,atom,bins_covered,f_first_bin,analytic,est_mean,bias,bias_ci_lo,bias_ci_hi,est_sd
nonstat_step_coupling,30,1,sts,1-1,0.000000,0.094214,0.058410,-0.035804,-0.036814,-0.034794,0.072875
nonstat_step_coupling,30,2,sts,2-2,0.000000,0.094214,0.058124,-0.036090,-0.037116,-0.035064,0.074048
nonstat_step_coupling,30,3,sts,3-3,0.000000,0.094214,0.058403,-0.035811,-0.036831,-0.034791,0.073573
nonstat_step_coupling,30,4,sts,4-4,0.000000,0.094214,0.058528,-0.035686,-0.036717,-0.034655,0.074387
nonstat_step_coupling,30,5,sts,5-5,0.000000,0.094214,0.059956,-0.034259,-0.035301,-0.033216,0.075195
nonstat_step_coupling,30,6,sts,6-6,0.000000,0.094214,0.057665,-0.036550,-0.037558,-0.035541,0.072790
nonstat_step_coupling,30,7,sts,7-7,0.000000,0.094214,0.058424,-0.035790,-0.036824,-0.034757,0.074580
nonstat_step_coupling,30,8,sts,8-8,0.000000,0.094214,0.057708,-0.036507,-0.037509,-0.035504,0.072344
nonstat_step_coupling,30,9,sts,9-9,1.000000,0.038026,0.031393,-0.006633,-0.007271,-0.005995,0.046035
nonstat_step_coupling,30,10,sts,10-10,1.000000,0.038026,0.032070,-0.005957,-0.006595,-0.005318,0.046090
nonstat_step_coupling,30,11,sts,11-11,1.000000,0.038026,0.031988,-0.006039,-0.006685,-0.005392,0.046648
nonstat_step_coupling,30,12,sts,12-12,1.000000,0.038026,0.031485,-0.006542,-0.007190,-0.005894,0.046772
nonstat_step_coupling,30,13,sts,13-13,1.000000,0.038026,0.031447,-0.006579,-0.007213,-0.005945,0.045736
nonstat_step_coupling,30,14,sts,14-14,1.000000,0.038026,0.031438,-0.006588,-0.007222,-0.005955,0.045694
nonstat_step_coupling,30,15,sts,15-15,1.000000,0.038026,0.031325,-0.006702,-0.007327,-0.006077,0.045108
nonstat_step_coupling,30,16,sts,16-16,1.000000,0.038026,0.031707,-0.006320,-0.006963,-0.005677,0.046408
nonstat_step_coupling,30,17,sts,17-17,1.000000,0.038026,0.031655,-0.006371,-0.007012,-0.005731,0.046222
nonstat_step_coupling,30,18,sts,18-18,1.000000,0.038026,0.031858,-0.006168,-0.006818,-0.005518,0.046882
nonstat_step_coupling,30,19,sts,19-19,1.000000,0.038026,0.031951,-0.006075,-0.006718,-0.005432,0.046405
nonstat_step_coupling,30,20,sts,20-20,1.000000,0.038026,0.030988,-0.007038,-0.007665,-0.006411,0.045234
nonstat_step_coupling,30,21,sts,21-21,1.000000,0.038026,0.031389,-0.006638,-0.007261,-0.006014,0.044987
nonstat_step_coupling,30,22,sts,22-22,1.000000,0.038026,0.031635,-0.006391,-0.007030,-0.005752,0.046130
nonstat_step_coupling,30,23,sts,23-23,1.000000,0.038026,0.031662,-0.006365,-0.006998,-0.005732,0.045669
nonstat_step_coupling,30,24,sts,24-24,1.000000,0.038026,0.031293,-0.006734,-0.007356,-0.006111,0.044908
nonstat_step_coupling,30,25,sts,25-25,1.000000,0.038026,0.031893,-0.006134,-0.006783,-0.005484,0.046891
nonstat_step_coupling,30,26,sts,26-26,1.000000,0.038026,0.030930,-0.007096,-0.007717,-0.006476,0.044771
nonstat_step_coupling,30,27,sts,27-27,1.000000,0.038026,0.031274,-0.006753,-0.007383,-0.006122,0.045485
nonstat_step_coupling,30,28,sts,28-28,1.000000,0.038026,0.032061,-0.005966,-0.006616,-0.005316,0.046916
nonstat_step_coupling,30,1,rtr,1-1,0.000000,0.013658,0.020609,0.006951,0.006507,0.007396,0.032052
nonstat_step_coupling,30,2,rtr,2-2,0.000000,0.013658,0.020659,0.007001,0.006562,0.007440,0.031696
nonstat_step_coupling,30,3,rtr,3-3,0.000000,0.013658,0.020571,0.006914,0.006471,0.007356,0.031940
nonstat_step_coupling,30,4,rtr,4-4,0.000000,0.013658,0.020659,0.007001,0.006551,0.007452,0.032509
nonstat_step_coupling,30,5,rtr,5-5,0.000000,0.013658,0.020686,0.007028,0.006587,0.007470,0.031852
nonstat_step_coupling,30,6,rtr,6-6,0.000000,0.013658,0.020810,0.007152,0.006707,0.007597,0.032105
nonstat_step_coupling,30,7,rtr,7-7,0.000000,0.013658,0.020448,0.006790,0.006351,0.007229,0.031681
nonstat_step_coupling,30,8,rtr,8-8,0.000000,0.013658,0.020399,0.006741,0.006314,0.007169,0.030846
nonstat_step_coupling,30,9,rtr,9-9,1.000000,0.085980,0.054279,-0.031701,-0.032621,-0.030781,0.066361
nonstat_step_coupling,30,10,rtr,10-10,1.000000,0.085980,0.055461,-0.030519,-0.031442,-0.029597,0.066571
nonstat_step_coupling,30,11,rtr,11-11,1.000000,0.085980,0.055152,-0.030828,-0.031758,-0.029898,0.067121
nonstat_step_coupling,30,12,rtr,12-12,1.000000,0.085980,0.054567,-0.031413,-0.032334,-0.030493,0.066408
nonstat_step_coupling,30,13,rtr,13-13,1.000000,0.085980,0.055604,-0.030376,-0.031298,-0.029454,0.066533
nonstat_step_coupling,30,14,rtr,14-14,1.000000,0.085980,0.055189,-0.030791,-0.031723,-0.029859,0.067253
nonstat_step_coupling,30,15,rtr,15-15,1.000000,0.085980,0.054619,-0.031361,-0.032276,-0.030446,0.066019
nonstat_step_coupling,30,16,rtr,16-16,1.000000,0.085980,0.055390,-0.030590,-0.031521,-0.029659,0.067180
nonstat_step_coupling,30,17,rtr,17-17,1.000000,0.085980,0.055235,-0.030744,-0.031676,-0.029813,0.067240
nonstat_step_coupling,30,18,rtr,18-18,1.000000,0.085980,0.055221,-0.030759,-0.031691,-0.029827,0.067236
nonstat_step_coupling,30,19,rtr,19-19,1.000000,0.085980,0.055914,-0.030066,-0.031005,-0.029126,0.067799
nonstat_step_coupling,30,20,rtr,20-20,1.000000,0.085980,0.055031,-0.030949,-0.031884,-0.030014,0.067448
nonstat_step_coupling,30,21,rtr,21-21,1.000000,0.085980,0.055743,-0.030237,-0.031176,-0.029298,0.067743
nonstat_step_coupling,30,22,rtr,22-22,1.000000,0.085980,0.055574,-0.030406,-0.031337,-0.029474,0.067180
nonstat_step_coupling,30,23,rtr,23-23,1.000000,0.085980,0.054886,-0.031094,-0.032023,-0.030165,0.067003
nonstat_step_coupling,30,24,rtr,24-24,1.000000,0.085980,0.056181,-0.029799,-0.030749,-0.028849,0.068544
