# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,M,n_pairs,n_decay_windows,S_boot,S_boot_lo,S_boot_hi,S_analytic,S_analytic_lo,S_analytic_hi,R,R_lo,R_hi,rho_truth_vs_intensity,threshold,decides,passed_adjacent,passed_adjacent_boot,passed_fulldecay,undetermined
nonstat_decay_coupling,30,1338,18,19,0.712694,0.555556,0.888889,0.709659,0.537480,0.843945,0.957653,0.907018,0.989474,-1.000000,0.800000,0,0,0,1,0
nonstat_decay_coupling,30,742,18,19,0.667083,0.500000,0.833333,0.666042,0.528905,0.783896,0.938484,0.866667,0.982456,-1.000000,0.800000,0,0,0,1,0
nonstat_decay_coupling,30,151,18,19,0.579250,0.444444,0.722222,0.580110,0.513517,0.644480,0.832192,0.682456,0.936842,-1.000000,0.800000,0,0,0,1,0
nonstat_decay_coupling,60,1338,9,10,0.923778,0.777778,1.000000,0.922672,0.851474,0.966159,0.990382,0.963636,1.000000,-1.000000,0.800000,1,1,1,1,0
nonstat_decay_coupling,60,742,9,10,0.889778,0.666667,1.000000,0.887150,0.820662,0.935434,0.983545,0.939394,1.000000,-1.000000,0.800000,1,1,1,1,0
nonstat_decay_coupling,60,151,9,10,0.766000,0.555556,1.000000,0.760337,0.709580,0.805932,0.941733,0.830303,1.000000,-1.000000,0.800000,0,0,0,1,0
nonstat_decay_noisecorr,30,1338,18,19,0.621833,0.444444,0.777778,0.621580,0.429060,0.788073,0.917476,0.833333,0.971930,-1.000000,0.800000,0,0,0,1,0
nonstat_decay_noisecorr,30,742,18,19,0.592028,0.444444,0.777778,0.593045,0.446609,0.727550,0.879321,0.763158,0.954386,-1.000000,0.800000,0,0,0,1,0
nonstat_decay_noisecorr,30,151,18,19,0.544194,0.388889,0.722222,0.543200,0.475656,0.609518,0.677881,0.380658,0.870175,-1.000000,0.800000,0,0,0,0,0
nonstat_decay_noisecorr,60,1338,9,10,0.866389,0.666667,1.000000,0.861188,0.762669,0.930697,0.976485,0.927273,1.000000,-1.000000,0.800000,1,1,1,1,1
nonstat_decay_noisecorr,60,742,9,10,0.826000,0.666667,1.000000,0.823380,0.734938,0.892008,0.964358,0.903030,1.000000,-1.000000,0.800000,1,1,1,1,1
nonstat_decay_noisecorr,60,151,9,10,0.693611,0.444444,0.888889,0.695444,0.637177,0.749171,0.904448,0.769394,0.987879,-1.000000,0.800000,0,0,0,1,0
