# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,M,pair,true_diff,est_diff_mean,est_diff_se,est_diff_sd_pooled,p_correct_sign_boot,p_correct_sign_analytic,p_analytic_lo,p_analytic_hi
nonstat_decay_coupling,30,1338,10->11,0.001430,0.001132,0.000465,0.001798,0.743500,0.735610,0.548913,0.872194
nonstat_decay_coupling,30,1338,11->12,0.002214,0.002150,0.000488,0.001887,0.877500,0.872798,0.736555,0.950187
nonstat_decay_coupling,30,1338,12->13,0.002880,0.002646,0.000518,0.002001,0.909500,0.906975,0.792579,0.966324
nonstat_decay_coupling,30,1338,13->14,0.002594,0.002182,0.000549,0.002121,0.833000,0.848208,0.699104,0.937698
nonstat_decay_coupling,30,1338,14->15,0.002263,0.001936,0.000569,0.002201,0.836500,0.810463,0.645295,0.917212
nonstat_decay_coupling,30,1338,15->16,0.001898,0.003028,0.000594,0.002297,0.912500,0.906271,0.791370,0.966006
nonstat_decay_coupling,30,1338,16->17,0.002151,0.001779,0.000621,0.002400,0.786000,0.770772,0.592677,0.894048
nonstat_decay_coupling,30,1338,17->18,0.001531,0.001754,0.000639,0.002472,0.743000,0.760992,0.580253,0.888093
nonstat_decay_coupling,30,1338,18->19,0.002450,0.002829,0.000658,0.002543,0.880000,0.867090,0.727672,0.947351
nonstat_decay_coupling,30,1338,19->20,0.006450,0.000337,0.000670,0.002592,0.541000,0.551648,0.353039,0.737866
nonstat_decay_coupling,30,1338,20->21,0.004542,0.001750,0.000689,0.002663,0.749500,0.744496,0.559742,0.877834
nonstat_decay_coupling,30,1338,21->22,0.005570,0.001231,0.000703,0.002716,0.676500,0.674755,0.478518,0.831482
nonstat_decay_coupling,30,1338,22->23,0.002204,0.000473,0.000708,0.002736,0.567000,0.568597,0.369133,0.751671
nonstat_decay_coupling,30,1338,23->24,0.003274,0.000423,0.000716,0.002767,0.556500,0.560714,0.361604,0.745288
nonstat_decay_coupling,30,1338,24->25,0.003235,0.000973,0.000720,0.002784,0.633000,0.636636,0.437436,0.804122
nonstat_decay_coupling,30,1338,25->26,0.002134,-0.000075,0.000723,0.002794,0.504500,0.489319,0.296764,0.684450
nonstat_decay_coupling,30,1338,26->27,-0.001065,0.000892,0.000726,0.002805,0.395000,0.375226,0.204687,0.574919
nonstat_decay_coupling,30,1338,27->28,0.004219,0.001446,0.000740,0.002863,0.684000,0.693292,0.499302,0.844269
nonstat_decay_coupling,30,742,10->11,0.001430,0.001132,0.000465,0.002414,0.670500,0.680485,0.536466,0.801385
nonstat_decay_coupling,30,742,11->12,0.002214,0.002150,0.000488,0.002534,0.814500,0.801985,0.681254,0.889949
nonstat_decay_coupling,30,742,12->13,0.002880,0.002646,0.000518,0.002687,0.829000,0.837625,0.728147,0.913443
nonstat_decay_coupling,30,742,13->14,0.002594,0.002182,0.000549,0.002848,0.783000,0.778197,0.651213,0.873614
nonstat_decay_coupling,30,742,14->15,0.002263,0.001936,0.000569,0.002955,0.751000,0.743775,0.609304,0.849093
nonstat_decay_coupling,30,742,15->16,0.001898,0.003028,0.000594,0.003085,0.835500,0.836852,0.727104,0.912946
nonstat_decay_coupling,30,742,16->17,0.002151,0.001779,0.000621,0.003223,0.712000,0.709562,0.569296,0.823718
nonstat_decay_coupling,30,742,17->18,0.001531,0.001754,0.000639,0.003319,0.706500,0.701373,0.559945,0.817499
nonstat_decay_coupling,30,742,18->19,0.002450,0.002829,0.000658,0.003414,0.811000,0.796347,0.674049,0.886123
nonstat_decay_coupling,30,742,19->20,0.006450,0.000337,0.000670,0.003481,0.537000,0.538510,0.389416,0.682322
nonstat_decay_coupling,30,742,20->21,0.004542,0.001750,0.000689,0.003576,0.685500,0.687742,0.544564,0.807024
nonstat_decay_coupling,30,742,21->22,0.005570,0.001231,0.000703,0.003647,0.639500,0.632094,0.483999,0.762673
nonstat_decay_coupling,30,742,22->23,0.002204,0.000473,0.000708,0.003674,0.533000,0.551196,0.401743,0.693644
nonstat_decay_coupling,30,742,23->24,0.003274,0.000423,0.000716,0.003715,0.554000,0.545291,0.395986,0.688391
nonstat_decay_coupling,30,742,24->25,0.003235,0.000973,0.000720,0.003739,0.587000,0.602667,0.453324,0.738191
nonstat_decay_coupling,30,742,25->26,0.002134,-0.000075,0.000723,0.003752,0.514000,0.492046,0.345513,0.639672
nonstat_decay_coupling,30,742,26->27,-0.001065,0.000892,0.000726,0.003767,0.395500,0.406390,0.269487,0.555939
nonstat_decay_coupling,30,742,27->28,0.004219,0.001446,0.000740,0.003844,0.649000,0.646623,0.499480,0.774498
nonstat_decay_coupling,30,151,10->11,0.001430,0.001132,0.000465,0.005352,0.592000,0.583790,0.516468,0.648734
nonstat_decay_coupling,30,151,11->12,0.002214,0.002150,0.000488,0.005616,0.661500,0.649094,0.584168,0.709930
nonstat_decay_coupling,30,151,12->13,0.002880,0.002646,0.000518,0.005956,0.664000,0.671562,0.607929,0.730570
nonstat_decay_coupling,30,151,13->14,0.002594,0.002182,0.000549,0.006314,0.653500,0.635181,0.569579,0.697042
nonstat_decay_coupling,30,151,14->15,0.002263,0.001936,0.000569,0.006552,0.629000,0.616191,0.549812,0.679320
nonstat_decay_coupling,30,151,15->16,0.001898,0.003028,0.000594,0.006839,0.656500,0.671050,0.607384,0.730101
nonstat_decay_coupling,30,151,16->17,0.002151,0.001779,0.000621,0.007145,0.604000,0.598344,0.531387,0.662526
nonstat_decay_coupling,30,151,17->18,0.001531,0.001754,0.000639,0.007358,0.584500,0.594194,0.527124,0.658603
nonstat_decay_coupling,30,151,18->19,0.002450,0.002829,0.000658,0.007568,0.651000,0.645728,0.580631,0.706820
nonstat_decay_coupling,30,151,19->20,0.006450,0.000337,0.000670,0.007716,0.516000,0.517394,0.449592,0.584695
nonstat_decay_coupling,30,151,20->21,0.004542,0.001750,0.000689,0.007926,0.579500,0.587377,0.520137,0.652142
nonstat_decay_coupling,30,151,21->22,0.005570,0.001231,0.000703,0.008085,0.581500,0.560489,0.492780,0.626468
nonstat_decay_coupling,30,151,22->23,0.002204,0.000473,0.000708,0.008145,0.524000,0.523146,0.455311,0.590316
nonstat_decay_coupling,30,151,23->24,0.003274,0.000423,0.000716,0.008235,0.494000,0.520467,0.452645,0.587699
nonstat_decay_coupling,30,151,24->25,0.003235,0.000973,0.000720,0.008288,0.527500,0.546730,0.478905,0.613216
nonstat_decay_coupling,30,151,25->26,0.002134,-0.000075,0.000723,0.008317,0.501500,0.496412,0.428851,0.564076
nonstat_decay_coupling,30,151,26->27,-0.001065,0.000892,0.000726,0.008350,0.454500,0.457457,0.390833,0.525301
nonstat_decay_coupling,30,151,27->28,0.004219,0.001446,0.000740,0.008522,0.552000,0.567384,0.499765,0.633081
