# 09_global_fc_per_bin.py variant=ts_demean regions=115 pairs=6555 excluded_regions=20 bin_trs=30 git=66b570e-dirty
subject,condition,bin,mean_r,n_tr
0,DMT,1,0.276545,30
0,DMT,2,0.241483,30
0,DMT,3,0.397231,30
0,DMT,4,0.241954,30
0,DMT,5,0.232096,30
0,DMT,6,0.293263,30
0,DMT,7,0.380011,30
0,DMT,8,0.349656,30
0,DMT,9,0.220078,30
0,DMT,10,0.316070,30
0,DMT,11,0.325726,30
0,DMT,12,0.224407,30
0,DMT,13,0.422381,30
0,DMT,14,0.388916,30
0,DMT,15,0.366788,30
0,DMT,16,0.455316,30
0,DMT,17,0.284629,30
0,DMT,18,0.377889,30
0,DMT,19,0.406742,30
0,DMT,20,0.322348,30
0,DMT,21,0.207450,30
0,DMT,22,0.421545,30
0,DMT,23,0.318813,30
0,DMT,24,0.392721,30
0,DMT,25,0.301886,30
0,DMT,26,0.273023,30
0,DMT,27,0.276860,30
0,DMT,28,0.351049,30
0,PCB,1,0.343381,30
0,PCB,2,0.188061,30
0,PCB,3,0.382177,30
0,PCB,4,0.146471,30
0,PCB,5,0.127688,30
0,PCB,6,0.248962,30
0,PCB,7,0.245328,30
0,PCB,8,0.215533,30
0,PCB,9,0.409038,30
0,PCB,10,0.171740,30
0,PCB,11,0.095109,30
0,PCB,12,0.176791,30
0,PCB,13,0.200805,30
0,PCB,14,0.110490,30
0,PCB,15,0.173760,30
0,PCB,16,0.171038,30
0,PCB,17,0.141313,30
0,PCB,18,0.209225,30
0,PCB,19,0.138434,30
0,PCB,20,0.222314,30
0,PCB,21,0.184441,30
0,PCB,22,0.223661,30
0,PCB,23,0.205273,30
0,PCB,24,0.226025,30
0,PCB,25,0.242763,30
0,PCB,26,0.294609,30
0,PCB,27,0.260494,30
0,PCB,28,0.189862,30
1,DMT,1,0.165472,30
1,DMT,2,0.050980,30
1,DMT,3,0.065522,30
1,DMT,4,0.153562,30
1,DMT,5,0.130978,30
1,DMT,6,0.113886,30
1,DMT,7,0.239356,30
1,DMT,8,0.145403,30
1,DMT,9,0.214999,30
1,DMT,10,0.236998,30
1,DMT,11,0.044225,30
1,DMT,12,0.082323,30
1,DMT,13,0.045228,30
1,DMT,14,0.147995,30
1,DMT,15,0.163612,30
1,DMT,16,0.092042,30
1,DMT,17,0.179212,30
1,DMT,18,0.135946,30
1,DMT,19,0.091134,30
1,DMT,20,0.308084,30
1,DMT,21,0.090202,30
1,DMT,22,0.077172,30
1,DMT,23,0.131442,30
1,DMT,24,0.094598,30
1,DMT,25,0.099230,30
1,DMT,26,0.086112,30
1,DMT,27,0.132007,30
1,DMT,28,0.094037,30
1,PCB,1,0.112606,30
1,PCB,2,0.122337,30
1,PCB,3,0.104203,30
1,PCB,4,0.159553,30
1,PCB,5,0.053568,30
1,PCB,6,0.120536,30
1,PCB,7,0.113970,30
1,PCB,8,0.282444,30
1,PCB,9,0.360282,30
1,PCB,10,0.170876,30
1,PCB,11,0.140760,30
1,PCB,12,0.117600,30
1,PCB,13,0.032365,30
1,PCB,14,0.126090,30
1,PCB,15,0.111853,30
1,PCB,16,0.144424,30
1,PCB,17,0.083450,30
1,PCB,18,0.220488,30
1,PCB,19,0.319004,30
1,PCB,20,0.246894,30
1,PCB,21,0.166874,30
1,PCB,22,0.197192,30
1,PCB,23,0.083084,30
1,PCB,24,0.150806,30
1,PCB,25,0.109568,30
1,PCB,26,0.096593,30
