# script=04_logdet_correction_check.py tables_commit=18ad8b4 n_windows_empirical=500 seed=20261120 branch='W=60 uncorrected (fallback)' git=8554b3d-dirty
analytic,atom,bias_corrected,bias_plugin,change,condition,corrected_over_analytic,corrected_over_true,diff_bias_corrected,diff_bias_plugin,max_abs_dev,n_windows,section,selections_changed,true_diff,value,window
,rtr,,,,,,,,,,,constant,,,-0.018861219478655045,30
,rtx,,,,,,,,,,,constant,,,0.0,30
,rty,,,,,,,,,,,constant,,,0.0,30
,rts,,,,,,,,,,,constant,,,-0.01960031898288328,30
,xtr,,,,,,,,,,,constant,,,0.0,30
,xtx,,,,,,,,,,,constant,,,0.0,30
,xty,,,,,,,,,,,constant,,,0.0,30
,xts,,,,,,,,,,,constant,,,0.0,30
,ytr,,,,,,,,,,,constant,,,0.0,30
,ytx,,,,,,,,,,,constant,,,0.0,30
,yty,,,,,,,,,,,constant,,,0.0,30
,yts,,,,,,,,,,,constant,,,0.0,30
,str,,,,,,,,,,,constant,,,-0.01960031898288328,30
,stx,,,,,,,,,,,constant,,,0.0,30
,sty,,,,,,,,,,,constant,,,0.0,30
,sts,,,,,,,,,,,constant,,,-0.020399681017116533,30
,rtr,,,,,,,,,,,constant,,,-0.008848864743082885,60
,rtx,,,,,,,,,,,constant,,,0.0,60
,rty,,,,,,,,,,,constant,,,0.0,60
,rts,,,,,,,,,,,constant,,,-0.009008278114060131,60
,xtr,,,,,,,,,,,constant,,,0.0,60
,xtx,,,,,,,,,,,constant,,,0.0,60
,xty,,,,,,,,,,,constant,,,0.0,60
,xts,,,,,,,,,,,constant,,,0.0,60
,ytr,,,,,,,,,,,constant,,,0.0,60
,ytx,,,,,,,,,,,constant,,,0.0,60
,yty,,,,,,,,,,,constant,,,0.0,60
,yts,,,,,,,,,,,constant,,,0.0,60
,str,,,,,,,,,,,constant,,,-0.009008278114060131,60
,stx,,,,,,,,,,,constant,,,0.0,60
,sty,,,,,,,,,,,constant,,,0.0,60
,sts,,,,,,,,,,,constant,,,-0.009173540067757946,60
,rtr,,,,,,,,,,,constant,,,-0.0005977284176448272,840
,rtx,,,,,,,,,,,constant,,,0.0,840
,rty,,,,,,,,,,,constant,,,0.0,840
,rts,,,,,,,,,,,constant,,,-0.0005984438311585905,840
,xtr,,,,,,,,,,,constant,,,0.0,840
,xtx,,,,,,,,,,,constant,,,0.0,840
,xty,,,,,,,,,,,constant,,,0.0,840
,xts,,,,,,,,,,,constant,,,0.0,840
,ytr,,,,,,,,,,,constant,,,0.0,840
,ytx,,,,,,,,,,,constant,,,0.0,840
,yty,,,,,,,,,,,constant,,,0.0,840
,yts,,,,,,,,,,,constant,,,0.0,840
,str,,,,,,,,,,,constant,,,-0.0005984438311585905,840
,stx,,,,,,,,,,,constant,,,0.0,840
,sty,,,,,,,,,,,constant,,,0.0,840
,sts,,,,,,,,,,,constant,,,-0.0005991609592608249,840
0.261884,sts,-0.20298668101711653,-0.182587,,baseline,0.7751014992023817,,,,,,bias,,,,30
0.035883,rtr,-0.028216219478655047,-0.009355,,baseline,0.786339477709641,,,,,,bias,,,,30
0.261884,sts,-0.13811454006775795,-0.128941,,baseline,0.5273882332168363,,,,,,bias,,,,60
0.035883,rtr,-0.016953864743082886,-0.008105,,baseline,0.47247623507184144,,,,,,bias,,,,60
0.261884,sts,-0.029726160959260825,-0.029127,,baseline,0.1135088854579158,,,,,,bias,,,,840
0.035883,rtr,-0.004280728417644828,-0.003683,,baseline,0.11929683743401688,,,,,,bias,,,,840
