# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=f3b435d n_runs=2000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,window_index,atom,bins_covered,f_first_bin,analytic,est_mean,bias,bias_ci_lo,bias_ci_hi,est_sd
nonstat_step_ar,30,1,sts,1-1,0.000000,1.384438,0.481051,-0.903387,-0.916415,-0.890359,0.297262
nonstat_step_ar,30,2,sts,2-2,0.000000,1.384438,0.502069,-0.882369,-0.895997,-0.868741,0.310950
nonstat_step_ar,30,3,sts,3-3,0.000000,1.384438,0.489378,-0.895060,-0.908447,-0.881673,0.305458
nonstat_step_ar,30,4,sts,4-4,0.000000,1.384438,0.483311,-0.901127,-0.914219,-0.888035,0.298717
nonstat_step_ar,30,5,sts,5-5,0.000000,1.384438,0.485399,-0.899038,-0.912339,-0.885738,0.303480
nonstat_step_ar,30,6,sts,6-6,0.000000,1.384438,0.488974,-0.895464,-0.908971,-0.881957,0.308187
nonstat_step_ar,30,7,sts,7-7,0.000000,1.384438,0.487919,-0.896518,-0.909833,-0.883203,0.303809
nonstat_step_ar,30,8,sts,8-8,0.000000,1.384438,0.476905,-0.907533,-0.920608,-0.894458,0.298327
nonstat_step_ar,30,9,sts,9-9,1.000000,1.328420,0.480704,-0.847716,-0.860934,-0.834499,0.301584
nonstat_step_ar,30,10,sts,10-10,1.000000,1.328420,0.471331,-0.857089,-0.869780,-0.844399,0.289569
nonstat_step_ar,30,11,sts,11-11,1.000000,1.328420,0.474791,-0.853629,-0.866719,-0.840538,0.298683
nonstat_step_ar,30,12,sts,12-12,1.000000,1.328420,0.459138,-0.869282,-0.882157,-0.856407,0.293765
nonstat_step_ar,30,13,sts,13-13,1.000000,1.328420,0.464553,-0.863867,-0.876516,-0.851218,0.288614
nonstat_step_ar,30,14,sts,14-14,1.000000,1.328420,0.466050,-0.862371,-0.875200,-0.849541,0.292742
nonstat_step_ar,30,15,sts,15-15,1.000000,1.328420,0.474268,-0.854153,-0.866998,-0.841307,0.293103
nonstat_step_ar,30,16,sts,16-16,1.000000,1.328420,0.467721,-0.860699,-0.873494,-0.847905,0.291938
nonstat_step_ar,30,17,sts,17-17,1.000000,1.328420,0.462715,-0.865705,-0.878469,-0.852942,0.291225
nonstat_step_ar,30,18,sts,18-18,1.000000,1.328420,0.462900,-0.865520,-0.878090,-0.852949,0.286822
nonstat_step_ar,30,19,sts,19-19,1.000000,1.328420,0.466971,-0.861449,-0.874217,-0.848682,0.291314
nonstat_step_ar,30,20,sts,20-20,1.000000,1.328420,0.474996,-0.853424,-0.866120,-0.840727,0.289690
nonstat_step_ar,30,21,sts,21-21,1.000000,1.328420,0.460348,-0.868072,-0.881005,-0.855140,0.295079
nonstat_step_ar,30,22,sts,22-22,1.000000,1.328420,0.468441,-0.859979,-0.872673,-0.847286,0.289624
nonstat_step_ar,30,23,sts,23-23,1.000000,1.328420,0.465941,-0.862479,-0.875361,-0.849598,0.293919
nonstat_step_ar,30,24,sts,24-24,1.000000,1.328420,0.463558,-0.864862,-0.877741,-0.851983,0.293855
nonstat_step_ar,30,25,sts,25-25,1.000000,1.328420,0.466248,-0.862172,-0.875089,-0.849255,0.294729
nonstat_step_ar,30,26,sts,26-26,1.000000,1.328420,0.483048,-0.845372,-0.858310,-0.832435,0.295196
nonstat_step_ar,30,27,sts,27-27,1.000000,1.328420,0.467014,-0.861406,-0.874336,-0.848476,0.295026
nonstat_step_ar,30,28,sts,28-28,1.000000,1.328420,0.468568,-0.859852,-0.872671,-0.847034,0.292483
nonstat_step_ar,30,1,rtr,1-1,0.000000,0.016268,0.059778,0.043510,0.039651,0.047369,0.088052
nonstat_step_ar,30,2,rtr,2-2,0.000000,0.016268,0.059104,0.042836,0.038794,0.046879,0.092235
nonstat_step_ar,30,3,rtr,3-3,0.000000,0.016268,0.059700,0.043432,0.039515,0.047349,0.089369
nonstat_step_ar,30,4,rtr,4-4,0.000000,0.016268,0.061611,0.045344,0.041292,0.049396,0.092461
nonstat_step_ar,30,5,rtr,5-5,0.000000,0.016268,0.064265,0.047998,0.043753,0.052243,0.096856
nonstat_step_ar,30,6,rtr,6-6,0.000000,0.016268,0.059903,0.043635,0.039793,0.047478,0.087682
nonstat_step_ar,30,7,rtr,7-7,0.000000,0.016268,0.057615,0.041347,0.037572,0.045123,0.086156
nonstat_step_ar,30,8,rtr,8-8,0.000000,0.016268,0.058322,0.042054,0.038143,0.045965,0.089235
nonstat_step_ar,30,9,rtr,9-9,1.000000,0.014496,0.058171,0.043675,0.039843,0.047507,0.087430
nonstat_step_ar,30,10,rtr,10-10,1.000000,0.014496,0.059790,0.045295,0.041158,0.049431,0.094389
nonstat_step_ar,30,11,rtr,11-11,1.000000,0.014496,0.059729,0.045233,0.041384,0.049083,0.087830
nonstat_step_ar,30,12,rtr,12-12,1.000000,0.014496,0.055362,0.040867,0.037215,0.044518,0.083309
nonstat_step_ar,30,13,rtr,13-13,1.000000,0.014496,0.056203,0.041707,0.037891,0.045523,0.087077
nonstat_step_ar,30,14,rtr,14-14,1.000000,0.014496,0.058298,0.043802,0.039847,0.047757,0.090245
nonstat_step_ar,30,15,rtr,15-15,1.000000,0.014496,0.056710,0.042214,0.038413,0.046015,0.086731
nonstat_step_ar,30,16,rtr,16-16,1.000000,0.014496,0.056173,0.041677,0.037882,0.045472,0.086592
nonstat_step_ar,30,17,rtr,17-17,1.000000,0.014496,0.057709,0.043213,0.039166,0.047260,0.092346
nonstat_step_ar,30,18,rtr,18-18,1.000000,0.014496,0.063246,0.048750,0.044660,0.052840,0.093314
nonstat_step_ar,30,19,rtr,19-19,1.000000,0.014496,0.056774,0.042278,0.038422,0.046134,0.087977
nonstat_step_ar,30,20,rtr,20-20,1.000000,0.014496,0.057027,0.042531,0.038619,0.046443,0.089258
nonstat_step_ar,30,21,rtr,21-21,1.000000,0.014496,0.059301,0.044806,0.040919,0.048692,0.088683
nonstat_step_ar,30,22,rtr,22-22,1.000000,0.014496,0.057423,0.042927,0.039183,0.046671,0.085424
nonstat_step_ar,30,23,rtr,23-23,1.000000,0.014496,0.059826,0.045330,0.041544,0.049116,0.086388
nonstat_step_ar,30,24,rtr,24-24,1.000000,0.014496,0.061411,0.046915,0.042819,0.051012,0.093471
nonstat_step_ar,30,25,rtr,25-25,1.000000,0.014496,0.058736,0.044241,0.040439,0.048043,0.086753
nonstat_step_ar,30,26,rtr,26-26,1.000000,0.014496,0.055474,0.040979,0.037108,0.044849,0.088306
