# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=e01c836-dirty n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,atom,n,analytic,est_mean,bias,bias_ci_lo,bias_ci_hi,est_sd,bias_oracle_sel,sel_bias,rtr_selection_flip_frac,any_selection_flip_frac
baseline,30,sts,2000,0.261884,0.079298,-0.182587,-0.186456,-0.178717,0.088283,-0.083101,-0.099486,0.134500,0.467000
baseline,30,rtr,2000,0.035883,0.026529,-0.009355,-0.011164,-0.007545,0.041295,0.017813,-0.027167,0.134500,0.467000
baseline,60,sts,2000,0.261884,0.132944,-0.128941,-0.132873,-0.125008,0.089728,-0.041286,-0.087654,0.028000,0.152000
baseline,60,rtr,2000,0.035883,0.027778,-0.008105,-0.009516,-0.006694,0.032188,0.007851,-0.015955,0.028000,0.152000
baseline,840,sts,2000,0.261884,0.232758,-0.029127,-0.030490,-0.027763,0.031113,-0.003211,-0.025916,0.000000,0.000000
baseline,840,rtr,2000,0.035883,0.032200,-0.003683,-0.004139,-0.003227,0.010398,0.000601,-0.004284,0.000000,0.000000
shift_coupling,30,sts,2000,0.194764,0.058896,-0.135868,-0.139058,-0.132679,0.072777,-0.069914,-0.065954,0.302000,0.727000
shift_coupling,30,rtr,2000,0.223144,0.109970,-0.113174,-0.117758,-0.108590,0.104591,-0.055982,-0.057191,0.302000,0.727000
shift_coupling,60,sts,2000,0.194764,0.077951,-0.116813,-0.119981,-0.113646,0.072269,-0.033821,-0.082992,0.170000,0.566000
shift_coupling,60,rtr,2000,0.223144,0.153254,-0.069889,-0.074129,-0.065649,0.096746,-0.027263,-0.042627,0.170000,0.566000
shift_coupling,840,sts,2000,0.194764,0.158483,-0.036281,-0.037727,-0.034835,0.032992,-0.002606,-0.033675,0.000000,0.001000
shift_coupling,840,rtr,2000,0.223144,0.210103,-0.013040,-0.014424,-0.011656,0.031576,-0.003896,-0.009144,0.000000,0.001000
shift_noisecorr,30,sts,2000,0.194764,0.063857,-0.130907,-0.134044,-0.127771,0.071574,-0.058461,-0.072446,0.162000,0.640500
shift_noisecorr,30,rtr,2000,0.107588,0.066947,-0.040641,-0.043756,-0.037526,0.071071,-0.003110,-0.037531,0.162000,0.640500
shift_noisecorr,60,sts,2000,0.194764,0.096108,-0.098656,-0.101925,-0.095388,0.074574,-0.029372,-0.069284,0.051500,0.361500
shift_noisecorr,60,rtr,2000,0.107588,0.077563,-0.030025,-0.032502,-0.027547,0.056527,-0.006081,-0.023944,0.051500,0.361500
shift_noisecorr,840,sts,2000,0.194764,0.168840,-0.025925,-0.027085,-0.024765,0.026468,-0.002225,-0.023700,0.000000,0.000000
shift_noisecorr,840,rtr,2000,0.107588,0.101137,-0.006451,-0.007256,-0.005646,0.018369,0.000372,-0.006823,0.000000,0.000000
asym_baseline,30,sts,2000,0.094214,0.058793,-0.035421,-0.038758,-0.032084,0.076141,-0.036018,0.000597,0.398500,0.840000
asym_baseline,30,rtr,2000,0.013658,0.021176,0.007518,0.006102,0.008935,0.032322,0.020817,-0.013299,0.398500,0.840000
asym_baseline,60,sts,2000,0.094214,0.078599,-0.015615,-0.018842,-0.012388,0.073626,-0.022685,0.007070,0.192500,0.653500
asym_baseline,60,rtr,2000,0.013658,0.019914,0.006256,0.005093,0.007420,0.026546,0.009864,-0.003608,0.192500,0.653500
asym_baseline,840,sts,2000,0.094214,0.094214,-0.000001,-0.001234,0.001233,0.028151,-0.000327,0.000326,0.000000,0.041500
asym_baseline,840,rtr,2000,0.013658,0.014298,0.000641,0.000324,0.000957,0.007219,0.000641,0.000000,0.000000,0.041500
asym_shift_coupling,30,sts,2000,0.038026,0.031944,-0.006082,-0.008113,-0.004051,0.046339,0.001918,-0.008000,0.323500,0.716000
asym_shift_coupling,30,rtr,2000,0.085980,0.054108,-0.031872,-0.034781,-0.028964,0.066356,-0.017748,-0.014124,0.323500,0.716000
asym_shift_coupling,60,sts,2000,0.038026,0.030877,-0.007150,-0.008758,-0.005542,0.036690,-0.000548,-0.006602,0.218500,0.546000
asym_shift_coupling,60,rtr,2000,0.085980,0.067060,-0.018920,-0.021452,-0.016388,0.057780,-0.011242,-0.007677,0.218500,0.546000
asym_shift_coupling,840,sts,2000,0.038026,0.037880,-0.000147,-0.000567,0.000274,0.009598,-0.000111,-0.000035,0.000000,0.003000
asym_shift_coupling,840,rtr,2000,0.085980,0.084540,-0.001440,-0.002299,-0.000581,0.019605,-0.001440,0.000000,0.000000,0.003000
asym_shift_noisecorr,30,sts,2000,0.039612,0.040271,0.000659,-0.001546,0.002864,0.050301,-0.003354,0.004013,0.303000,0.636500
asym_shift_noisecorr,30,rtr,2000,0.046892,0.041120,-0.005772,-0.008081,-0.003464,0.052680,0.003089,-0.008861,0.303000,0.636500
asym_shift_noisecorr,60,sts,2000,0.039612,0.041166,0.001553,-0.000139,0.003246,0.038617,-0.001534,0.003087,0.141500,0.351000
asym_shift_noisecorr,60,rtr,2000,0.046892,0.044044,-0.002849,-0.004631,-0.001066,0.040675,-0.000216,-0.002633,0.141500,0.351000
asym_shift_noisecorr,840,sts,2000,0.039612,0.039268,-0.000345,-0.000776,0.000087,0.009851,-0.000345,0.000000,0.000000,0.000000
asym_shift_noisecorr,840,rtr,2000,0.046892,0.047148,0.000255,-0.000301,0.000812,0.012702,0.000255,0.000000,0.000000,0.000000
