# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=e01c836-dirty n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
shift,baseline,window,atom,true_diff,est_diff,diff_bias,diff_bias_ci_lo,diff_bias_ci_hi,diff_bias_over_true_diff,diff_bias_oracle_sel,diff_sel_bias
shift_coupling,baseline,30,sts,-0.067120,-0.020402,0.046718,0.041704,0.051733,-0.696044,0.013187,0.033532
shift_coupling,baseline,30,rtr,0.187260,0.083441,-0.103819,-0.108748,-0.098891,-0.554412,-0.073795,-0.030024
shift_coupling,baseline,60,sts,-0.067120,-0.054993,0.012127,0.007078,0.017177,-0.180681,0.007465,0.004662
shift_coupling,baseline,60,rtr,0.187260,0.125476,-0.061784,-0.066253,-0.057316,-0.329938,-0.035113,-0.026671
shift_coupling,baseline,840,sts,-0.067120,-0.074275,-0.007155,-0.009142,-0.005167,0.106596,0.000605,-0.007759
shift_coupling,baseline,840,rtr,0.187260,0.177903,-0.009357,-0.010814,-0.007900,-0.049969,-0.004498,-0.004860
shift_noisecorr,baseline,30,sts,-0.067120,-0.015441,0.051679,0.046698,0.056660,-0.769952,0.024639,0.027040
shift_noisecorr,baseline,30,rtr,0.071704,0.040418,-0.031287,-0.034889,-0.027684,-0.436328,-0.020923,-0.010364
shift_noisecorr,baseline,60,sts,-0.067120,-0.036836,0.030284,0.025171,0.035398,-0.451194,0.011914,0.018370
shift_noisecorr,baseline,60,rtr,0.071704,0.049785,-0.021920,-0.024771,-0.019069,-0.305696,-0.013932,-0.007988
shift_noisecorr,baseline,840,sts,-0.067120,-0.063918,0.003202,0.001412,0.004992,-0.047703,0.000986,0.002216
shift_noisecorr,baseline,840,rtr,0.071704,0.068937,-0.002768,-0.003693,-0.001843,-0.038598,-0.000229,-0.002539
asym_shift_coupling,asym_baseline,30,sts,-0.056188,-0.026849,0.029339,0.025432,0.033245,-0.522157,0.037936,-0.008597
asym_shift_coupling,asym_baseline,30,rtr,0.072322,0.032932,-0.039390,-0.042625,-0.036156,-0.544653,-0.038565,-0.000825
asym_shift_coupling,asym_baseline,60,sts,-0.056188,-0.047723,0.008465,0.004860,0.012070,-0.150655,0.022137,-0.013672
asym_shift_coupling,asym_baseline,60,rtr,0.072322,0.047146,-0.025176,-0.027963,-0.022389,-0.348113,-0.021107,-0.004069
asym_shift_coupling,asym_baseline,840,sts,-0.056188,-0.056334,-0.000146,-0.001450,0.001158,0.002599,0.000215,-0.000361
asym_shift_coupling,asym_baseline,840,rtr,0.072322,0.070242,-0.002080,-0.002996,-0.001165,-0.028765,-0.002080,0.000000
asym_shift_noisecorr,asym_baseline,30,sts,-0.054602,-0.018522,0.036080,0.032081,0.040080,-0.660784,0.032664,0.003416
asym_shift_noisecorr,asym_baseline,30,rtr,0.033235,0.019944,-0.013290,-0.015999,-0.010582,-0.399898,-0.017728,0.004437
asym_shift_noisecorr,asym_baseline,60,sts,-0.054602,-0.037434,0.017168,0.013525,0.020812,-0.314425,0.021151,-0.003982
asym_shift_noisecorr,asym_baseline,60,rtr,0.033235,0.024130,-0.009105,-0.011234,-0.006976,-0.273959,-0.010080,0.000975
asym_shift_noisecorr,asym_baseline,840,sts,-0.054602,-0.054946,-0.000344,-0.001651,0.000963,0.006300,-0.000018,-0.000326
asym_shift_noisecorr,asym_baseline,840,rtr,0.033235,0.032850,-0.000385,-0.001025,0.000255,-0.011587,-0.000385,0.000000
