# 11_regional_analysis.py EXPLORATORY variant=ts_demean regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_sts_vs_saved_pairmean,0.000000,,,,""
consistency,max_abs_diff_rtr_vs_saved_pairmean,0.000000,,,,""
regional_did,n_regions_fdr_significant,19.000000,,,,"BH q=0.05, p_thresh=0.00826"
regional_did,n_fdr_significant_negative,19.000000,,,,""
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_groupmean_negative_of_115,114.000000,,,,""
regional_did,min_uncorrected_p,0.000854,,,,"region LH_Default_Par_1"
regional_did,mean_over_regions_of_did,-0.103471,,,,"equals whole-brain pair-mean DiD"
regional_did,n_cortical_fdr_significant,19.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did_fdr_regions,LH_Vis_3,-0.159528,,,0.00623,"orig_index=2 net=1 neg=11/14"
regional_did_fdr_regions,LH_Vis_4,-0.133486,,,0.00562,"orig_index=3 net=1 neg=11/14"
regional_did_fdr_regions,LH_Vis_6,-0.182763,,,0.00745,"orig_index=5 net=1 neg=12/14"
regional_did_fdr_regions,LH_Vis_8,-0.122007,,,0.00806,"orig_index=7 net=1 neg=12/14"
regional_did_fdr_regions,LH_Vis_9,-0.158145,,,0.00427,"orig_index=8 net=1 neg=11/14"
regional_did_fdr_regions,LH_SomMot_4,-0.107238,,,0.00598,"orig_index=12 net=2 neg=11/14"
regional_did_fdr_regions,LH_DorsAttn_Post_2,-0.151416,,,0.00293,"orig_index=16 net=3 neg=12/14"
regional_did_fdr_regions,LH_DorsAttn_Post_4,-0.135552,,,0.00134,"orig_index=18 net=3 neg=12/14"
regional_did_fdr_regions,LH_DorsAttn_PrCv_1,-0.164079,,,0.00220,"orig_index=21 net=3 neg=12/14"
regional_did_fdr_regions,LH_DorsAttn_FEF_1,-0.162117,,,0.00317,"orig_index=22 net=3 neg=12/14"
regional_did_fdr_regions,LH_Cont_pCun_1,-0.127629,,,0.00708,"orig_index=35 net=6 neg=12/14"
regional_did_fdr_regions,LH_Default_Par_1,-0.137965,,,0.00085,"orig_index=39 net=7 neg=13/14"
regional_did_fdr_regions,LH_Default_pCunPCC_1,-0.159728,,,0.00256,"orig_index=48 net=7 neg=12/14"
regional_did_fdr_regions,RH_Vis_5,-0.123981,,,0.00562,"orig_index=54 net=1 neg=12/14"
regional_did_fdr_regions,RH_Vis_7,-0.122318,,,0.00732,"orig_index=56 net=1 neg=11/14"
regional_did_fdr_regions,RH_Vis_8,-0.144144,,,0.00159,"orig_index=57 net=1 neg=12/14"
regional_did_fdr_regions,RH_SalVentAttn_TempOccPar_2,-0.105911,,,0.00818,"orig_index=74 net=4 neg=12/14"
regional_did_fdr_regions,RH_Default_PFCv_2,-0.133180,,,0.00525,"orig_index=94 net=7 neg=12/14"
regional_did_fdr_regions,RH_Default_pCunPCC_1,-0.114772,,,0.00781,"orig_index=98 net=7 neg=12/14"
spatial_spin_cortical99,rho_5HT2A,-0.055213,,,0.67735,"two-sided spin p; Vasa one-sided-avg p=0.3603; null SD 0.128; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,-0.263040,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,0.264712,,,0.03165,"two-sided spin p; Vasa one-sided-avg p=0.0116; null SD 0.130; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,0.037915,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,-0.263488,,,0.05005,"two-sided spin p; Vasa one-sided-avg p=0.0330; null SD 0.135; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,-0.313959,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,0.181521,,,0.15955,"two-sided spin p; Vasa one-sided-avg p=0.0655; null SD 0.128; BH(5) sig=0"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,0.230624,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,0.201967,,,0.09620,"two-sided spin p; Vasa one-sided-avg p=0.0391; null SD 0.122; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,0.364949,,,,"no spatial null for subcortex"
spatial_spin_cortical99,bh_threshold_across_5_maps,0.000000,,,,""
receptor_intercorrelation,5HT2A_vs_5HT4,0.436471,,,,""
receptor_intercorrelation,5HT2A_vs_5HTT,-0.451432,,,,""
receptor_intercorrelation,5HT1A_vs_5HT2A,0.532381,,,,""
receptor_intercorrelation,5HT1A_vs_5HT1B,-0.002186,,,,""
receptor_intercorrelation,5HT1A_vs_5HT4,0.404739,,,,""
