# 11_regional_analysis.py EXPLORATORY variant=ts_gsr regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
section,name,value,ci_lo,ci_hi,p,note
consistency,max_abs_diff_sts_vs_saved_pairmean,0.000000,,,,""
consistency,max_abs_diff_rtr_vs_saved_pairmean,0.000000,,,,""
regional_did,n_regions_fdr_significant,7.000000,,,,"BH q=0.05, p_thresh=0.00304"
regional_did,n_fdr_significant_negative,7.000000,,,,""
regional_did,n_fdr_significant_positive,0.000000,,,,""
regional_did,n_groupmean_negative_of_115,114.000000,,,,""
regional_did,min_uncorrected_p,0.000244,,,,"region LH_Default_Par_1"
regional_did,mean_over_regions_of_did,-0.080081,,,,"equals whole-brain pair-mean DiD"
regional_did,n_cortical_fdr_significant,7.000000,,,,""
regional_did,n_subcortical_fdr_significant,0.000000,,,,""
regional_did_fdr_regions,LH_DorsAttn_Post_2,-0.147383,,,0.00073,"orig_index=16 net=3 neg=13/14"
regional_did_fdr_regions,LH_DorsAttn_PrCv_1,-0.143504,,,0.00269,"orig_index=21 net=3 neg=12/14"
regional_did_fdr_regions,LH_Default_Par_1,-0.168352,,,0.00024,"orig_index=39 net=7 neg=13/14"
regional_did_fdr_regions,RH_SomMot_3,-0.103882,,,0.00195,"orig_index=60 net=2 neg=12/14"
regional_did_fdr_regions,RH_SomMot_8,-0.116150,,,0.00256,"orig_index=65 net=2 neg=11/14"
regional_did_fdr_regions,RH_SalVentAttn_TempOccPar_2,-0.105710,,,0.00183,"orig_index=74 net=4 neg=13/14"
regional_did_fdr_regions,RH_Default_Temp_3,-0.152747,,,0.00085,"orig_index=92 net=7 neg=13/14"
spatial_spin_cortical99,rho_5HT2A,-0.160173,,,0.11640,"two-sided spin p; Vasa one-sided-avg p=0.0697; null SD 0.101; BH(5) sig=0"
spatial_descriptive_115,rho_5HT2A_incl_subcortex_no_p,-0.230340,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1A,0.009425,,,0.92880,"two-sided spin p; Vasa one-sided-avg p=0.4667; null SD 0.106; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1A_incl_subcortex_no_p,-0.098659,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT1B,-0.093605,,,0.35150,"two-sided spin p; Vasa one-sided-avg p=0.1845; null SD 0.100; BH(5) sig=0"
spatial_descriptive_115,rho_5HT1B_incl_subcortex_no_p,-0.143644,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HT4,-0.083599,,,0.42205,"two-sided spin p; Vasa one-sided-avg p=0.2279; null SD 0.104; BH(5) sig=0"
spatial_descriptive_115,rho_5HT4_incl_subcortex_no_p,0.007883,,,,"no spatial null for subcortex"
spatial_spin_cortical99,rho_5HTT,0.104329,,,0.32435,"two-sided spin p; Vasa one-sided-avg p=0.1448; null SD 0.103; BH(5) sig=0"
spatial_descriptive_115,rho_5HTT_incl_subcortex_no_p,0.195652,,,,"no spatial null for subcortex"
spatial_spin_cortical99,bh_threshold_across_5_maps,0.000000,,,,""
receptor_intercorrelation,5HT2A_vs_5HT4,0.436471,,,,""
receptor_intercorrelation,5HT2A_vs_5HTT,-0.451432,,,,""
receptor_intercorrelation,5HT1A_vs_5HT2A,0.532381,,,,""
receptor_intercorrelation,5HT1A_vs_5HT1B,-0.002186,,,,""
receptor_intercorrelation,5HT1A_vs_5HT4,0.404739,,,,""
receptor_intercorrelation,5HT1A_vs_5HTT,-0.099771,,,,""
receptor_intercorrelation,5HT1B_vs_5HT2A,0.528462,,,,""
receptor_intercorrelation,5HT1B_vs_5HT4,0.056111,,,,""
receptor_intercorrelation,5HT1B_vs_5HTT,-0.364278,,,,""
receptor_intercorrelation,5HT4_vs_5HTT,0.068232,,,,""
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws,-0.009457,-0.023026,0.004951,0.21558,"n_ws=37 n_non=62 neg=9/14"
workspace_primary_Default+Cont,workspace_mean_did_vs_noncortex_ws,-0.088519,-0.145731,-0.032899,0.00781,""
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws,-0.079061,-0.129901,-0.028992,0.00830,""
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,-0.018872,-0.035561,-0.001229,0.05957,"n=24 neg=10/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,0.007924,-0.012836,0.028503,0.47351,"n=13 neg=5/14"
workspace_primary_Default+Cont,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.012440,-0.026404,0.002402,0.13000,"n_ws=37 n_non=78 neg=10/14"
