# 11_regional_analysis.py EXPLORATORY variant=ts_demean regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_neg_of_14
0,LH_Vis_1,1,-0.171601,0.210154,0.01135,0,12
1,LH_Vis_2,1,-0.114951,0.195905,0.03137,0,11
2,LH_Vis_3,1,-0.159528,0.193069,0.00623,1,11
3,LH_Vis_4,1,-0.133486,0.169196,0.00562,1,11
4,LH_Vis_5,1,-0.114460,0.143362,0.01404,0,11
5,LH_Vis_6,1,-0.182763,0.204266,0.00745,1,12
6,LH_Vis_7,1,-0.081012,0.186595,0.12854,0,9
7,LH_Vis_8,1,-0.122007,0.140607,0.00806,1,12
8,LH_Vis_9,1,-0.158145,0.175718,0.00427,1,11
9,LH_SomMot_1,2,-0.074555,0.174297,0.13391,0,10
10,LH_SomMot_2,2,-0.031434,0.202981,0.57275,0,8
11,LH_SomMot_3,2,-0.036431,0.176506,0.45789,0,8
12,LH_SomMot_4,2,-0.107238,0.128656,0.00598,1,11
13,LH_SomMot_5,2,-0.103158,0.184005,0.05664,0,9
14,LH_SomMot_6,2,-0.067751,0.164773,0.14795,0,10
15,LH_DorsAttn_Post_1,3,-0.113151,0.155351,0.01990,0,11
16,LH_DorsAttn_Post_2,3,-0.151416,0.146105,0.00293,1,12
17,LH_DorsAttn_Post_3,3,-0.128895,0.176578,0.01282,0,11
18,LH_DorsAttn_Post_4,3,-0.135552,0.134884,0.00134,1,12
19,LH_DorsAttn_Post_5,3,-0.124563,0.193426,0.03406,0,10
21,LH_DorsAttn_PrCv_1,3,-0.164079,0.147369,0.00220,1,12
22,LH_DorsAttn_FEF_1,3,-0.162117,0.162163,0.00317,1,12
23,LH_SalVentAttn_ParOper_1,4,-0.114682,0.149127,0.01587,0,10
24,LH_SalVentAttn_FrOperIns_1,4,-0.041585,0.185463,0.42603,0,9
25,LH_SalVentAttn_FrOperIns_2,4,-0.085973,0.218665,0.16492,0,10
26,LH_SalVentAttn_PFCl_1,4,-0.127799,0.213269,0.04529,0,11
27,LH_SalVentAttn_Med_1,4,-0.108986,0.189097,0.05164,0,9
28,LH_SalVentAttn_Med_2,4,-0.089114,0.218094,0.15161,0,9
29,LH_SalVentAttn_Med_3,4,-0.083920,0.216536,0.17285,0,11
30,LH_Limbic_OFC_1,5,-0.057958,0.147480,0.16357,0,9
31,LH_Limbic_TempPole_1,5,-0.023752,0.221321,0.68982,0,9
32,LH_Limbic_TempPole_2,5,-0.053444,0.179856,0.28210,0,7
33,LH_Cont_Par_1,6,-0.104939,0.175722,0.04492,0,10
34,LH_Cont_PFCl_1,6,-0.138414,0.165497,0.01025,0,12
35,LH_Cont_pCun_1,6,-0.127629,0.149549,0.00708,1,12
36,LH_Cont_Cing_1,6,-0.100643,0.158999,0.03674,0,11
37,LH_Default_Temp_1,7,-0.101759,0.158063,0.03430,0,10
38,LH_Default_Temp_2,7,-0.117662,0.169990,0.02490,0,11
39,LH_Default_Par_1,7,-0.137965,0.096145,0.00085,1,13
40,LH_Default_Par_2,7,-0.078709,0.198071,0.16187,0,10
41,LH_Default_PFC_1,7,-0.154952,0.274922,0.05713,0,10
42,LH_Default_PFC_2,7,-0.148872,0.204761,0.01880,0,11
43,LH_Default_PFC_3,7,-0.094262,0.162026,0.05017,0,10
44,LH_Default_PFC_4,7,-0.093536,0.165623,0.05640,0,10
45,LH_Default_PFC_5,7,-0.117488,0.147696,0.01379,0,11
46,LH_Default_PFC_6,7,-0.087566,0.149223,0.04993,0,10
47,LH_Default_PFC_7,7,-0.133836,0.207837,0.03369,0,9
48,LH_Default_pCunPCC_1,7,-0.159728,0.163079,0.00256,1,12
49,LH_Default_pCunPCC_2,7,-0.107083,0.160550,0.02771,0,12
50,RH_Vis_1,1,-0.100589,0.140938,0.02197,0,12
51,RH_Vis_2,1,-0.125769,0.169264,0.01343,0,12
52,RH_Vis_3,1,-0.135827,0.195103,0.01978,0,11
53,RH_Vis_4,1,-0.113153,0.193261,0.04688,0,11
54,RH_Vis_5,1,-0.123981,0.133442,0.00562,1,12
55,RH_Vis_6,1,-0.135291,0.197864,0.02698,0,10
56,RH_Vis_7,1,-0.122318,0.143263,0.00732,1,11
57,RH_Vis_8,1,-0.144144,0.129735,0.00159,1,12
58,RH_SomMot_1,2,-0.099359,0.163281,0.04346,0,10
59,RH_SomMot_2,2,-0.004505,0.190586,0.93005,0,7
60,RH_SomMot_3,2,-0.083475,0.150009,0.05737,0,10
61,RH_SomMot_4,2,-0.106740,0.150787,0.02087,0,11
62,RH_SomMot_5,2,-0.081560,0.162957,0.08240,0,9
63,RH_SomMot_6,2,-0.077231,0.148499,0.07544,0,9
64,RH_SomMot_7,2,-0.069305,0.173534,0.15771,0,9
65,RH_SomMot_8,2,-0.101284,0.189672,0.06763,0,10
66,RH_DorsAttn_Post_1,3,-0.111402,0.231133,0.09644,0,10
67,RH_DorsAttn_Post_2,3,-0.094556,0.159163,0.04761,0,10
68,RH_DorsAttn_Post_3,3,-0.135776,0.175430,0.01501,0,10
69,RH_DorsAttn_Post_4,3,-0.153951,0.189287,0.01001,0,11
70,RH_DorsAttn_Post_5,3,-0.112460,0.149070,0.01343,0,12
71,RH_DorsAttn_PrCv_1,3,-0.131537,0.234637,0.04565,0,9
72,RH_DorsAttn_FEF_1,3,-0.134147,0.183743,0.01855,0,10
73,RH_SalVentAttn_TempOccPar_1,4,-0.131989,0.167491,0.01404,0,10
74,RH_SalVentAttn_TempOccPar_2,4,-0.105911,0.132329,0.00818,1,12
75,RH_SalVentAttn_FrOperIns_1,4,-0.125402,0.194476,0.02869,0,11
76,RH_SalVentAttn_Med_1,4,-0.059682,0.169309,0.21521,0,9
77,RH_SalVentAttn_Med_2,4,-0.097286,0.263738,0.20178,0,8
78,RH_Limbic_OFC_1,5,-0.102419,0.174667,0.04736,0,10
