# 11_regional_analysis.py EXPLORATORY variant=ts_gsr regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_neg_of_14
0,LH_Vis_1,1,-0.128329,0.219173,0.04810,0,11
1,LH_Vis_2,1,-0.076962,0.160344,0.09192,0,11
2,LH_Vis_3,1,-0.050961,0.237483,0.43518,0,8
3,LH_Vis_4,1,-0.096652,0.139314,0.02356,0,12
4,LH_Vis_5,1,-0.114449,0.175031,0.03259,0,11
5,LH_Vis_6,1,-0.123895,0.144654,0.00659,0,12
6,LH_Vis_7,1,-0.064951,0.140405,0.10828,0,11
7,LH_Vis_8,1,-0.072894,0.112640,0.03333,0,11
8,LH_Vis_9,1,-0.085283,0.105662,0.01172,0,12
9,LH_SomMot_1,2,-0.063010,0.135048,0.10535,0,11
10,LH_SomMot_2,2,-0.010130,0.265725,0.88904,0,6
11,LH_SomMot_3,2,-0.048899,0.161173,0.30066,0,9
12,LH_SomMot_4,2,-0.083167,0.131664,0.03491,0,10
13,LH_SomMot_5,2,-0.100031,0.129708,0.01343,0,11
14,LH_SomMot_6,2,-0.076354,0.110212,0.01562,0,10
15,LH_DorsAttn_Post_1,3,-0.103066,0.129364,0.01184,0,11
16,LH_DorsAttn_Post_2,3,-0.147383,0.111775,0.00073,1,13
17,LH_DorsAttn_Post_3,3,-0.078228,0.140118,0.05212,0,10
18,LH_DorsAttn_Post_4,3,-0.095981,0.130766,0.01392,0,12
19,LH_DorsAttn_Post_5,3,-0.112829,0.176680,0.03223,0,10
21,LH_DorsAttn_PrCv_1,3,-0.143504,0.144264,0.00269,1,12
22,LH_DorsAttn_FEF_1,3,-0.097580,0.157830,0.04041,0,11
23,LH_SalVentAttn_ParOper_1,4,-0.085842,0.139985,0.04175,0,11
24,LH_SalVentAttn_FrOperIns_1,4,-0.043272,0.113595,0.17700,0,10
25,LH_SalVentAttn_FrOperIns_2,4,-0.077896,0.188400,0.14478,0,10
26,LH_SalVentAttn_PFCl_1,4,-0.085880,0.179332,0.09741,0,10
27,LH_SalVentAttn_Med_1,4,-0.071392,0.163169,0.12598,0,10
28,LH_SalVentAttn_Med_2,4,-0.086381,0.194365,0.12073,0,7
29,LH_SalVentAttn_Med_3,4,-0.026893,0.185104,0.60852,0,8
30,LH_Limbic_OFC_1,5,-0.008009,0.139083,0.83459,0,6
31,LH_Limbic_TempPole_1,5,-0.002914,0.209863,0.96228,0,8
32,LH_Limbic_TempPole_2,5,-0.058422,0.164767,0.21204,0,8
33,LH_Cont_Par_1,6,-0.070597,0.117470,0.04150,0,12
34,LH_Cont_PFCl_1,6,-0.080144,0.137309,0.04004,0,11
35,LH_Cont_pCun_1,6,-0.115364,0.126642,0.00476,0,11
36,LH_Cont_Cing_1,6,-0.057573,0.146366,0.16504,0,10
37,LH_Default_Temp_1,7,-0.128485,0.165563,0.01306,0,11
38,LH_Default_Temp_2,7,-0.141128,0.190349,0.01660,0,12
39,LH_Default_Par_1,7,-0.168352,0.097995,0.00024,1,13
40,LH_Default_Par_2,7,-0.071481,0.164163,0.13000,0,11
41,LH_Default_PFC_1,7,-0.127691,0.230425,0.06067,0,10
42,LH_Default_PFC_2,7,-0.104013,0.204189,0.07971,0,10
43,LH_Default_PFC_3,7,-0.081174,0.128504,0.03040,0,9
44,LH_Default_PFC_4,7,-0.088765,0.108713,0.00891,0,13
45,LH_Default_PFC_5,7,-0.081094,0.126974,0.03113,0,11
46,LH_Default_PFC_6,7,-0.053040,0.129615,0.15051,0,9
47,LH_Default_PFC_7,7,-0.065749,0.193504,0.22632,0,9
48,LH_Default_pCunPCC_1,7,-0.132305,0.164304,0.00623,0,11
49,LH_Default_pCunPCC_2,7,-0.084047,0.128697,0.01636,0,12
50,RH_Vis_1,1,-0.070134,0.146523,0.09607,0,10
51,RH_Vis_2,1,-0.059032,0.088416,0.02539,0,11
52,RH_Vis_3,1,-0.109288,0.156010,0.02332,0,11
53,RH_Vis_4,1,-0.106517,0.207651,0.07739,0,11
54,RH_Vis_5,1,-0.088457,0.134840,0.03052,0,11
55,RH_Vis_6,1,-0.078037,0.131067,0.04419,0,12
56,RH_Vis_7,1,-0.075766,0.090400,0.00806,0,11
57,RH_Vis_8,1,-0.081006,0.138893,0.05139,0,10
58,RH_SomMot_1,2,-0.080801,0.159594,0.08289,0,10
59,RH_SomMot_2,2,-0.026204,0.145811,0.55518,0,7
60,RH_SomMot_3,2,-0.103882,0.138432,0.00195,1,12
61,RH_SomMot_4,2,-0.062761,0.142165,0.12354,0,9
62,RH_SomMot_5,2,-0.063213,0.128513,0.08276,0,9
63,RH_SomMot_6,2,-0.069611,0.117950,0.04163,0,11
64,RH_SomMot_7,2,-0.035536,0.125119,0.30737,0,11
65,RH_SomMot_8,2,-0.116150,0.110084,0.00256,1,11
66,RH_DorsAttn_Post_1,3,-0.080487,0.160969,0.08459,0,10
67,RH_DorsAttn_Post_2,3,-0.081956,0.108730,0.00903,0,11
68,RH_DorsAttn_Post_3,3,-0.070555,0.139691,0.07654,0,9
69,RH_DorsAttn_Post_4,3,-0.096298,0.128885,0.01672,0,13
70,RH_DorsAttn_Post_5,3,-0.100670,0.172087,0.01733,0,12
71,RH_DorsAttn_PrCv_1,3,-0.092130,0.237361,0.17603,0,10
72,RH_DorsAttn_FEF_1,3,-0.105486,0.168544,0.03711,0,10
73,RH_SalVentAttn_TempOccPar_1,4,-0.114710,0.129016,0.00659,0,11
74,RH_SalVentAttn_TempOccPar_2,4,-0.105710,0.128218,0.00183,1,13
75,RH_SalVentAttn_FrOperIns_1,4,-0.095646,0.169893,0.04919,0,9
76,RH_SalVentAttn_Med_1,4,-0.061864,0.206786,0.28284,0,8
77,RH_SalVentAttn_Med_2,4,-0.054678,0.221326,0.39111,0,7
78,RH_Limbic_OFC_1,5,-0.073540,0.161239,0.07898,0,11
79,RH_Limbic_TempPole_1,5,-0.020244,0.142992,0.59875,0,8
80,RH_Cont_Par_1,6,-0.076617,0.129868,0.03845,0,11
81,RH_Cont_Par_2,6,-0.088213,0.168759,0.05908,0,12
82,RH_Cont_PFCl_1,6,-0.066080,0.133267,0.08484,0,10
83,RH_Cont_PFCl_2,6,-0.021842,0.155861,0.62683,0,10
84,RH_Cont_PFCl_3,6,-0.114227,0.137277,0.00647,0,12
85,RH_Cont_PFCl_4,6,-0.070927,0.139264,0.06384,0,10
86,RH_Cont_Cing_1,6,-0.024596,0.165050,0.59705,0,8
87,RH_Cont_PFCmp_1,6,-0.057070,0.190377,0.28320,0,8
88,RH_Cont_pCun_1,6,-0.081533,0.112769,0.02026,0,11
89,RH_Default_Par_1,7,-0.069363,0.131359,0.06238,0,12
90,RH_Default_Temp_1,7,-0.103104,0.253789,0.15125,0,10
91,RH_Default_Temp_2,7,-0.093540,0.130980,0.01587,0,10
92,RH_Default_Temp_3,7,-0.152747,0.119979,0.00085,1,13
93,RH_Default_PFCv_1,7,-0.076623,0.189500,0.15576,0,10
94,RH_Default_PFCv_2,7,-0.104495,0.148477,0.01025,0,11
95,RH_Default_PFCdPFCm_1,7,-0.102378,0.138936,0.01257,0,11
96,RH_Default_PFCdPFCm_2,7,-0.088702,0.138718,0.02710,0,11
97,RH_Default_PFCdPFCm_3,7,-0.064351,0.144442,0.11804,0,10
98,RH_Default_pCunPCC_1,7,-0.081178,0.109869,0.01770,0,11
99,RH_Default_pCunPCC_2,7,-0.086598,0.116859,0.01001,0,11
100,SUB_1,8,-0.084766,0.161209,0.05957,0,11
101,SUB_2,8,-0.105405,0.176822,0.04553,0,11
102,SUB_3,8,-0.064702,0.221846,0.28467,0,10
103,SUB_4,8,-0.127801,0.267706,0.09875,0,10
104,SUB_5,8,0.027754,0.150347,0.49524,0,7
105,SUB_6,8,-0.050453,0.225765,0.42749,0,8
106,SUB_7,8,-0.074747,0.195741,0.17639,0,8
107,SUB_8,8,-0.042122,0.169494,0.36731,0,7
108,SUB_9,8,-0.077614,0.151784,0.07935,0,9
109,SUB_10,8,-0.069419,0.213603,0.26001,0,8
110,SUB_11,8,-0.041250,0.192629,0.42920,0,9
111,SUB_12,8,-0.054275,0.183188,0.28796,0,8
112,SUB_13,8,-0.093728,0.170495,0.05298,0,10
113,SUB_14,8,-0.104958,0.196127,0.06433,0,11
114,SUB_15,8,-0.009438,0.200596,0.85999,0,8
115,SUB_16,8,-0.059402,0.168544,0.20593,0,10
