# script=08_robustness_c_analysis.py variant=ts_gsr placebo_fit_trs=420 pre_bins=1-8 post_primary=11-28 post_sensitivity=9-28 matched_bins=15-28 n_boot=10000 seed=20261120 placebo_file=atoms_bins_115regions-all_ts_gsr_placebo.npy global_file=atoms_bins_115regions-all_ts_gsr_global.npy git=2af901c
estimator,contrast,atom,level_a,level_b,label_a,label_b,diff_mean,ci_lo,ci_hi,p_signflip,n_negative,diff_over_level_b
placebo-fitted,"(i) within-DMT step, primary (bins 11-28)",sts,1.3041390615951045,1.3549088336359476,DMT post,DMT pre,-0.05076977204084294,-0.10469015294546627,0.013748360414200047,0.1337890625,11,-0.03747098755316281
placebo-fitted,"(i) within-DMT step, primary (bins 11-28)",rtr,0.014764675419988901,0.018127265325503517,DMT post,DMT pre,-0.0033625899055146195,-0.007488327312082814,0.0005105610094493442,0.1358642578125,9,-0.18549901737156912
placebo-fitted,"(i) within-DMT step, primary (bins 11-28)",total,1.3578239423982263,1.4082842971835439,DMT post,DMT pre,-0.050460354785317775,-0.11031515219620466,0.019845937981755536,0.174072265625,11,-0.035831085304461927
placebo-fitted,"(i) within-DMT step, sensitivity (bins 9-28)",sts,1.3071936655285548,1.3549088336359476,DMT post,DMT pre,-0.04771516810739275,-0.10014240783495393,0.014823139485202998,0.146728515625,11,-0.035216515622934826
placebo-fitted,"(i) within-DMT step, sensitivity (bins 9-28)",rtr,0.014316355115565735,0.018127265325503517,DMT post,DMT pre,-0.003810910209937783,-0.007884959772024745,0.00011118969847191324,0.097412109375,9,-0.21023083964993647
placebo-fitted,"(i) within-DMT step, sensitivity (bins 9-28)",total,1.357977091557829,1.4082842971835439,DMT post,DMT pre,-0.05030720562571489,-0.10865980815314501,0.01922433422648521,0.1683349609375,11,-0.03572233655258763
placebo-fitted,"(ii) DMT minus PCB, bins 15-28",sts,1.3213041482435897,1.432315467579115,DMT,PCB,-0.111011319335525,-0.18029574023183734,-0.05926822781286523,0.00048828125,13,-0.07750479684699293
placebo-fitted,"(ii) DMT minus PCB, bins 15-28",rtr,0.015503144985398863,0.012675695912595436,DMT,PCB,0.0028274490728034266,-0.0020079177346498975,0.007460631553943828,0.278076171875,7,0.22306065815241594
placebo-fitted,"(ii) DMT minus PCB, bins 15-28",total,1.3738398537533858,1.4555607157808028,DMT,PCB,-0.08172086202741666,-0.14383201764955794,-0.03317916643688502,0.0030517578125,13,-0.05614390464198488
"global (native fit, same bins)","(i) within-DMT step, primary (bins 11-28)",sts,1.2563966460040528,1.3085170237102626,DMT post,DMT pre,-0.05212037770620971,-0.09469155888342497,-0.006807751997207566,0.0450439453125,11,-0.03983163899421337
"global (native fit, same bins)","(i) within-DMT step, primary (bins 11-28)",rtr,0.018646206131269046,0.02479752865060974,DMT post,DMT pre,-0.006151322519340694,-0.012186889914052678,-0.00012152558944888196,0.0751953125,9,-0.248061918024619
"global (native fit, same bins)","(i) within-DMT step, primary (bins 11-28)",total,1.3569268334164317,1.4421155390020064,DMT post,DMT pre,-0.08518870558557479,-0.1460643830568288,-0.02206852263536656,0.0247802734375,11,-0.05907203915473257
"global (native fit, same bins)","(i) within-DMT step, sensitivity (bins 9-28)",sts,1.2570028782351885,1.3085170237102626,DMT post,DMT pre,-0.051514145475074,-0.0937445715795268,-0.006091655377364879,0.045166015625,11,-0.0393683418263884
"global (native fit, same bins)","(i) within-DMT step, sensitivity (bins 9-28)",rtr,0.01847084410273968,0.02479752865060974,DMT post,DMT pre,-0.006326684547870057,-0.012135226094037315,-0.000328129566065723,0.065673828125,9,-0.2551336722707846
"global (native fit, same bins)","(i) within-DMT step, sensitivity (bins 9-28)",total,1.3567982362375557,1.4421155390020064,DMT post,DMT pre,-0.08531730276445071,-0.14429242715261711,-0.023411374123944045,0.0235595703125,11,-0.05916121174555349
"global (native fit, same bins)","(ii) DMT minus PCB, bins 15-28",sts,1.2695571904949623,1.3232022651325566,DMT,PCB,-0.053645074637594284,-0.09408093971910284,-0.024061470035763862,0.0009765625,12,-0.04054185520323319
"global (native fit, same bins)","(ii) DMT minus PCB, bins 15-28",rtr,0.019864441223563904,0.022225981763918812,DMT,PCB,-0.002361540540354908,-0.006850030181921463,0.0022427276844555976,0.3341064453125,9,-0.10625134877904845
"global (native fit, same bins)","(ii) DMT minus PCB, bins 15-28",total,1.3740967396873234,1.4488674007120712,DMT,PCB,-0.07477066102474797,-0.12426492970648623,-0.03363618100346595,0.00244140625,13,-0.051606282940730545
