tables: 18ad8b4
  # script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=e01c836-dirty n_runs=2000 n_boot=2000 m_decide=1338/742 threshold=0.8
nonstat_decay_coupling     W=60 M=1338 prereg  windows  5-14 ( 9 pairs): S_analytic 0.807 [0.677, 0.936] pass straddles | R 0.976 [0.939, 1.000] pass  [criterion table: S_analytic 0.807 [0.677, 0.936], R_boot 0.975 [0.939, 0.988]]
nonstat_decay_coupling     W=60 M=1338 primary windows  6-14 ( 8 pairs): S_analytic 0.788 [0.695, 0.928] FAIL straddles | R 0.967 [0.917, 0.983] pass
nonstat_decay_coupling     W=60 M= 742 prereg  windows  5-14 ( 9 pairs): S_analytic 0.808 [0.651, 0.924] pass straddles | R 0.976 [0.915, 1.000] pass  [criterion table: S_analytic 0.808 [0.651, 0.924], R_boot 0.970 [0.915, 1.000]]
nonstat_decay_coupling     W=60 M= 742 primary windows  6-14 ( 8 pairs): S_analytic 0.797 [0.667, 0.916] FAIL straddles | R 0.967 [0.883, 1.000] pass
nonstat_decay_coupling     W=60 M= 151 prereg  windows  5-14 ( 9 pairs): S_analytic 0.740 [0.583, 0.857] FAIL straddles | R 0.976 [0.818, 0.988] pass  [criterion table: S_analytic 0.740 [0.583, 0.857], R_boot 0.934 [0.830, 0.988]]
nonstat_decay_coupling     W=60 M= 151 primary windows  6-14 ( 8 pairs): S_analytic 0.743 [0.592, 0.856] FAIL straddles | R 0.967 [0.783, 1.000] pass straddles
nonstat_decay_coupling     W=30 M=1338 prereg  windows 10-28 (18 pairs): S_analytic 0.732 [0.281, 0.946] FAIL straddles | R 0.970 [0.907, 0.981] pass  [criterion table: S_analytic 0.732 [0.281, 0.946], R_boot 0.950 [0.904, 0.982]]
nonstat_decay_coupling     W=30 M=1338 primary windows 11-28 (17 pairs): S_analytic 0.737 [0.291, 0.944] FAIL straddles | R 0.965 [0.889, 0.979] pass
nonstat_decay_coupling     W=30 M= 742 prereg  windows 10-28 (18 pairs): S_analytic 0.693 [0.313, 0.921] FAIL straddles | R 0.970 [0.868, 0.977] pass  [criterion table: S_analytic 0.693 [0.313, 0.921], R_boot 0.932 [0.870, 0.975]]
nonstat_decay_coupling     W=30 M= 742 primary windows 11-28 (17 pairs): S_analytic 0.698 [0.321, 0.920] FAIL straddles | R 0.965 [0.849, 0.973] pass
nonstat_decay_coupling     W=30 M= 151 prereg  windows 10-28 (18 pairs): S_analytic 0.600 [0.397, 0.777] FAIL | R 0.970 [0.670, 0.933] pass straddles  [criterion table: S_analytic 0.600 [0.397, 0.777], R_boot 0.826 [0.672, 0.932]]
nonstat_decay_coupling     W=30 M= 151 primary windows 11-28 (17 pairs): S_analytic 0.603 [0.400, 0.779] FAIL | R 0.965 [0.612, 0.922] pass straddles
nonstat_decay_noisecorr    W=60 M=1338 prereg  windows  5-14 ( 9 pairs): S_analytic 0.848 [0.493, 0.977] pass straddles | R 0.988 [0.903, 1.000] pass  [criterion table: S_analytic 0.848 [0.493, 0.977], R_boot 0.967 [0.903, 1.000]]
nonstat_decay_noisecorr    W=60 M=1338 primary windows  6-14 ( 8 pairs): S_analytic 0.834 [0.486, 0.974] pass straddles | R 0.983 [0.883, 1.000] pass
nonstat_decay_noisecorr    W=60 M= 742 prereg  windows  5-14 ( 9 pairs): S_analytic 0.812 [0.493, 0.960] pass straddles | R 0.988 [0.867, 1.000] pass  [criterion table: S_analytic 0.812 [0.493, 0.960], R_boot 0.953 [0.867, 1.000]]
nonstat_decay_noisecorr    W=60 M= 742 primary windows  6-14 ( 8 pairs): S_analytic 0.801 [0.487, 0.956] pass straddles | R 0.983 [0.817, 1.000] pass
nonstat_decay_noisecorr    W=60 M= 151 prereg  windows  5-14 ( 9 pairs): S_analytic 0.687 [0.494, 0.839] FAIL straddles | R 0.988 [0.733, 0.988] pass straddles  [criterion table: S_analytic 0.687 [0.494, 0.839], R_boot 0.892 [0.733, 0.988]]
nonstat_decay_noisecorr    W=60 M= 151 primary windows  6-14 ( 8 pairs): S_analytic 0.683 [0.491, 0.835] FAIL straddles | R 0.983 [0.617, 0.983] pass straddles
nonstat_decay_noisecorr    W=30 M=1338 prereg  windows 10-28 (18 pairs): S_analytic 0.562 [0.135, 0.925] FAIL straddles | R 0.904 [0.695, 0.923] pass straddles  [criterion table: S_analytic 0.562 [0.135, 0.925], R_boot 0.832 [0.704, 0.925]]
nonstat_decay_noisecorr    W=30 M=1338 primary windows 11-28 (17 pairs): S_analytic 0.559 [0.137, 0.923] FAIL straddles | R 0.886 [0.659, 0.922] pass straddles
nonstat_decay_noisecorr    W=30 M= 742 prereg  windows 10-28 (18 pairs): S_analytic 0.552 [0.183, 0.879] FAIL straddles | R 0.904 [0.614, 0.912] pass straddles  [criterion table: S_analytic 0.552 [0.183, 0.879], R_boot 0.789 [0.632, 0.911]]
nonstat_decay_noisecorr    W=30 M= 742 primary windows 11-28 (17 pairs): S_analytic 0.550 [0.184, 0.877] FAIL straddles | R 0.886 [0.560, 0.901] pass straddles
nonstat_decay_noisecorr    W=30 M= 151 prereg  windows 10-28 (18 pairs): S_analytic 0.526 [0.324, 0.722] FAIL | R 0.904 [0.221, 0.805] pass straddles  [criterion table: S_analytic 0.526 [0.324, 0.722], R_boot 0.563 [0.219, 0.805]]
nonstat_decay_noisecorr    W=30 M= 151 primary windows 11-28 (17 pairs): S_analytic 0.526 [0.324, 0.721] FAIL | R 0.886 [0.158, 0.796] pass
wrote results/tier_check_decay_windows_n2000_18ad8b4.csv
