# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=18ad8b4
subject,condition,bin,synergy_mean
0,DMT,0,1.224937
0,DMT,1,1.240128
0,DMT,2,1.196755
0,DMT,3,1.229961
0,DMT,4,1.299950
0,DMT,5,1.231931
0,DMT,6,1.239770
0,DMT,7,1.332623
0,DMT,8,1.275225
0,DMT,9,1.222489
0,DMT,10,1.133392
0,DMT,11,1.192016
0,DMT,12,1.184355
0,DMT,13,1.288400
0,DMT,14,1.226817
0,DMT,15,1.170160
0,DMT,16,1.163039
0,DMT,17,1.173797
0,DMT,18,1.218947
0,DMT,19,1.354544
0,DMT,20,1.263761
0,DMT,21,1.260925
0,DMT,22,1.278725
0,DMT,23,1.171410
0,DMT,24,1.181025
0,DMT,25,1.241086
0,DMT,26,1.301596
0,DMT,27,1.235016
0,PCB,0,1.216118
0,PCB,1,1.258928
0,PCB,2,1.121939
0,PCB,3,1.254637
0,PCB,4,1.286266
0,PCB,5,1.211221
0,PCB,6,1.260988
0,PCB,7,1.219725
0,PCB,8,1.354345
0,PCB,9,1.213394
0,PCB,10,1.322459
0,PCB,11,1.192558
0,PCB,12,1.293703
0,PCB,13,1.152517
0,PCB,14,1.281894
0,PCB,15,1.298283
0,PCB,16,1.275938
0,PCB,17,1.144257
0,PCB,18,1.212665
0,PCB,19,1.323590
0,PCB,20,1.366379
0,PCB,21,1.425071
0,PCB,22,1.397515
0,PCB,23,1.346378
0,PCB,24,1.419765
0,PCB,25,1.427748
0,PCB,26,1.040471
0,PCB,27,1.207525
1,DMT,0,1.446044
1,DMT,1,1.190055
1,DMT,2,1.205921
1,DMT,3,1.249016
1,DMT,4,1.125396
1,DMT,5,1.256638
1,DMT,6,1.140299
1,DMT,7,1.252916
1,DMT,8,1.365871
1,DMT,9,1.210520
1,DMT,10,1.139948
1,DMT,11,1.152196
1,DMT,12,1.211000
1,DMT,13,1.203810
1,DMT,14,1.234833
1,DMT,15,1.150381
1,DMT,16,1.136652
1,DMT,17,1.130078
1,DMT,18,1.294757
1,DMT,19,1.309179
1,DMT,20,1.234989
1,DMT,21,1.300922
1,DMT,22,1.217710
1,DMT,23,1.332063
1,DMT,24,1.466168
1,DMT,25,1.244653
1,DMT,26,1.606443
1,DMT,27,1.256771
1,PCB,0,1.379424
1,PCB,1,1.165726
1,PCB,2,1.198369
1,PCB,3,1.232051
1,PCB,4,1.272525
1,PCB,5,1.219982
1,PCB,6,1.330571
1,PCB,7,1.291054
1,PCB,8,1.265758
1,PCB,9,1.179713
1,PCB,10,1.377593
1,PCB,11,1.472446
1,PCB,12,1.263883
1,PCB,13,1.291988
1,PCB,14,1.281955
1,PCB,15,1.306734
1,PCB,16,1.339036
1,PCB,17,1.385132
1,PCB,18,1.308021
1,PCB,19,1.354558
1,PCB,20,1.300400
1,PCB,21,1.384933
1,PCB,22,1.324860
1,PCB,23,1.436483
1,PCB,24,1.247504
1,PCB,25,1.283472
1,PCB,26,1.238138
1,PCB,27,1.359461
2,DMT,0,1.381484
2,DMT,1,1.354926
2,DMT,2,1.316028
2,DMT,3,1.301478
2,DMT,4,1.336193
2,DMT,5,1.324254
2,DMT,6,1.418242
2,DMT,7,1.276009
2,DMT,8,1.312538
2,DMT,9,1.165521
2,DMT,10,1.010223
2,DMT,11,1.111955
2,DMT,12,1.236451
2,DMT,13,1.151435
2,DMT,14,1.223107
2,DMT,15,1.189075
2,DMT,16,1.207869
2,DMT,17,1.372874
2,DMT,18,1.251989
2,DMT,19,1.300252
2,DMT,20,1.305797
2,DMT,21,1.184675
2,DMT,22,1.223271
2,DMT,23,1.285370
2,DMT,24,1.228824
2,DMT,25,1.285391
