# script=01_synergy_timecourse.py variant=ts_gsr regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=nogit
subject,condition,bin,synergy_mean
0,DMT,0,1.263307
0,DMT,1,1.299175
0,DMT,2,1.227390
0,DMT,3,1.067781
0,DMT,4,1.168070
0,DMT,5,1.142138
0,DMT,6,1.112146
0,DMT,7,1.264626
0,DMT,8,1.208400
0,DMT,9,1.175051
0,DMT,10,0.961169
0,DMT,11,1.157484
0,DMT,12,1.281694
0,DMT,13,1.188496
0,DMT,14,1.219380
0,DMT,15,1.162286
0,DMT,16,1.294362
0,DMT,17,1.232908
0,DMT,18,1.265294
0,DMT,19,1.288016
0,DMT,20,1.161392
0,DMT,21,1.215948
0,DMT,22,1.221807
0,DMT,23,1.164244
0,DMT,24,1.199747
0,DMT,25,1.273197
0,DMT,26,1.362169
0,DMT,27,1.208938
0,PCB,0,1.206788
0,PCB,1,1.316560
0,PCB,2,1.173222
0,PCB,3,1.263994
0,PCB,4,1.234468
0,PCB,5,1.224799
0,PCB,6,1.226554
0,PCB,7,1.194264
0,PCB,8,1.448526
0,PCB,9,1.296498
0,PCB,10,1.391141
0,PCB,11,1.183856
0,PCB,12,1.244355
0,PCB,13,1.121980
0,PCB,14,1.368692
0,PCB,15,1.295298
0,PCB,16,1.243866
0,PCB,17,1.194776
0,PCB,18,1.292996
0,PCB,19,1.447823
0,PCB,20,1.483530
0,PCB,21,1.436957
0,PCB,22,1.363148
0,PCB,23,1.307633
0,PCB,24,1.476669
0,PCB,25,1.672050
0,PCB,26,0.930028
0,PCB,27,1.137850
1,DMT,0,1.424479
1,DMT,1,1.169450
1,DMT,2,1.143200
1,DMT,3,1.313511
1,DMT,4,1.036456
1,DMT,5,1.521860
1,DMT,6,1.270555
1,DMT,7,1.172253
1,DMT,8,1.417393
1,DMT,9,1.250824
1,DMT,10,1.125991
1,DMT,11,1.230775
1,DMT,12,1.314421
1,DMT,13,1.117845
1,DMT,14,1.174772
1,DMT,15,1.280079
1,DMT,16,1.073649
1,DMT,17,1.109732
1,DMT,18,1.235859
1,DMT,19,1.380666
1,DMT,20,1.222452
1,DMT,21,1.267551
1,DMT,22,1.276379
1,DMT,23,1.391029
1,DMT,24,1.439995
1,DMT,25,1.003747
1,DMT,26,1.751092
1,DMT,27,1.170756
1,PCB,0,1.347240
1,PCB,1,1.183729
1,PCB,2,1.229307
1,PCB,3,1.224812
1,PCB,4,1.265809
1,PCB,5,1.166110
1,PCB,6,1.345251
1,PCB,7,1.303982
1,PCB,8,1.240797
1,PCB,9,1.163024
1,PCB,10,1.395608
1,PCB,11,1.573273
1,PCB,12,1.235305
1,PCB,13,1.316833
1,PCB,14,1.375257
1,PCB,15,1.265044
1,PCB,16,1.391191
1,PCB,17,1.426313
1,PCB,18,1.470418
1,PCB,19,1.318682
1,PCB,20,1.243461
1,PCB,21,1.439878
1,PCB,22,1.357280
1,PCB,23,1.676237
1,PCB,24,1.299374
1,PCB,25,1.373058
1,PCB,26,0.960157
1,PCB,27,1.415778
2,DMT,0,1.302147
2,DMT,1,1.360263
2,DMT,2,1.279059
2,DMT,3,1.329681
2,DMT,4,1.384738
2,DMT,5,1.518090
2,DMT,6,1.537532
2,DMT,7,1.349984
2,DMT,8,1.358470
2,DMT,9,1.127072
2,DMT,10,0.855385
2,DMT,11,1.042370
2,DMT,12,1.348377
2,DMT,13,1.144621
2,DMT,14,1.267783
2,DMT,15,1.115962
2,DMT,16,1.095270
2,DMT,17,1.596926
2,DMT,18,1.188711
2,DMT,19,1.331662
2,DMT,20,1.379721
2,DMT,21,1.158696
2,DMT,22,1.213928
2,DMT,23,1.301464
2,DMT,24,1.192283
2,DMT,25,1.257151
2,DMT,26,1.236166
2,DMT,27,1.286376
2,PCB,0,1.172602
2,PCB,1,1.361700
2,PCB,2,1.133670
2,PCB,3,1.214780
2,PCB,4,1.491926
2,PCB,5,1.363003
2,PCB,6,1.396353
2,PCB,7,1.238615
2,PCB,8,1.250790
2,PCB,9,1.118390
2,PCB,10,1.398313
2,PCB,11,1.327187
2,PCB,12,1.191184
2,PCB,13,1.476047
2,PCB,14,1.431695
2,PCB,15,1.539061
2,PCB,16,1.214685
2,PCB,17,1.393610
2,PCB,18,1.388395
2,PCB,19,1.322113
2,PCB,20,1.363026
2,PCB,21,1.476805
2,PCB,22,1.404364
2,PCB,23,1.253466
2,PCB,24,1.048032
2,PCB,25,1.386642
2,PCB,26,1.448853
2,PCB,27,1.167929
3,DMT,0,1.486948
3,DMT,1,1.188009
3,DMT,2,1.267158
3,DMT,3,1.262433
3,DMT,4,1.478649
3,DMT,5,1.353714
3,DMT,6,1.548057
3,DMT,7,1.429848
3,DMT,8,1.443329
3,DMT,9,1.332972
3,DMT,10,1.279749
3,DMT,11,1.370697
3,DMT,12,1.225422
3,DMT,13,1.360023
3,DMT,14,1.357393
3,DMT,15,1.486697
3,DMT,16,1.418017
3,DMT,17,1.248941
3,DMT,18,1.255849
3,DMT,19,1.618732
3,DMT,20,1.419114
3,DMT,21,1.197845
3,DMT,22,1.063350
3,DMT,23,1.479892
3,DMT,24,1.398649
3,DMT,25,1.469650
3,DMT,26,1.304611
3,DMT,27,1.332072
3,PCB,0,1.148805
3,PCB,1,1.369685
3,PCB,2,0.956933
3,PCB,3,1.262243
3,PCB,4,1.168519
3,PCB,5,1.494105
3,PCB,6,1.353611
3,PCB,7,1.316087
3,PCB,8,1.392318
3,PCB,9,1.309580
3,PCB,10,1.397908
3,PCB,11,1.357820
3,PCB,12,1.344810
3,PCB,13,1.368857
3,PCB,14,1.552729
3,PCB,15,1.504474
3,PCB,16,1.291326
3,PCB,17,1.320599
3,PCB,18,1.152522
3,PCB,19,1.322908
3,PCB,20,1.442657
3,PCB,21,1.355764
3,PCB,22,1.300111
3,PCB,23,1.209376
3,PCB,24,1.398875
3,PCB,25,1.407438
3,PCB,26,1.249503
3,PCB,27,1.521381
4,DMT,0,1.329292
4,DMT,1,1.466155
4,DMT,2,1.266985
4,DMT,3,1.141792
4,DMT,4,1.259336
4,DMT,5,1.375445
4,DMT,6,1.320931
4,DMT,7,1.361159
4,DMT,8,1.441181
4,DMT,9,1.156632
4,DMT,10,1.182148
4,DMT,11,1.160854
4,DMT,12,1.040188
4,DMT,13,1.189814
4,DMT,14,1.266751
4,DMT,15,1.209253
4,DMT,16,1.335927
4,DMT,17,1.164933
4,DMT,18,1.271098
4,DMT,19,1.287917
4,DMT,20,1.394098
4,DMT,21,1.456464
4,DMT,22,1.355631
4,DMT,23,1.283712
4,DMT,24,1.338623
4,DMT,25,1.060639
4,DMT,26,1.287459
4,DMT,27,1.428809
4,PCB,0,1.301474
4,PCB,1,1.230626
4,PCB,2,1.198895
4,PCB,3,1.164994
4,PCB,4,1.327999
4,PCB,5,1.379953
4,PCB,6,1.340937
4,PCB,7,1.499072
4,PCB,8,1.273449
4,PCB,9,1.189415
4,PCB,10,1.245061
4,PCB,11,1.324620
4,PCB,12,1.496368
4,PCB,13,1.266348
4,PCB,14,1.280539
4,PCB,15,1.492835
4,PCB,16,1.584752
4,PCB,17,1.222576
4,PCB,18,1.386802
4,PCB,19,1.205491
4,PCB,20,1.399671
4,PCB,21,1.205684
4,PCB,22,1.420905
4,PCB,23,1.281974
4,PCB,24,1.588518
4,PCB,25,1.606251
4,PCB,26,1.612787
4,PCB,27,1.336063
5,DMT,0,1.322454
5,DMT,1,1.210049
5,DMT,2,1.573678
5,DMT,3,1.412949
5,DMT,4,1.229510
5,DMT,5,1.123645
5,DMT,6,1.325814
5,DMT,7,1.507918
5,DMT,8,1.653634
5,DMT,9,1.378850
5,DMT,10,1.338088
5,DMT,11,1.381845
5,DMT,12,1.322045
5,DMT,13,1.231029
5,DMT,14,1.220348
5,DMT,15,1.369453
5,DMT,16,1.297552
5,DMT,17,1.304877
5,DMT,18,1.190834
5,DMT,19,1.271457
5,DMT,20,1.248123
5,DMT,21,1.222437
5,DMT,22,1.219991
5,DMT,23,1.164852
5,DMT,24,1.208005
5,DMT,25,1.374292
5,DMT,26,1.305041
5,DMT,27,1.473706
5,PCB,0,1.314113
5,PCB,1,1.199638
5,PCB,2,1.290990
5,PCB,3,1.266124
5,PCB,4,1.271117
5,PCB,5,1.201811
5,PCB,6,1.319877
5,PCB,7,1.181941
5,PCB,8,1.238811
5,PCB,9,1.509923
5,PCB,10,1.273362
5,PCB,11,1.399752
5,PCB,12,0.843435
5,PCB,13,1.206869
5,PCB,14,1.264356
5,PCB,15,1.433998
5,PCB,16,1.270625
5,PCB,17,1.439214
5,PCB,18,1.436061
5,PCB,19,1.233293
5,PCB,20,1.467107
5,PCB,21,1.490221
5,PCB,22,1.479159
5,PCB,23,1.324791
5,PCB,24,1.349090
5,PCB,25,1.332665
5,PCB,26,1.241646
5,PCB,27,1.313288
6,DMT,0,1.417293
6,DMT,1,1.264114
6,DMT,2,1.520007
6,DMT,3,1.508544
6,DMT,4,1.455548
6,DMT,5,1.563113
6,DMT,6,0.968579
6,DMT,7,1.601355
6,DMT,8,1.451194
6,DMT,9,1.409857
6,DMT,10,1.184668
