# script=05_tier_check_decay_windows.py tables=results n_draws=2000 threshold=0.8 seed=20261120 git=b7e4595
condition,window,M,window_set,first_window,last_window,n_pairs,S_analytic,S_lo,S_hi,R_point,R_lo,R_hi,sign_truth_vs_f,S_pass,S_straddles,R_pass,R_straddles
nonstat_decay_coupling,60,1338,prereg,5,14,9,0.922672111111111,0.8514735555555555,0.9661591111111112,0.9999999999999999,0.9636363636363635,0.9999999999999999,-1.0,1,0,1,0
nonstat_decay_coupling,60,1338,primary,6,14,8,0.9248017500000001,0.8591228750000001,0.966214125,1.0,0.9500000000000001,1.0,-1.0,1,0,1,0
nonstat_decay_coupling,60,742,prereg,5,14,9,0.8871497777777777,0.8206616666666667,0.9354336666666665,0.9999999999999999,0.9393939393939393,0.9999999999999999,-1.0,1,0,1,0
nonstat_decay_coupling,60,742,primary,6,14,8,0.8935241250000001,0.832473875,0.938300625,1.0,0.9333333333333332,1.0,-1.0,1,0,1,0
nonstat_decay_coupling,60,151,prereg,5,14,9,0.7603367777777776,0.7095803333333334,0.805932,0.9999999999999999,0.842121212121212,0.9999999999999999,-1.0,0,1,1,0
nonstat_decay_coupling,60,151,primary,6,14,8,0.77155525,0.7224161250000001,0.8154635,1.0,0.7833333333333333,1.0,-1.0,0,1,1,1
nonstat_decay_coupling,30,1338,prereg,10,28,18,0.7096589999999999,0.5374801666666666,0.8439452222222222,0.9947368421052631,0.9122807017543859,0.9894736842105263,-1.0,0,1,1,0
nonstat_decay_coupling,30,1338,primary,11,28,17,0.7081324705882353,0.5368076470588236,0.8422835294117648,0.9938080495356036,0.8926728586171312,0.9876160990712075,-1.0,0,1,1,0
nonstat_decay_coupling,30,742,prereg,10,28,18,0.6660422222222222,0.528905,0.7838957777777777,0.9947368421052631,0.8701315789473684,0.9824561403508772,-1.0,0,0,1,0
nonstat_decay_coupling,30,742,primary,11,28,17,0.6651926470588235,0.5284602352941177,0.782867,0.9938080495356036,0.8472136222910217,0.9793601651186791,-1.0,0,0,1,0
nonstat_decay_coupling,30,151,prereg,10,28,18,0.5801105555555556,0.5135167222222223,0.6444800000000002,0.9947368421052631,0.6807017543859648,0.9385964912280702,-1.0,0,0,1,1
nonstat_decay_coupling,30,151,primary,11,28,17,0.5798941176470588,0.5133431176470588,0.6442297647058824,0.9938080495356036,0.6181630546955624,0.9277605779153767,-1.0,0,0,1,1
nonstat_decay_noisecorr,60,1338,prereg,5,14,9,0.8611877777777778,0.7626686666666667,0.9306973333333334,0.9999999999999999,0.9151515151515152,0.9999999999999999,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,1338,primary,6,14,8,0.8735802500000001,0.785304,0.9359418749999999,1.0,0.9,1.0,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,742,prereg,5,14,9,0.823379888888889,0.734938,0.8920078888888889,0.9999999999999999,0.8909090909090909,0.9999999999999999,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,742,primary,6,14,8,0.83852075,0.756686875,0.9012374999999999,1.0,0.8499999999999999,1.0,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,151,prereg,5,14,9,0.6954437777777778,0.6371767777777778,0.7491708888888888,0.9999999999999999,0.7575757575757575,0.9878787878787878,-1.0,0,0,1,1
nonstat_decay_noisecorr,60,151,primary,6,14,8,0.7080445,0.650876375,0.760439375,1.0,0.6833333333333333,0.9833333333333333,-1.0,0,0,1,1
nonstat_decay_noisecorr,30,1338,prereg,10,28,18,0.6215801111111112,0.42906022222222223,0.7880728333333333,0.9964912280701754,0.8403508771929825,0.9701754385964911,-1.0,0,0,1,0
nonstat_decay_noisecorr,30,1338,primary,11,28,17,0.6250406470588236,0.43291423529411766,0.7904922352941177,0.9958720330237358,0.8121259029927761,0.9690402476780186,-1.0,0,0,1,0
nonstat_decay_noisecorr,30,742,prereg,10,28,18,0.5930452777777778,0.4466091666666666,0.7275497222222221,0.9964912280701754,0.7684210526315789,0.9543859649122807,-1.0,0,0,1,1
nonstat_decay_noisecorr,30,742,primary,11,28,17,0.5957646470588236,0.4494997058823529,0.7297731764705881,0.9958720330237358,0.739938080495356,0.9504643962848297,-1.0,0,0,1,1
nonstat_decay_noisecorr,30,151,prereg,10,28,18,0.5432000555555555,0.4756565,0.6095185555555556,0.9964912280701754,0.3876754385964913,0.8614035087719297,-1.0,0,0,1,1
nonstat_decay_noisecorr,30,151,primary,11,28,17,0.5444966470588236,0.47696964705882344,0.6107622941176472,0.9958720330237358,0.3457172342621259,0.8513931888544891,-1.0,0,0,1,1
